a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_CKD12	cat_CKD34	0.8975	0.8705	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8209	0.4504	0.8875	1.0923	1.0111	1.7118	True	0.7095	0.8281	0.7933	True
cat_CKD12	cat_med_CKD12	0.7063	0.7597	within_dataset	cat	cat	False	same_stage_diff_compartment	0.798	0.4078	0.8791	0.8837	0.8034	1.419	False	0.6842	0.8114	0.7719	True
cat_CKD12	cat_med_CKD34	0.76	0.7545	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.7231	0.2854	0.8398	1.0481	0.9049	2.1457	True	0.5932	0.7445	0.7099	True
cat_CKD12	mouse_5D	0.2476	0.2407	cross_species	cat	podtreck	False		0.8539	0.4644	0.9086	0.2898	0.2725	0.4523	False	0.7466	0.8511		False
cat_CKD12	mouse_2W	0.3861	0.4357	cross_species	cat	podtreck	False		0.8701	0.4734	0.9266	0.4431	0.4166	0.6866	False	0.7785	0.8695		False
cat_CKD12	mouse_3W	0.3623	0.4112	cross_species	cat	podtreck	False		0.832	0.4555	0.9129	0.4345	0.3968	0.6682	False	0.7595	0.8586		False
cat_CKD12	IRI_2h	0.2163	0.2612	cross_species	cat	iri	False		0.7895	0.4308	0.8724	0.2737	0.2479	0.4277	False	0.6646	0.7979		False
cat_CKD12	IRI_4h	0.2461	0.2442	cross_species	cat	iri	False		0.8253	0.4483	0.8904	0.2979	0.2764	0.4563	False	0.7178	0.8333		False
cat_CKD12	IRI_24h	0.3498	0.3787	cross_species	cat	iri	False		0.8537	0.4688	0.9155	0.4087	0.382	0.6299	False	0.7595	0.8586		False
cat_CKD12	IRI_48h	0.416	0.4038	cross_species	cat	iri	False		0.8456	0.4602	0.9093	0.4914	0.4575	0.7554	False	0.7398	0.8469		False
cat_CKD12	IRI_72h	0.4232	0.396	cross_species	cat	iri	False		0.8041	0.4264	0.8942	0.5256	0.4732	0.7962	False	0.6765	0.8062		False
cat_CKD12	IRI_7d	0.4875	0.4993	cross_species	cat	iri	False		0.8545	0.4624	0.915	0.5691	0.5327	0.8795	False	0.7589	0.8583		False
cat_CKD12	IRI_14d	0.4682	0.4545	cross_species	cat	iri	False		0.8384	0.4462	0.9053	0.558	0.517	0.8553	False	0.737	0.8452		False
cat_CKD12	IRI_28d	0.4548	0.3911	cross_species	cat	iri	False		0.8303	0.4402	0.9002	0.547	0.5051	0.8881	False	0.7249	0.8378		False
cat_CKD12	IRI_12mo	0.5719	0.5211	cross_species	cat	iri	False		0.811	0.4396	0.884	0.7045	0.6468	1.1032	False	0.6924	0.8169		False
cat_CKD34	cat_med_CKD12	0.7295	0.7554	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.8753	0.737	0.9177	0.8334	0.795	0.9899	False	0.7892	0.8821	0.8696	True
cat_CKD34	cat_med_CKD34	0.809	0.7276	within_dataset	cat	cat	False	same_stage_diff_compartment	0.7988	0.4896	0.8919	1.0128	0.9071	1.5595	True	0.6842	0.8094	0.7998	True
cat_CKD34	mouse_5D	0.335	0.3125	cross_species	cat	podtreck	False		0.9236	0.8694	0.947	0.3627	0.3538	0.3854	False	0.8613	0.9252		False
cat_CKD34	mouse_2W	0.4595	0.4984	cross_species	cat	podtreck	False		0.945	0.8892	0.9652	0.4862	0.476	0.5167	False	0.898	0.9452		False
cat_CKD34	mouse_3W	0.4315	0.4465	cross_species	cat	podtreck	False		0.9207	0.828	0.9506	0.4686	0.4539	0.5211	False	0.8761	0.9334		False
cat_CKD34	IRI_2h	0.1816	0.1797	cross_species	cat	iri	False		0.8613	0.7422	0.9105	0.2108	0.1994	0.2446	False	0.7666	0.8674		False
cat_CKD34	IRI_4h	0.2789	0.2661	cross_species	cat	iri	False		0.9036	0.7987	0.9328	0.3086	0.2989	0.3491	False	0.828	0.9059		False
