state	curve	n_case	n_ctrl	r	n_case_avail	n_ctrl_avail	n_max
cat_CKD12	both	1	1	0.2062	8	6	3
cat_CKD12	both	2	2	0.3971	8	6	3
cat_CKD12	both	3	3	0.5434	8	6	3
cat_CKD12	ctrl_only	1	1	0.2391	8	6	3
cat_CKD12	ctrl_only	1	2	0.2376	8	6	3
cat_CKD12	ctrl_only	1	3	0.2411	8	6	3
cat_CKD34	both	1	1	0.5651	7	6	3
cat_CKD34	both	2	2	0.725	7	6	3
cat_CKD34	both	3	3	0.8078	7	6	3
cat_CKD34	ctrl_only	1	1	0.5638	7	6	3
cat_CKD34	ctrl_only	1	2	0.6362	7	6	3
cat_CKD34	ctrl_only	1	3	0.6471	7	6	3
cat_med_CKD12	both	1	1	0.4245	7	6	3
cat_med_CKD12	both	2	2	0.6164	7	6	3
cat_med_CKD12	both	3	3	0.7334	7	6	3
cat_med_CKD12	ctrl_only	1	1	0.4192	7	6	3
cat_med_CKD12	ctrl_only	1	2	0.4755	7	6	3
cat_med_CKD12	ctrl_only	1	3	0.5314	7	6	3
cat_med_CKD34	both	1	1	0.3733	5	6	2
cat_med_CKD34	both	2	2	0.5018	5	6	2
cat_med_CKD34	ctrl_only	1	1	0.3721	5	6	2
cat_med_CKD34	ctrl_only	1	2	0.3569	5	6	2
cat_med_CKD34	ctrl_only	1	3	0.355	5	6	2
mouse_5D	both	1	1	0.8765	3	3	1
mouse_5D	ctrl_only	1	1	0.8765	3	3	1
mouse_2W	both	1	1	0.9794	3	3	1
mouse_2W	ctrl_only	1	1	0.9794	3	3	1
mouse_3W	both	1	1	0.7632	3	3	1
mouse_3W	ctrl_only	1	1	0.7616	3	3	1
IRI_2h	both	1	1	0.5056	3	6	1
IRI_2h	ctrl_only	1	1	0.504	3	6	1
IRI_2h	ctrl_only	1	2	0.6619	3	6	1
IRI_2h	ctrl_only	1	3	0.6661	3	6	1
IRI_4h	both	1	1	0.6135	3	6	1
IRI_4h	ctrl_only	1	1	0.5842	3	6	1
IRI_4h	ctrl_only	1	2	0.7854	3	6	1
IRI_4h	ctrl_only	1	3	0.7972	3	6	1
IRI_24h	both	1	1	0.8148	3	6	1
IRI_24h	ctrl_only	1	1	0.8144	3	6	1
IRI_24h	ctrl_only	1	2	0.9222	3	6	1
IRI_24h	ctrl_only	1	3	0.9296	3	6	1
IRI_48h	both	1	1	0.7618	3	6	1
IRI_48h	ctrl_only	1	1	0.7663	3	6	1
IRI_48h	ctrl_only	1	2	0.8549	3	6	1
IRI_48h	ctrl_only	1	3	0.8611	3	6	1
IRI_72h	both	1	1	0.6638	3	6	1
IRI_72h	ctrl_only	1	1	0.6658	3	6	1
IRI_72h	ctrl_only	1	2	0.7011	3	6	1
IRI_72h	ctrl_only	1	3	0.7375	3	6	1
IRI_7d	both	1	1	0.8147	3	6	1
IRI_7d	ctrl_only	1	1	0.8198	3	6	1
IRI_7d	ctrl_only	1	2	0.9153	3	6	1
IRI_7d	ctrl_only	1	3	0.9234	3	6	1
IRI_14d	both	1	1	0.7751	3	6	1
IRI_14d	ctrl_only	1	1	0.7758	3	6	1
IRI_14d	ctrl_only	1	2	0.8196	3	6	1
IRI_14d	ctrl_only	1	3	0.8274	3	6	1
IRI_28d	both	1	1	0.7112	3	6	1
IRI_28d	ctrl_only	1	1	0.7126	3	6	1
IRI_28d	ctrl_only	1	2	0.8093	3	6	1
IRI_28d	ctrl_only	1	3	0.8259	3	6	1
IRI_12mo	both	1	1	0.7009	3	3	1
IRI_12mo	ctrl_only	1	1	0.7009	3	3	1
