state	species	n_case	n_ctrl	half_case	half_ctrl	frac_r_half_nonpositive	r_half_median	reliability_SB_median	reliability_SB_lo95	reliability_SB_hi95	n_splits
cat_CKD12	cat	8	6	4	3	0.016	0.6151	0.7617	0.2271	0.8655	500
cat_CKD34	cat	7	6	3	3	0.0	0.8185	0.9002	0.797	0.9397	500
cat_med_CKD12	cat	7	6	3	3	0.0	0.761	0.8643	0.6114	0.9289	500
cat_med_CKD34	cat	5	6	2	3	0.002	0.572	0.7277	0.2711	0.8824	500
mouse_5D	mouse	3	3	1	1	0.0	0.9063	0.9509	0.9332	0.9701	500
mouse_2W	mouse	3	3	1	1	0.0	0.9852	0.9925	0.9888	0.9943	500
mouse_3W	mouse	3	3	1	1	0.0	0.9378	0.9679	0.8013	0.9713	500
IRI_2h	mouse	3	6	1	3	0.0	0.718	0.8358	0.6307	0.9158	500
IRI_4h	mouse	3	6	1	3	0.0	0.8376	0.9116	0.7229	0.95	500
IRI_24h	mouse	3	6	1	3	0.0	0.9378	0.9679	0.8708	0.9785	500
IRI_48h	mouse	3	6	1	3	0.0	0.8898	0.9417	0.8489	0.975	500
IRI_72h	mouse	3	6	1	3	0.0	0.744	0.8532	0.6979	0.9466	500
IRI_7d	mouse	3	6	1	3	0.0	0.9364	0.9671	0.8769	0.9792	500
IRI_14d	mouse	3	6	1	3	0.0	0.883	0.9379	0.8544	0.9672	500
IRI_28d	mouse	3	6	1	3	0.0	0.8542	0.9214	0.6898	0.9611	500
IRI_12mo	mouse	3	3	1	1	0.0	0.7795	0.8761	0.8012	0.9219	500
