design	shift	sigma	true_cos	mean_r_half	median_obs_cos	median_ceiling	frac_obs_above_ceiling
mouse-like (3 vs 6)	0.0	0.3	1.0	0.9116	0.957	0.9116	1.0
mouse-like (3 vs 6)	0.0	0.3	0.9	0.9113	0.8614	0.9113	0.0
mouse-like (3 vs 6)	0.0	0.3	0.7	0.9114	0.6698	0.9112	0.0
mouse-like (3 vs 6)	0.0	0.3	0.5	0.9114	0.4782	0.9114	0.0
mouse-like (3 vs 6)	0.0	0.3	0.3	0.9116	0.287	0.9117	0.0
mouse-like (3 vs 6)	0.0	0.6	1.0	0.7209	0.8471	0.7211	1.0
mouse-like (3 vs 6)	0.0	0.6	0.9	0.7211	0.7625	0.721	1.0
mouse-like (3 vs 6)	0.0	0.6	0.7	0.721	0.5933	0.7212	0.0
mouse-like (3 vs 6)	0.0	0.6	0.5	0.7213	0.4242	0.7212	0.0
mouse-like (3 vs 6)	0.0	0.6	0.3	0.7213	0.255	0.7211	0.0
mouse-like (3 vs 6)	0.0	1.0	1.0	0.4839	0.6672	0.4838	1.0
mouse-like (3 vs 6)	0.0	1.0	0.9	0.4835	0.6016	0.4841	1.0
mouse-like (3 vs 6)	0.0	1.0	0.7	0.4837	0.4667	0.4835	0.12
mouse-like (3 vs 6)	0.0	1.0	0.5	0.4838	0.3332	0.4837	0.0
mouse-like (3 vs 6)	0.0	1.0	0.3	0.4843	0.2002	0.484	0.0
mouse-like (3 vs 6)	0.0	1.5	1.0	0.2957	0.4717	0.2961	1.0
mouse-like (3 vs 6)	0.0	1.5	0.9	0.2946	0.4233	0.2942	1.0
mouse-like (3 vs 6)	0.0	1.5	0.7	0.2957	0.33	0.2962	0.97
mouse-like (3 vs 6)	0.0	1.5	0.5	0.2952	0.2356	0.2952	0.006666666666666667
mouse-like (3 vs 6)	0.0	1.5	0.3	0.2952	0.1413	0.2954	0.0
mouse-like (3 vs 6)	0.0	2.2	1.0	0.1641	0.2947	0.1642	1.0
mouse-like (3 vs 6)	0.0	2.2	0.9	0.162	0.2616	0.1615	1.0
mouse-like (3 vs 6)	0.0	2.2	0.7	0.1634	0.2058	0.1623	0.97
mouse-like (3 vs 6)	0.0	2.2	0.5	0.1627	0.1472	0.1616	0.25333333333333335
mouse-like (3 vs 6)	0.0	2.2	0.3	0.1618	0.0898	0.1612	0.0
mouse-like (3 vs 6)	0.26	0.3	1.0	0.9166	0.9598	0.9166	1.0
mouse-like (3 vs 6)	0.26	0.3	0.9	0.9165	0.8692	0.9165	0.0
mouse-like (3 vs 6)	0.26	0.3	0.7	0.9166	0.6899	0.9166	0.0
mouse-like (3 vs 6)	0.26	0.3	0.5	0.9166	0.5103	0.9167	0.0
mouse-like (3 vs 6)	0.26	0.3	0.3	0.9166	0.3302	0.9166	0.0
mouse-like (3 vs 6)	0.26	0.6	1.0	0.7338	0.8556	0.7339	1.0
mouse-like (3 vs 6)	0.26	0.6	0.9	0.7336	0.7756	0.7336	1.0
mouse-like (3 vs 6)	0.26	0.6	0.7	0.7335	0.6159	0.7335	0.0
mouse-like (3 vs 6)	0.26	0.6	0.5	0.7342	0.4567	0.7345	0.0
mouse-like (3 vs 6)	0.26	0.6	0.3	0.7335	0.2941	0.7333	0.0
mouse-like (3 vs 6)	0.26	1.0	1.0	0.5002	0.6817	0.5	1.0
mouse-like (3 vs 6)	0.26	1.0	0.9	0.4993	0.6168	0.4997	1.0
mouse-like (3 vs 6)	0.26	1.0	0.7	0.4998	0.4881	0.5008	0.22333333333333333
mouse-like (3 vs 6)	0.26	1.0	0.5	0.5002	0.3612	0.5004	0.0
mouse-like (3 vs 6)	0.26	1.0	0.3	0.4997	0.235	0.4998	0.0
mouse-like (3 vs 6)	0.26	1.5	1.0	0.3084	0.4878	0.3074	1.0
mouse-like (3 vs 6)	0.26	1.5	0.9	0.3083	0.4404	0.3085	1.0
mouse-like (3 vs 6)	0.26	1.5	0.7	0.3092	0.3507	0.309	0.9866666666666667
mouse-like (3 vs 6)	0.26	1.5	0.5	0.3089	0.2606	0.3092	0.0
mouse-like (3 vs 6)	0.26	1.5	0.3	0.3087	0.1683	0.3084	0.0
mouse-like (3 vs 6)	0.26	2.2	1.0	0.1725	0.3063	0.1721	1.0
mouse-like (3 vs 6)	0.26	2.2	0.9	0.1723	0.279	0.1722	1.0
mouse-like (3 vs 6)	0.26	2.2	0.7	0.1726	0.2208	0.1731	0.9866666666666667
mouse-like (3 vs 6)	0.26	2.2	0.5	0.1721	0.1629	0.1717	0.35
mouse-like (3 vs 6)	0.26	2.2	0.3	0.1717	0.1039	0.1709	0.0033333333333333335
mouse-like (3 vs 6)	0.44	0.3	1.0	0.9247	0.9637	0.9246	1.0
mouse-like (3 vs 6)	0.44	0.3	0.9	0.9245	0.883	0.9245	0.0
mouse-like (3 vs 6)	0.44	0.3	0.7	0.9247	0.7213	0.9248	0.0
mouse-like (3 vs 6)	0.44	0.3	0.5	0.9247	0.5603	0.9247	0.0
mouse-like (3 vs 6)	0.44	0.3	0.3	0.9247	0.3972	0.9246	0.0
mouse-like (3 vs 6)	0.44	0.6	1.0	0.7552	0.8693	0.755	1.0
mouse-like (3 vs 6)	0.44	0.6	0.9	0.7552	0.7971	0.755	1.0
mouse-like (3 vs 6)	0.44	0.6	0.7	0.7552	0.6504	0.7554	0.0
mouse-like (3 vs 6)	0.44	0.6	0.5	0.7549	0.5048	0.7546	0.0
mouse-like (3 vs 6)	0.44	0.6	0.3	0.7549	0.3592	0.7549	0.0
mouse-like (3 vs 6)	0.44	1.0	1.0	0.5273	0.7041	0.5273	1.0
mouse-like (3 vs 6)	0.44	1.0	0.9	0.527	0.6446	0.5269	1.0
mouse-like (3 vs 6)	0.44	1.0	0.7	0.528	0.5273	0.5281	0.45666666666666667
mouse-like (3 vs 6)	0.44	1.0	0.5	0.5277	0.4087	0.5278	0.0
mouse-like (3 vs 6)	0.44	1.0	0.3	0.5276	0.2915	0.5278	0.0
mouse-like (3 vs 6)	0.44	1.5	1.0	0.3328	0.5137	0.3326	1.0
mouse-like (3 vs 6)	0.44	1.5	0.9	0.3318	0.4702	0.3319	1.0
mouse-like (3 vs 6)	0.44	1.5	0.7	0.3329	0.3856	0.3326	1.0
mouse-like (3 vs 6)	0.44	1.5	0.5	0.3326	0.2978	0.3329	0.06333333333333334
mouse-like (3 vs 6)	0.44	1.5	0.3	0.3328	0.2122	0.3331	0.0
mouse-like (3 vs 6)	0.44	2.2	1.0	0.1886	0.3314	0.188	1.0
mouse-like (3 vs 6)	0.44	2.2	0.9	0.1887	0.3012	0.188	1.0
mouse-like (3 vs 6)	0.44	2.2	0.7	0.1887	0.2475	0.1887	0.9933333333333333
mouse-like (3 vs 6)	0.44	2.2	0.5	0.1894	0.1906	0.1885	0.5633333333333334
mouse-like (3 vs 6)	0.44	2.2	0.3	0.1881	0.1346	0.1889	0.013333333333333334
feline-like (7 vs 6)	0.0	0.3	1.0	0.9468	0.973	0.9468	1.0
feline-like (7 vs 6)	0.0	0.3	0.9	0.9468	0.8754	0.9468	0.0
feline-like (7 vs 6)	0.0	0.3	0.7	0.9468	0.6811	0.9469	0.0
feline-like (7 vs 6)	0.0	0.3	0.5	0.9468	0.4864	0.9469	0.0
feline-like (7 vs 6)	0.0	0.3	0.3	0.9468	0.2916	0.9468	0.0
feline-like (7 vs 6)	0.0	0.6	1.0	0.8165	0.8999	0.8165	1.0
feline-like (7 vs 6)	0.0	0.6	0.9	0.8166	0.8098	0.8165	0.10333333333333333
feline-like (7 vs 6)	0.0	0.6	0.7	0.8165	0.6299	0.8165	0.0
feline-like (7 vs 6)	0.0	0.6	0.5	0.8165	0.4492	0.8163	0.0
feline-like (7 vs 6)	0.0	0.6	0.3	0.8164	0.2696	0.8165	0.0
feline-like (7 vs 6)	0.0	1.0	1.0	0.6157	0.7637	0.6159	1.0
feline-like (7 vs 6)	0.0	1.0	0.9	0.6156	0.6878	0.6157	1.0
feline-like (7 vs 6)	0.0	1.0	0.7	0.6161	0.5343	0.6159	0.0
feline-like (7 vs 6)	0.0	1.0	0.5	0.6161	0.3825	0.6158	0.0
feline-like (7 vs 6)	0.0	1.0	0.3	0.6159	0.2317	0.6159	0.0
feline-like (7 vs 6)	0.0	1.5	1.0	0.4148	0.5891	0.4141	1.0
feline-like (7 vs 6)	0.0	1.5	0.9	0.4161	0.5303	0.4159	1.0
feline-like (7 vs 6)	0.0	1.5	0.7	0.4154	0.4118	0.4152	0.4066666666666667
feline-like (7 vs 6)	0.0	1.5	0.5	0.4161	0.2967	0.4159	0.0
feline-like (7 vs 6)	0.0	1.5	0.3	0.416	0.1793	0.416	0.0
feline-like (7 vs 6)	0.0	2.2	1.0	0.2494	0.3994	0.2488	1.0
feline-like (7 vs 6)	0.0	2.2	0.9	0.2496	0.3584	0.2502	1.0
feline-like (7 vs 6)	0.0	2.2	0.7	0.2477	0.2791	0.2474	0.9433333333333334
feline-like (7 vs 6)	0.0	2.2	0.5	0.2493	0.2017	0.2496	0.006666666666666667
feline-like (7 vs 6)	0.0	2.2	0.3	0.2499	0.1173	0.2502	0.0
feline-like (7 vs 6)	0.26	0.3	1.0	0.95	0.9747	0.95	1.0
feline-like (7 vs 6)	0.26	0.3	0.9	0.95	0.8833	0.95	0.0
feline-like (7 vs 6)	0.26	0.3	0.7	0.95	0.7009	0.95	0.0
feline-like (7 vs 6)	0.26	0.3	0.5	0.95	0.5176	0.95	0.0
feline-like (7 vs 6)	0.26	0.3	0.3	0.95	0.336	0.9501	0.0
feline-like (7 vs 6)	0.26	0.6	1.0	0.8261	0.9056	0.826	1.0
feline-like (7 vs 6)	0.26	0.6	0.9	0.8263	0.8205	0.8263	0.15333333333333332
