a	b	cls	shared_control	cos_obs	ceiling_obs	n_ok	frac_undefined	cos_lo	cos_hi	ceil_lo	ceil_hi	gap_median	gap_lo	gap_hi	p_gap_le0	jack_n	jack_min	jack_median	gap_sb_median	gap_sb_lo	gap_sb_hi	p_gap_sb_le0
cat_CKD12	cat_CKD34	within_dataset	True	0.9069	0.6908	1000	0.0	0.4973	0.9478	0.0	0.7885	-0.2676	-0.7138	-0.0665	0.996	27	-0.3338	-0.2226	-0.1281	-0.699	0.0393	0.924
cat_CKD12	cat_med_CKD12	within_dataset	False	0.7591	0.695	1000	0.0	0.2123	0.8459	0.0	0.7955	-0.1537	-0.6128	0.0688	0.914	27	-0.176	-0.0772	-0.0141	-0.5642	0.1857	0.544
cat_CKD12	cat_med_CKD34	within_dataset	False	0.7937	0.5912	999	0.001	0.2522	0.8335	0.0	0.6741	-0.2478	-0.5706	0.038	0.966	25	-0.2834	-0.2032	-0.094	-0.545	0.1866	0.7708
cat_CKD12	mouse_5D	cross_species	False	0.2864	0.7149	777	0.223	0.0964	0.3407	0.0	0.8088	0.3315	-0.2111	0.5544	0.1107	20	0.2964	0.4194	0.4685	-0.2111	0.6455	0.0914
cat_CKD12	mouse_2W	cross_species	False	0.4703	0.7481	775	0.225	0.1118	0.4911	0.0	0.8538	0.2246	-0.2894	0.394	0.1432	20	0.1431	0.2738	0.3435	-0.2894	0.4671	0.0916
cat_CKD12	mouse_3W	cross_species	False	0.4491	0.7179	765	0.235	0.1365	0.4834	0.0	0.8101	0.1901	-0.3159	0.3704	0.1778	20	0.1443	0.2708	0.3299	-0.3159	0.4711	0.1137
cat_CKD12	IRI_2h	cross_species	False	0.2537	0.6201	886	0.114	-0.0302	0.3336	0.0	0.7229	0.3035	-0.0852	0.5398	0.0576	23	0.3045	0.3529	0.4583	-0.0696	0.6675	0.0339
cat_CKD12	IRI_4h	cross_species	False	0.2922	0.6642	890	0.11	0.021	0.3702	0.0	0.7528	0.3011	-0.1619	0.5224	0.0899	23	0.2465	0.3743	0.4488	-0.1522	0.636	0.0618
cat_CKD12	IRI_24h	cross_species	False	0.4599	0.7334	879	0.121	0.1077	0.4914	0.0	0.8341	0.2162	-0.3197	0.3844	0.149	23	0.1633	0.2665	0.3429	-0.3197	0.477	0.0922
cat_CKD12	IRI_48h	cross_species	False	0.4829	0.726	902	0.098	0.1763	0.5017	0.0	0.8316	0.2036	-0.3023	0.3643	0.1486	23	0.1151	0.2392	0.328	-0.2982	0.4497	0.0776
cat_CKD12	IRI_72h	cross_species	False	0.5089	0.6796	889	0.111	0.104	0.5351	0.0	0.7828	0.1138	-0.3282	0.3068	0.2272	23	0.0386	0.1601	0.2588	-0.3152	0.4146	0.1159
cat_CKD12	IRI_7d	cross_species	False	0.5134	0.7355	900	0.1	0.0911	0.545	0.0	0.8338	0.1752	-0.3578	0.3468	0.1611	23	0.0681	0.2113	0.2981	-0.342	0.4383	0.0956
cat_CKD12	IRI_14d	cross_species	False	0.4984	0.7116	880	0.12	0.0892	0.5428	0.0	0.8045	0.1558	-0.2903	0.3176	0.1784	23	0.1069	0.213	0.2881	-0.2649	0.424	0.0932
cat_CKD12	IRI_28d	cross_species	False	0.472	0.7115	886	0.114	0.0712	0.5229	0.0	0.8052	0.1855	-0.2801	0.366	0.1648	23	0.0784	0.2485	0.3177	-0.2581	0.4798	0.1016
cat_CKD12	IRI_12mo	cross_species	False	0.5035	0.6798	790	0.21	0.2087	0.5323	0.0	0.7647	0.1258	-0.3488	0.2982	0.238	20	-0.0095	0.1706	0.2699	-0.3488	0.4185	0.0987
cat_CKD34	cat_med_CKD12	within_dataset	False	0.7898	0.8458	1000	0.0	0.5903	0.8536	0.3596	0.8552	-0.0062	-0.388	0.1571	0.53	26	0.0022	0.0459	0.0931	-0.2363	0.2537	0.155
cat_CKD34	cat_med_CKD34	within_dataset	False	0.8574	0.7195	990	0.01	0.4654	0.9026	0.2188	0.7743	-0.1954	-0.5542	0.0244	0.9626	24	-0.2134	-0.1547	-0.0559	-0.4478	0.167	0.7212
cat_CKD34	mouse_5D	cross_species	False	0.3462	0.87	786	0.214	0.2492	0.3971	0.6658	0.8832	0.4783	0.3148	0.5812	0.0025	19	0.485	0.5189	0.56	0.437	0.6476	0.0025
cat_CKD34	mouse_2W	cross_species	False	0.4984	0.9103	796	0.204	0.43	0.5139	0.7214	0.9195	0.3882	0.2469	0.4417	0.0	19	0.3735	0.4091	0.4457	0.35	0.4878	0.0
cat_CKD34	mouse_3W	cross_species	False	0.4801	0.8737	791	0.209	0.29	0.5115	0.6546	0.8854	0.3388	0.2005	0.4176	0.0025	19	0.3213	0.3893	0.4283	0.3299	0.4862	0.0013
cat_CKD34	IRI_2h	cross_species	False	0.193	0.7546	887	0.113	0.0756	0.2484	0.544	0.7989	0.5116	0.347	0.6508	0.0	22	0.4998	0.5654	0.6382	0.5007	0.748	0.0
cat_CKD34	IRI_4h	cross_species	False	0.3029	0.8083	890	0.11	0.1562	0.3777	0.5771	0.8147	0.4501	0.2967	0.6126	0.0	22	0.4455	0.4996	0.5653	0.4343	0.7029	0.0
cat_CKD34	IRI_24h	cross_species	False	0.5176	0.8925	871	0.129	0.4356	0.5318	0.7075	0.9004	0.3443	0.2293	0.4124	0.0011	22	0.3373	0.3707	0.4151	0.3354	0.4675	0.0
cat_CKD34	IRI_48h	cross_species	False	0.5101	0.8835	887	0.113	0.4232	0.5283	0.6884	0.892	0.3441	0.2044	0.4098	0.0023	22	0.3398	0.3733	0.4182	0.3182	0.4724	0.0011
cat_CKD34	IRI_72h	cross_species	False	0.5482	0.827	889	0.111	0.4388	0.5635	0.6312	0.855	0.2594	0.1152	0.3412	0.0022	22	0.2143	0.2791	0.3552	0.2494	0.4186	0.0
cat_CKD34	IRI_7d	cross_species	False	0.5116	0.895	895	0.105	0.4092	0.5428	0.6858	0.901	0.3513	0.2067	0.4239	0.0011	22	0.348	0.3809	0.4213	0.3178	0.4894	0.0011
cat_CKD34	IRI_14d	cross_species	False	0.4698	0.8659	876	0.124	0.3465	0.522	0.6775	0.8739	0.3625	0.2263	0.4583	0.0011	22	0.37	0.3914	0.445	0.3458	0.5315	0.0011
cat_CKD34	IRI_28d	cross_species	False	0.4841	0.8658	885	0.115	0.3533	0.5243	0.6767	0.8724	0.3461	0.2271	0.4326	0.0	22	0.3383	0.3784	0.4312	0.3459	0.5099	0.0
cat_CKD34	IRI_12mo	cross_species	False	0.4416	0.8272	796	0.204	0.2821	0.5011	0.6319	0.8344	0.3537	0.2015	0.471	0.0	19	0.3477	0.3745	0.4536	0.3272	0.5583	0.0
cat_med_CKD12	cat_med_CKD34	within_dataset	True	0.8316	0.7238	996	0.004	0.3121	0.9319	0.2075	0.8137	-0.1688	-0.5694	0.1764	0.8916	24	-0.2204	-0.1364	-0.0389	-0.4334	0.3256	0.6446
cat_med_CKD12	mouse_5D	cross_species	False	0.186	0.8753	791	0.209	0.1093	0.2881	0.4112	0.9057	0.6263	0.1749	0.7557	0.0088	19	0.6381	0.6788	0.7112	0.3169	0.8121	0.0088
cat_med_CKD12	mouse_2W	cross_species	False	0.4121	0.9158	786	0.214	0.3371	0.4636	0.5026	0.9483	0.4655	0.0696	0.5872	0.0115	19	0.4463	0.4979	0.5235	0.2031	0.6156	0.0025
cat_med_CKD12	mouse_3W	cross_species	False	0.4132	0.8789	793	0.207	0.2239	0.4754	0.4339	0.9105	0.3902	0.012	0.5286	0.0227	19	0.3934	0.4541	0.4834	0.142	0.5854	0.0113
cat_med_CKD12	IRI_2h	cross_species	False	0.1995	0.7592	887	0.113	0.1016	0.2917	0.3614	0.8184	0.4971	0.1274	0.6739	0.0056	22	0.4948	0.5562	0.6243	0.2818	0.7581	0.0056
cat_med_CKD12	IRI_4h	cross_species	False	0.2598	0.8132	880	0.12	0.1598	0.3113	0.3816	0.8425	0.4941	0.1246	0.6404	0.0136	22	0.4985	0.5397	0.6039	0.2898	0.7124	0.0114
cat_med_CKD12	IRI_24h	cross_species	False	0.4576	0.8979	891	0.109	0.3796	0.4971	0.4435	0.9168	0.3925	0.0086	0.507	0.0236	22	0.3556	0.4319	0.4656	0.1472	0.5528	0.0123
cat_med_CKD12	IRI_48h	cross_species	False	0.4251	0.8888	899	0.101	0.3255	0.4892	0.5118	0.9242	0.4136	0.0652	0.5582	0.0133	22	0.3963	0.4607	0.4909	0.2075	0.6055	0.0067
cat_med_CKD12	IRI_72h	cross_species	False	0.4459	0.832	896	0.104	0.3317	0.5001	0.4482	0.8752	0.3378	0.0025	0.4907	0.0257	22	0.3074	0.3879	0.4383	0.1492	0.5622	0.01
cat_med_CKD12	IRI_7d	cross_species	False	0.3996	0.9005	877	0.123	0.2945	0.492	0.5148	0.9259	0.4457	0.0778	0.5973	0.0137	22	0.4403	0.4937	0.5194	0.2181	0.6408	0.008
cat_med_CKD12	IRI_14d	cross_species	False	0.3721	0.8712	888	0.112	0.2566	0.473	0.5112	0.8975	0.4479	0.1005	0.5915	0.0101	22	0.4494	0.4893	0.5323	0.2421	0.6496	0.0045
cat_med_CKD12	IRI_28d	cross_species	False	0.3712	0.8711	890	0.11	0.2511	0.4498	0.39	0.9017	0.4463	0.0367	0.5931	0.0247	22	0.4502	0.4932	0.5325	0.1827	0.6528	0.0202
cat_med_CKD12	IRI_12mo	cross_species	False	0.2948	0.8322	790	0.21	0.156	0.4362	0.4541	0.8566	0.492	0.0516	0.6448	0.0165	19	0.4883	0.5207	0.5907	0.2002	0.7242	0.0063
cat_med_CKD34	mouse_5D	cross_species	False	0.3255	0.7445	796	0.204	0.2024	0.3796	0.2493	0.8208	0.336	-0.0454	0.5852	0.0389	17	0.3175	0.417	0.4673	0.0672	0.6773	0.0201
cat_med_CKD34	mouse_2W	cross_species	False	0.4725	0.779	770	0.23	0.2878	0.4807	0.3184	0.8605	0.2643	-0.1089	0.4343	0.0597	17	0.1996	0.3078	0.3771	0.009	0.5078	0.0247
cat_med_CKD34	mouse_3W	cross_species	False	0.4939	0.7477	808	0.192	0.2793	0.5006	0.2576	0.8305	0.1975	-0.1255	0.3876	0.0755	17	0.1437	0.2618	0.3295	-0.0016	0.4751	0.026
cat_med_CKD34	IRI_2h	cross_species	False	0.2137	0.6458	894	0.106	-0.0074	0.3372	0.2514	0.7269	0.3681	0.0129	0.6304	0.0235	20	0.3491	0.4245	0.5232	0.152	0.7564	0.0101
cat_med_CKD34	IRI_4h	cross_species	False	0.2648	0.6917	889	0.111	0.0689	0.3364	0.2468	0.7589	0.3565	0.0304	0.5566	0.0191	20	0.3537	0.4228	0.5009	0.1558	0.6753	0.0112
cat_med_CKD34	IRI_24h	cross_species	False	0.506	0.7638	895	0.105	0.2902	0.519	0.3271	0.8471	0.2115	-0.1208	0.3886	0.0827	20	0.118	0.2442	0.3313	0.0006	0.4645	0.0257
cat_med_CKD34	IRI_48h	cross_species	False	0.5163	0.7561	881	0.119	0.339	0.5205	0.3222	0.8362	0.2005	-0.1041	0.4027	0.0851	20	0.1284	0.2169	0.3241	0.0226	0.4802	0.0227
cat_med_CKD34	IRI_72h	cross_species	False	0.5275	0.7078	870	0.13	0.3207	0.5334	0.2186	0.7955	0.1327	-0.2189	0.3564	0.1655	20	0.07	0.1891	0.2742	-0.1304	0.4471	0.054
cat_med_CKD34	IRI_7d	cross_species	False	0.4946	0.766	896	0.104	0.3066	0.5282	0.3164	0.8528	0.2144	-0.137	0.4592	0.077	20	0.1108	0.2501	0.3336	-0.0233	0.516	0.029
cat_med_CKD34	IRI_14d	cross_species	False	0.4321	0.741	885	0.115	0.2256	0.4997	0.2633	0.8125	0.2547	-0.0998	0.4762	0.0599	20	0.2296	0.2864	0.3795	0.0175	0.5707	0.0237
cat_med_CKD34	IRI_28d	cross_species	False	0.3836	0.741	882	0.118	0.2054	0.421	0.2783	0.8073	0.2986	-0.0383	0.4846	0.0363	20	0.1756	0.3332	0.4288	0.0891	0.5805	0.0193
cat_med_CKD34	IRI_12mo	cross_species	False	0.421	0.7079	778	0.222	0.2112	0.5056	0.1381	0.7796	0.2148	-0.197	0.4884	0.0874	17	0.1649	0.2713	0.3585	-0.1415	0.5973	0.0373
mouse_5D	mouse_2W	within_dataset	True	0.7683	0.942	712	0.288	0.6967	0.7896	0.8392	0.9576	0.1658	0.0869	0.2163	0.0	12	0.1534	0.1743	0.198	0.1537	0.2489	0.0
mouse_5D	mouse_3W	within_dataset	True	0.7757	0.9041	695	0.305	0.7141	0.8042	0.7542	0.9293	0.082	-0.027	0.1852	0.0863	12	0.0357	0.1279	0.1526	0.0756	0.2223	0.0
mouse_5D	IRI_2h	same_species_diff_dataset	False	-0.0332	0.7809	706	0.294	-0.0963	0.0759	0.6268	0.853	0.7761	0.6332	0.8494	0.0	15	0.7592	0.8143	0.8789	0.7619	0.9432	0.0
mouse_5D	IRI_4h	same_species_diff_dataset	False	0.3414	0.8364	718	0.282	0.1403	0.4826	0.6801	0.8627	0.4683	0.2808	0.6973	0.0	15	0.4055	0.4956	0.5567	0.3918	0.7671	0.0
mouse_5D	IRI_24h	same_species_diff_dataset	False	0.7145	0.9235	702	0.298	0.619	0.7361	0.8232	0.9363	0.1999	0.1277	0.2605	0.0	15	0.1801	0.2061	0.2437	0.1996	0.3039	0.0
mouse_5D	IRI_48h	same_species_diff_dataset	False	0.7021	0.9142	689	0.311	0.6291	0.7144	0.8021	0.938	0.2017	0.1239	0.2598	0.0	15	0.1907	0.2108	0.2536	0.2054	0.301	0.0
mouse_5D	IRI_72h	same_species_diff_dataset	False	0.7273	0.8559	696	0.304	0.5995	0.7534	0.725	0.9011	0.1195	0.0125	0.2501	0.0144	15	0.0757	0.1302	0.1957	0.1182	0.3047	0.0
mouse_5D	IRI_7d	same_species_diff_dataset	False	0.6827	0.9262	702	0.298	0.6079	0.703	0.8234	0.9375	0.2352	0.1566	0.2876	0.0	15	0.2183	0.2395	0.2788	0.2293	0.3262	0.0
mouse_5D	IRI_14d	same_species_diff_dataset	False	0.4543	0.8961	717	0.283	0.3097	0.5348	0.793	0.9125	0.4226	0.3127	0.5344	0.0	15	0.3601	0.4381	0.4832	0.39	0.5873	0.0
mouse_5D	IRI_28d	same_species_diff_dataset	False	0.595	0.896	691	0.309	0.5041	0.6243	0.7851	0.9182	0.2867	0.2043	0.3579	0.0	15	0.2531	0.2997	0.3496	0.2894	0.4091	0.0
mouse_5D	IRI_12mo	same_species_diff_dataset	False	0.5505	0.8561	627	0.373	0.3487	0.6491	0.7442	0.8786	0.2957	0.1451	0.4651	0.0	12	0.2542	0.2927	0.3697	0.2457	0.5339	0.0
mouse_2W	mouse_3W	within_dataset	True	0.9581	0.946	700	0.3	0.7742	0.9621	0.8284	0.9661	-0.0339	-0.1165	0.0104	0.8514	12	-0.0899	-0.0172	0.0078	-0.0442	0.0288	0.4014
mouse_2W	IRI_2h	same_species_diff_dataset	False	0.1023	0.8171	704	0.296	0.004	0.2323	0.6749	0.8904	0.6886	0.5428	0.7816	0.0	15	0.6628	0.7181	0.7725	0.6516	0.8661	0.0
mouse_2W	IRI_4h	same_species_diff_dataset	False	0.3785	0.8752	700	0.3	0.16	0.5311	0.7543	0.9026	0.4723	0.2872	0.7188	0.0	15	0.4066	0.4985	0.5409	0.3776	0.7678	0.0
mouse_2W	IRI_24h	same_species_diff_dataset	False	0.8677	0.9664	713	0.287	0.8344	0.8741	0.9275	0.9689	0.0963	0.0605	0.1196	0.0	15	0.0755	0.0959	0.118	0.0934	0.1391	0.0
mouse_2W	IRI_48h	same_species_diff_dataset	False	0.8379	0.9566	694	0.306	0.7873	0.8477	0.9038	0.9749	0.1112	0.0711	0.17	0.0	15	0.0945	0.1154	0.1397	0.1136	0.1873	0.0
mouse_2W	IRI_72h	same_species_diff_dataset	False	0.8577	0.8955	690	0.31	0.7675	0.8712	0.7961	0.9341	0.0339	-0.0565	0.1399	0.2551	15	-0.0332	0.0421	0.0868	0.027	0.1723	0.0
mouse_2W	IRI_7d	same_species_diff_dataset	False	0.8841	0.9692	707	0.293	0.8432	0.8906	0.9307	0.9709	0.08	0.0559	0.1042	0.0	15	0.0756	0.0835	0.1005	0.0843	0.1222	0.0
mouse_2W	IRI_14d	same_species_diff_dataset	False	0.7066	0.9376	709	0.291	0.5283	0.7769	0.8706	0.9445	0.23	0.1274	0.3325	0.0	15	0.1474	0.229	0.2634	0.1737	0.3617	0.0
mouse_2W	IRI_28d	same_species_diff_dataset	False	0.8365	0.9375	721	0.279	0.7385	0.8589	0.8535	0.9555	0.0976	0.0257	0.1459	0.0	15	0.0581	0.0987	0.1349	0.0807	0.1854	0.0
mouse_2W	IRI_12mo	same_species_diff_dataset	False	0.7041	0.8957	621	0.379	0.5111	0.7705	0.8074	0.9113	0.1823	0.0807	0.3393	0.0	12	0.1511	0.1883	0.2381	0.1565	0.3955	0.0
mouse_3W	IRI_2h	same_species_diff_dataset	False	0.0839	0.7842	732	0.268	0.0092	0.1821	0.6042	0.8572	0.6418	0.4947	0.7708	0.0	15	0.6178	0.7055	0.7559	0.627	0.8532	0.0
mouse_3W	IRI_4h	same_species_diff_dataset	False	0.3577	0.84	693	0.307	0.1416	0.4964	0.6628	0.8698	0.4294	0.2334	0.686	0.0	15	0.3662	0.4791	0.5284	0.3547	0.7524	0.0
mouse_3W	IRI_24h	same_species_diff_dataset	False	0.8416	0.9274	703	0.297	0.6793	0.8541	0.8004	0.9463	0.0623	-0.0236	0.118	0.1181	15	0.0088	0.087	0.1158	0.0582	0.1548	0.0
mouse_3W	IRI_48h	same_species_diff_dataset	False	0.8669	0.9181	698	0.302	0.7007	0.8695	0.7762	0.9458	0.0259	-0.0627	0.0931	0.3467	15	-0.0179	0.0495	0.0845	0.0284	0.1272	0.0
mouse_3W	IRI_72h	same_species_diff_dataset	False	0.8739	0.8595	688	0.312	0.6918	0.8835	0.6899	0.907	-0.038	-0.168	0.0919	0.7137	15	-0.0904	-0.0155	0.0415	-0.0418	0.1392	0.1672
mouse_3W	IRI_7d	same_species_diff_dataset	False	0.861	0.9301	713	0.287	0.7316	0.8665	0.8033	0.9468	0.0255	-0.0431	0.106	0.3478	15	-0.0163	0.0692	0.0909	0.0392	0.1367	0.0
mouse_3W	IRI_14d	same_species_diff_dataset	False	0.6647	0.8999	674	0.326	0.4747	0.7428	0.7511	0.9166	0.1859	0.063	0.336	0.0	15	0.1502	0.2352	0.2649	0.156	0.3794	0.0
mouse_3W	IRI_28d	same_species_diff_dataset	False	0.7863	0.8998	701	0.299	0.6685	0.8195	0.7425	0.926	0.0756	-0.0346	0.1759	0.1041	15	0.0191	0.1128	0.1522	0.0671	0.2257	0.0
mouse_3W	IRI_12mo	same_species_diff_dataset	False	0.7178	0.8597	622	0.378	0.5207	0.7825	0.7025	0.8847	0.1159	-0.0242	0.2946	0.0531	12	0.067	0.126	0.1947	0.0908	0.3588	0.0
IRI_2h	IRI_4h	within_dataset	True	0.5438	0.7255	778	0.222	0.4074	0.6903	0.5416	0.798	0.1321	-0.04	0.2363	0.0527	18	0.144	0.1744	0.2548	0.1131	0.3549	0.0026
IRI_2h	IRI_24h	within_dataset	True	0.1531	0.801	788	0.212	0.0625	0.3182	0.6387	0.8707	0.6025	0.4122	0.728	0.0	18	0.5867	0.6471	0.6955	0.5321	0.8108	0.0
IRI_2h	IRI_48h	within_dataset	True	0.1811	0.793	793	0.207	0.1248	0.2983	0.6282	0.8722	0.5699	0.406	0.6832	0.0	18	0.5436	0.6139	0.6686	0.5293	0.7525	0.0
IRI_2h	IRI_72h	within_dataset	True	0.1971	0.7423	808	0.192	0.1238	0.3083	0.5779	0.8323	0.4945	0.3291	0.6286	0.0	18	0.4868	0.5476	0.6123	0.4762	0.7224	0.0
IRI_2h	IRI_7d	within_dataset	True	0.3206	0.8034	792	0.208	0.2255	0.4442	0.6464	0.8757	0.4517	0.2866	0.5722	0.0	18	0.4039	0.4872	0.5434	0.4022	0.6429	0.0
IRI_2h	IRI_14d	within_dataset	True	0.6014	0.7772	786	0.214	0.4439	0.6906	0.6177	0.8451	0.148	0.001	0.3144	0.0242	18	0.1244	0.1732	0.2563	0.1331	0.3969	0.0
IRI_2h	IRI_28d	within_dataset	True	0.2571	0.7771	796	0.204	0.1403	0.4497	0.5909	0.8521	0.4572	0.2876	0.5973	0.0	18	0.4782	0.5095	0.5616	0.4129	0.7023	0.0
IRI_2h	IRI_12mo	within_dataset	False	0.2556	0.7425	698	0.302	0.1295	0.3483	0.5871	0.8064	0.4583	0.2922	0.6443	0.0	15	0.3947	0.481	0.5792	0.4319	0.7366	0.0
IRI_4h	IRI_24h	within_dataset	True	0.4216	0.858	776	0.224	0.2448	0.5738	0.7333	0.888	0.399	0.2207	0.6124	0.0	18	0.3609	0.4321	0.4783	0.3165	0.6718	0.0
IRI_4h	IRI_48h	within_dataset	True	0.4132	0.8494	796	0.204	0.2548	0.5626	0.6989	0.8858	0.392	0.2046	0.6013	0.0	18	0.3526	0.4303	0.4778	0.3156	0.6602	0.0
IRI_4h	IRI_72h	within_dataset	True	0.4467	0.7951	806	0.194	0.2745	0.5893	0.6184	0.8469	0.3034	0.1175	0.5403	0.0012	18	0.2776	0.3482	0.4091	0.2472	0.6133	0.0
IRI_4h	IRI_7d	within_dataset	True	0.4737	0.8605	793	0.207	0.2757	0.6242	0.7285	0.8871	0.3476	0.1733	0.572	0.0	18	0.2847	0.3818	0.4257	0.2667	0.6312	0.0
IRI_4h	IRI_14d	within_dataset	True	0.4002	0.8325	786	0.214	0.23	0.5516	0.6746	0.8568	0.3788	0.1934	0.5783	0.0	18	0.3553	0.4295	0.4733	0.3116	0.6568	0.0
IRI_4h	IRI_28d	within_dataset	True	0.3957	0.8324	799	0.201	0.2519	0.5389	0.6788	0.8617	0.3775	0.2036	0.5859	0.0	18	0.3646	0.4336	0.4713	0.3196	0.653	0.0
IRI_4h	IRI_12mo	within_dataset	False	0.3444	0.7953	678	0.322	0.1243	0.488	0.6526	0.8232	0.4264	0.2431	0.6547	0.0	15	0.352	0.4491	0.5318	0.3688	0.7424	0.0
IRI_24h	IRI_48h	within_dataset	True	0.8899	0.9379	790	0.21	0.8545	0.8994	0.863	0.9557	0.0322	-0.028	0.081	0.1266	18	0.0173	0.0459	0.0724	0.0343	0.1032	0.0
IRI_24h	IRI_72h	within_dataset	True	0.8544	0.878	801	0.199	0.7605	0.8698	0.772	0.9149	0.0166	-0.067	0.1016	0.387	18	-0.0223	0.0241	0.0789	0.0289	0.1429	0.0
IRI_24h	IRI_7d	within_dataset	True	0.8251	0.9501	771	0.229	0.7801	0.8495	0.8882	0.9529	0.1097	0.0545	0.1548	0.0013	18	0.1022	0.1232	0.1419	0.1052	0.1828	0.0
IRI_24h	IRI_14d	within_dataset	True	0.6438	0.9192	773	0.227	0.5015	0.7262	0.8342	0.9255	0.2512	0.1402	0.3644	0.0	18	0.2057	0.2732	0.3024	0.204	0.4044	0.0
IRI_24h	IRI_28d	within_dataset	True	0.7173	0.9191	773	0.227	0.6315	0.7643	0.8186	0.9366	0.1783	0.0905	0.2502	0.0013	18	0.1553	0.201	0.2288	0.1602	0.2959	0.0
IRI_24h	IRI_12mo	within_dataset	False	0.6075	0.8782	686	0.314	0.4254	0.6858	0.7798	0.8915	0.2619	0.1525	0.4183	0.0	15	0.2232	0.2654	0.3256	0.2342	0.4752	0.0
IRI_48h	IRI_72h	within_dataset	True	0.9503	0.8691	788	0.212	0.8468	0.9524	0.7542	0.9203	-0.0863	-0.1755	-0.0088	0.9898	18	-0.1451	-0.0756	-0.0194	-0.0739	0.0413	0.7132
IRI_48h	IRI_7d	within_dataset	True	0.8656	0.9406	782	0.218	0.8219	0.8812	0.8622	0.9561	0.0508	-0.0077	0.1216	0.0396	18	0.0472	0.0727	0.0904	0.0547	0.1443	0.0
IRI_48h	IRI_14d	within_dataset	True	0.6882	0.91	795	0.205	0.5543	0.7486	0.814	0.9274	0.1983	0.1049	0.3086	0.0	18	0.1549	0.2215	0.2544	0.173	0.3478	0.0
IRI_48h	IRI_28d	within_dataset	True	0.755	0.9099	775	0.225	0.6908	0.7819	0.7968	0.9381	0.1306	0.0444	0.1913	0.0077	18	0.1143	0.1556	0.1878	0.1265	0.2328	0.0
IRI_48h	IRI_12mo	within_dataset	False	0.7242	0.8693	673	0.327	0.5484	0.7704	0.767	0.8926	0.1344	0.0321	0.2656	0.0059	15	0.1102	0.1409	0.2038	0.1224	0.3295	0.0
