a	b	cos_aggregated	class
cat_CKD12	cat_CKD34	0.9699	within species
cat_CKD12	cat_med_CKD12	0.9007	within species
cat_CKD12	cat_med_CKD34	0.8884	within species
cat_CKD12	mouse_5D	0.8989	cross species
cat_CKD12	mouse_2W	0.9272	cross species
cat_CKD12	mouse_3W	0.9476	cross species
cat_CKD12	IRI_2h	0.2794	cross species
cat_CKD12	IRI_4h	0.6975	cross species
cat_CKD12	IRI_24h	0.9173	cross species
cat_CKD12	IRI_48h	0.9468	cross species
cat_CKD12	IRI_72h	0.9284	cross species
cat_CKD12	IRI_7d	0.9172	cross species
cat_CKD12	IRI_14d	0.6815	cross species
cat_CKD12	IRI_28d	0.7213	cross species
cat_CKD12	IRI_12mo	0.8482	cross species
cat_CKD34	cat_med_CKD12	0.9303	within species
cat_CKD34	cat_med_CKD34	0.8671	within species
cat_CKD34	mouse_5D	0.9275	cross species
cat_CKD34	mouse_2W	0.9554	cross species
cat_CKD34	mouse_3W	0.9304	cross species
cat_CKD34	IRI_2h	0.2642	cross species
cat_CKD34	IRI_4h	0.7493	cross species
cat_CKD34	IRI_24h	0.9502	cross species
cat_CKD34	IRI_48h	0.9282	cross species
cat_CKD34	IRI_72h	0.9123	cross species
cat_CKD34	IRI_7d	0.9134	cross species
cat_CKD34	IRI_14d	0.6904	cross species
cat_CKD34	IRI_28d	0.7533	cross species
cat_CKD34	IRI_12mo	0.79	cross species
cat_med_CKD12	cat_med_CKD34	0.8982	within species
cat_med_CKD12	mouse_5D	0.8901	cross species
cat_med_CKD12	mouse_2W	0.8996	cross species
cat_med_CKD12	mouse_3W	0.9117	cross species
cat_med_CKD12	IRI_2h	0.1227	cross species
cat_med_CKD12	IRI_4h	0.683	cross species
cat_med_CKD12	IRI_24h	0.921	cross species
cat_med_CKD12	IRI_48h	0.8737	cross species
cat_med_CKD12	IRI_72h	0.8167	cross species
cat_med_CKD12	IRI_7d	0.8153	cross species
cat_med_CKD12	IRI_14d	0.5176	cross species
cat_med_CKD12	IRI_28d	0.598	cross species
cat_med_CKD12	IRI_12mo	0.6393	cross species
cat_med_CKD34	mouse_5D	0.859	cross species
cat_med_CKD34	mouse_2W	0.805	cross species
cat_med_CKD34	mouse_3W	0.9281	cross species
cat_med_CKD34	IRI_2h	-0.0673	cross species
cat_med_CKD34	IRI_4h	0.493	cross species
cat_med_CKD34	IRI_24h	0.8498	cross species
cat_med_CKD34	IRI_48h	0.852	cross species
cat_med_CKD34	IRI_72h	0.767	cross species
cat_med_CKD34	IRI_7d	0.7227	cross species
cat_med_CKD34	IRI_14d	0.346	cross species
cat_med_CKD34	IRI_28d	0.397	cross species
cat_med_CKD34	IRI_12mo	0.6613	cross species
mouse_5D	mouse_2W	0.9241	within species
mouse_5D	mouse_3W	0.9239	within species
mouse_5D	IRI_2h	0.1312	within species
mouse_5D	IRI_4h	0.7389	within species
mouse_5D	IRI_24h	0.9438	within species
mouse_5D	IRI_48h	0.9035	within species
mouse_5D	IRI_72h	0.8696	within species
mouse_5D	IRI_7d	0.8533	within species
mouse_5D	IRI_14d	0.5634	within species
mouse_5D	IRI_28d	0.6516	within species
mouse_5D	IRI_12mo	0.7019	within species
mouse_2W	mouse_3W	0.9448	within species
mouse_2W	IRI_2h	0.3337	within species
mouse_2W	IRI_4h	0.7787	within species
mouse_2W	IRI_24h	0.9729	within species
mouse_2W	IRI_48h	0.934	within species
mouse_2W	IRI_72h	0.9481	within species
mouse_2W	IRI_7d	0.9571	within species
mouse_2W	IRI_14d	0.7594	within species
mouse_2W	IRI_28d	0.8314	within species
mouse_2W	IRI_12mo	0.7627	within species
mouse_3W	IRI_2h	0.1849	within species
mouse_3W	IRI_4h	0.6615	within species
mouse_3W	IRI_24h	0.9448	within species
mouse_3W	IRI_48h	0.9594	within species
mouse_3W	IRI_72h	0.929	within species
mouse_3W	IRI_7d	0.897	within species
mouse_3W	IRI_14d	0.6024	within species
mouse_3W	IRI_28d	0.6588	within species
mouse_3W	IRI_12mo	0.7798	within species
IRI_2h	IRI_4h	0.582	within species
IRI_2h	IRI_24h	0.2164	within species
IRI_2h	IRI_48h	0.3374	within species
IRI_2h	IRI_72h	0.4673	within species
IRI_2h	IRI_7d	0.515	within species
IRI_2h	IRI_14d	0.7952	within species
IRI_2h	IRI_28d	0.6942	within species
IRI_2h	IRI_12mo	0.506	within species
IRI_4h	IRI_24h	0.7524	within species
IRI_4h	IRI_48h	0.7303	within species
IRI_4h	IRI_72h	0.7604	within species
IRI_4h	IRI_7d	0.7943	within species
IRI_4h	IRI_14d	0.7151	within species
IRI_4h	IRI_28d	0.7698	within species
IRI_4h	IRI_12mo	0.6268	within species
IRI_24h	IRI_48h	0.9351	within species
IRI_24h	IRI_72h	0.908	within species
IRI_24h	IRI_7d	0.9123	within species
IRI_24h	IRI_14d	0.658	within species
IRI_24h	IRI_28d	0.7363	within species
IRI_24h	IRI_12mo	0.7146	within species
IRI_48h	IRI_72h	0.9696	within species
IRI_48h	IRI_7d	0.9364	within species
IRI_48h	IRI_14d	0.7145	within species
IRI_48h	IRI_28d	0.748	within species
IRI_48h	IRI_12mo	0.8528	within species
IRI_72h	IRI_7d	0.9769	within species
IRI_72h	IRI_14d	0.8222	within species
IRI_72h	IRI_28d	0.8532	within species
IRI_72h	IRI_12mo	0.8718	within species
IRI_7d	IRI_14d	0.8712	within species
IRI_7d	IRI_28d	0.9044	within species
IRI_7d	IRI_12mo	0.8629	within species
IRI_14d	IRI_28d	0.9691	within species
IRI_14d	IRI_12mo	0.7861	within species
IRI_28d	IRI_12mo	0.7562	within species
