cos_raw	cos_centred	cos_agg_centred	cos_agg_raw	within
0.7591	0.7505	0.9007	0.8208	1
0.7937	0.7855	0.8884	0.8247	1
0.2864	0.4075	0.8989	0.2612	0
0.4703	0.6071	0.9272	0.4124	0
0.4491	0.5715	0.9476	0.3795	0
0.2537	0.2296	0.2794	0.4395	0
0.2922	0.3004	0.6975	0.5968	0
0.4599	0.5351	0.9173	0.4817	0
0.4829	0.5645	0.9468	0.4416	0
0.5089	0.5669	0.9284	0.597	0
0.5134	0.6037	0.9172	0.5607	0
0.4984	0.5476	0.6815	0.68	0
0.472	0.5506	0.7213	0.5989	0
0.5035	0.5926	0.8482	0.4232	0
0.7898	0.7765	0.9303	0.8648	1
0.8574	0.8515	0.8671	0.7758	1
0.3462	0.4951	0.9275	0.2396	0
0.4984	0.66	0.9554	0.3987	0
0.4801	0.6259	0.9304	0.3315	0
0.193	0.1621	0.2642	0.4575	0
0.3029	0.3144	0.7493	0.64	0
0.5176	0.6107	0.9502	0.4758	0
0.5101	0.6087	0.9282	0.3931	0
0.5482	0.6203	0.9123	0.5554	0
0.5116	0.618	0.9134	0.5308	0
0.4698	0.5286	0.6904	0.6815	0
0.4841	0.5783	0.7533	0.6129	0
0.4416	0.5425	0.79	0.3508	0
0.186	0.3751	0.8901	-0.1237	0
0.4121	0.6305	0.8996	0.0353	0
0.4132	0.6148	0.9117	-0.0155	0
0.1995	0.1563	0.1227	0.5315	0
0.2598	0.2805	0.683	0.4012	0
0.4576	0.5941	0.921	0.136	0
0.4251	0.566	0.8737	0.0292	0
0.4459	0.5519	0.8167	0.1874	0
0.3996	0.5476	0.8153	0.1593	0
0.3721	0.4594	0.5176	0.3368	0
0.3712	0.5033	0.598	0.2404	0
0.2948	0.4308	0.6393	-0.0548	0
0.3255	0.4482	0.859	0.5127	0
0.4725	0.6065	0.805	0.5998	0
0.4939	0.6179	0.9281	0.6361	0
0.2137	0.1888	-0.0673	-0.0188	0
0.2648	0.2721	0.493	0.4662	0
0.506	0.5817	0.8498	0.6709	0
0.5163	0.5977	0.852	0.625	0
0.5275	0.5845	0.767	0.6774	0
0.4946	0.5816	0.7227	0.6566	0
0.4321	0.4776	0.346	0.5074	0
0.3836	0.4555	0.397	0.5157	0
0.421	0.503	0.6613	0.5532	0
-0.0332	0.0338	0.1312	-0.4572	1
0.3414	0.3678	0.7389	0.5743	1
0.7145	0.6939	0.9438	0.9478	1
0.7021	0.6761	0.9035	0.9504	1
0.7273	0.7251	0.8696	0.8779	1
0.6827	0.6493	0.8533	0.9083	1
0.4543	0.432	0.5634	0.6062	1
0.595	0.557	0.6516	0.7661	1
0.5505	0.4996	0.7019	0.8869	1
0.1023	0.1809	0.3337	-0.307	1
0.3785	0.4064	0.7787	0.659	1
0.8677	0.865	0.9729	0.9835	1
0.8379	0.8286	0.934	0.9741	1
0.8577	0.8678	0.9481	0.9461	1
0.8841	0.8771	0.9571	0.9688	1
0.7066	0.7092	0.7594	0.7399	1
0.8365	0.8284	0.8314	0.8707	1
0.7041	0.6739	0.7627	0.9024	1
0.0839	0.1545	0.1849	-0.3846	1
0.3577	0.3799	0.6615	0.5711	1
0.8416	0.8333	0.9448	0.9642	1
0.8669	0.8588	0.9594	0.9804	1
0.8739	0.881	0.929	0.9299	1
0.861	0.8494	0.897	0.9439	1
0.6647	0.6601	0.6024	0.6579	1
0.7863	0.7705	0.6588	0.7906	1
0.7178	0.6896	0.7798	0.916	1
0.2556	0.3156	0.506	-0.1943	1
0.3444	0.3552	0.6268	0.5885	1
0.6075	0.5793	0.7146	0.8698	1
0.7242	0.703	0.8528	0.9441	1
0.7253	0.7136	0.8718	0.9199	1
0.8084	0.7926	0.8629	0.9274	1
0.7578	0.7524	0.7861	0.762	1
0.7901	0.7747	0.7562	0.8296	1
