collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
Reactome	ABC Transporter Disorders	31	cat_CKD12	0.9139	0.6784	-0.2356	0.7733	0.97	False
Reactome	ABC Transporter Disorders	31	cat_CKD34	1.0	0.8563	-0.1437	1.0	1.0	False
Reactome	ABC Transporter Disorders	31	cat_med_CKD12	0.8853	0.811	-0.0743	0.5473	0.953	False
Reactome	ABC Transporter Disorders	31	cat_med_CKD34	0.4165	0.7642	0.3477	0.6682	0.9477	False
Reactome	ABC Transporter Disorders	31	mouse_5D	-0.4854	0.9	1.3854	-0.11	0.7222	False
Reactome	ABC Transporter Disorders	31	mouse_2W	-0.3492	0.9181	1.2673	0.112	0.7656	False
Reactome	ABC Transporter Disorders	31	mouse_3W	-0.3261	0.9011	1.2272	0.0825	0.7801	False
Reactome	ABC Transporter Disorders	31	IRI_2h	0.3165	0.8723	0.5558	-0.1979	0.5625	False
Reactome	ABC Transporter Disorders	31	IRI_4h	0.3987	0.7887	0.39	-0.1049	0.68	False
Reactome	ABC Transporter Disorders	31	IRI_24h	-0.4258	0.9138	1.3396	0.1401	0.7889	False
Reactome	ABC Transporter Disorders	31	IRI_48h	-0.3178	0.8961	1.2139	0.1794	0.776	False
Reactome	ABC Transporter Disorders	31	IRI_72h	-0.0116	0.7272	0.7388	0.2199	0.8135	False
Reactome	ABC Transporter Disorders	31	IRI_7d	-0.0833	0.8685	0.9518	0.1642	0.8143	False
Reactome	ABC Transporter Disorders	31	IRI_14d	0.1654	0.8794	0.714	0.1012	0.781	False
Reactome	ABC Transporter Disorders	31	IRI_28d	0.1734	0.6912	0.5178	0.0234	0.7997	False
Reactome	ABC Transporter Disorders	31	IRI_12mo	-0.0498	0.8668	0.9166	-0.0106	0.7887	False
Reactome	ABC-family Proteins Mediated Transport	36	cat_CKD12	0.9401	0.7977	-0.1424	0.7733	0.97	False
Reactome	ABC-family Proteins Mediated Transport	36	cat_CKD34	1.0	0.8784	-0.1216	1.0	1.0	False
Reactome	ABC-family Proteins Mediated Transport	36	cat_med_CKD12	0.8851	0.8471	-0.038	0.5473	0.953	False
Reactome	ABC-family Proteins Mediated Transport	36	cat_med_CKD34	0.5807	0.7604	0.1798	0.6682	0.9477	False
Reactome	ABC-family Proteins Mediated Transport	36	mouse_5D	-0.3287	0.9132	1.2419	-0.11	0.7222	False
Reactome	ABC-family Proteins Mediated Transport	36	mouse_2W	-0.1357	0.9298	1.0655	0.112	0.7656	False
Reactome	ABC-family Proteins Mediated Transport	36	mouse_3W	-0.147	0.9046	1.0516	0.0825	0.7801	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_2h	0.3786	0.8895	0.5109	-0.1979	0.5625	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_4h	0.4234	0.805	0.3817	-0.1049	0.68	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_24h	-0.2601	0.9203	1.1804	0.1401	0.7889	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_48h	-0.2612	0.9004	1.1616	0.1794	0.776	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_72h	0.086	0.7233	0.6372	0.2199	0.8135	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_7d	0.2	0.8841	0.6841	0.1642	0.8143	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_14d	0.302	0.8933	0.5913	0.1012	0.781	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_28d	0.2623	0.7081	0.4458	0.0234	0.7997	False
Reactome	ABC-family Proteins Mediated Transport	36	IRI_12mo	0.2085	0.8672	0.6587	-0.0106	0.7887	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	cat_CKD12	0.8257	0.2903	-0.5354	0.7733	0.97	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	cat_CKD34	1.0	0.6086	-0.3914	1.0	1.0	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	cat_med_CKD12	0.8752	0.6326	-0.2426	0.5473	0.953	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	cat_med_CKD34	-0.0071	0.6318	0.639	0.6682	0.9477	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	mouse_5D	-0.632	0.7577	1.3897	-0.11	0.7222	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	mouse_2W	-0.5107	0.7744	1.2851	0.112	0.7656	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	mouse_3W	-0.5642	0.7597	1.3239	0.0825	0.7801	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_2h	0.5196	0.7407	0.2211	-0.1979	0.5625	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_4h	0.124	0.6617	0.5378	-0.1049	0.68	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_24h	-0.5126	0.7713	1.2838	0.1401	0.7889	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_48h	-0.4602	0.7596	1.2199	0.1794	0.776	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_72h	-0.1954	0.6257	0.8211	0.2199	0.8135	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_7d	-0.0971	0.7439	0.841	0.1642	0.8143	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_14d	0.4415	0.7396	0.2981	0.1012	0.781	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_28d	0.4801	0.5914	0.1113	0.0234	0.7997	False
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	IRI_12mo	-0.4534	0.7315	1.185	-0.0106	0.7887	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_CKD12	0.8257	0.2903	-0.5354	0.7733	0.97	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_CKD34	1.0	0.6086	-0.3914	1.0	1.0	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_med_CKD12	0.8752	0.6326	-0.2426	0.5473	0.953	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_med_CKD34	-0.0071	0.6318	0.639	0.6682	0.9477	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_5D	-0.632	0.7577	1.3897	-0.11	0.7222	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_2W	-0.5107	0.7744	1.2851	0.112	0.7656	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_3W	-0.5642	0.7597	1.3239	0.0825	0.7801	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_2h	0.5196	0.7407	0.2211	-0.1979	0.5625	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_4h	0.124	0.6617	0.5378	-0.1049	0.68	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_24h	-0.5126	0.7713	1.2838	0.1401	0.7889	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_48h	-0.4602	0.7596	1.2199	0.1794	0.776	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_72h	-0.1954	0.6257	0.8211	0.2199	0.8135	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_7d	-0.0971	0.7439	0.841	0.1642	0.8143	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_14d	0.4415	0.7396	0.2981	0.1012	0.781	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_28d	0.4801	0.5914	0.1113	0.0234	0.7997	False
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_12mo	-0.4534	0.7315	1.185	-0.0106	0.7887	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	cat_CKD12	0.8257	0.2903	-0.5354	0.7733	0.97	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	cat_CKD34	1.0	0.6086	-0.3914	1.0	1.0	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	cat_med_CKD12	0.8752	0.6326	-0.2426	0.5473	0.953	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	cat_med_CKD34	-0.0071	0.6318	0.639	0.6682	0.9477	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	mouse_5D	-0.632	0.7577	1.3897	-0.11	0.7222	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	mouse_2W	-0.5107	0.7744	1.2851	0.112	0.7656	False
