collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
Reactome	ABC Transporter Disorders	31	0.669	0.4054	0.022	0.6736	0.498	0.022	0.6458	0.498	0.022
Reactome	ABC-family Proteins Mediated Transport	36	0.6238	0.4171	0.2042	0.6474	0.4935	0.2042	0.6083	0.4792	0.2042
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	0.8041	0.5023	-0.2372	0.7783	0.527	-0.2372	0.772	0.527	-0.2372
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	Activation of NF-kappaB in B Cells	30	0.7031	0.5385	0.1353	0.6987	0.563	0.1353	0.694	0.563	0.1353
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	0.6672	0.8494	0.5829	0.7233	0.8947	0.5829	0.7268	0.9052	0.5829
Reactome	Adaptive Immune System	150	0.7598	0.7663	0.517	0.8061	0.7839	0.517	0.7839	0.7903	0.517
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	0.5301	0.6766	0.7094	0.4802	0.6095	0.7094	0.4208	0.6055	0.7094
Reactome	Antigen processing-Cross Presentation	41	0.5541	0.7508	0.6631	0.5887	0.7773	0.6631	0.572	0.7773	0.6631
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	0.7451	0.3871	-0.0145	0.7377	0.473	-0.0145	0.7125	0.3741	-0.0145
Reactome	Antiviral Mechanism by IFN-stimulated Genes	46	0.7237	0.7535	0.5578	0.7585	0.7812	0.5578	0.7375	0.7812	0.5578
Reactome	Apoptosis	66	0.8383	0.7494	0.4203	0.8483	0.7516	0.4203	0.8315	0.7516	0.4203
Reactome	Asparagine N-linked Glycosylation	98	0.8837	0.7279	0.3033	0.8884	0.7253	0.3033	0.8774	0.7253	0.3033
Reactome	Assembly of the Pre-Replicative Complex	30	0.7269	0.4938	-0.165	0.7281	0.5769	-0.165	0.722	0.5769	-0.165
Reactome	Asymmetric Localization of PCP Proteins	30	0.7222	0.4121	-0.1773	0.7244	0.5268	-0.1773	0.7179	0.5268	-0.1773
Reactome	Autophagy	44	0.7697	0.7974	0.5396	0.7933	0.8057	0.5396	0.772	0.812	0.5396
Reactome	Axon Guidance	182	0.7546	0.7929	0.5229	0.7943	0.7896	0.5229	0.7827	0.8206	0.5229
Reactome	Beta-catenin Independent WNT Signaling	47	0.8142	0.6474	0.0862	0.8029	0.6657	0.0862	0.7815	0.6657	0.0862
