pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
ABC Transporter Disorders	31	1.0	0.8853	-0.0666
ABC-family Proteins Mediated Transport	36	1.0	0.8851	0.143
APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.8889	0.8257	-0.3244
APC C-mediated Degradation of Cell Cycle Proteins	30	0.8889	0.8257	-0.3244
APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	0.8889	0.8257	-0.3244
AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	0.9167	0.8243	-0.4024
Actin Filament Organization (GO:0007015)	44	0.9722	0.9068	0.7487
Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.8889	0.8257	-0.3244
Activation of NF-kappaB in B Cells	30	0.8333	0.8467	-0.0036
Adaptive Immune System	150	1.0	0.7946	0.6133
Adipogenesis	86	1.0	0.8995	0.5738
Aerobic Electron Transport Chain (GO:0019646)	36	0.9167	0.9649	0.7671
Aerobic Respiration (GO:0009060)	36	0.9167	0.9622	0.7169
Aerobic Respiration and Respiratory Electron Transport	106	1.0	0.9367	0.6756
Alzheimer disease	108	1.0	0.8507	0.5771
Amyotrophic lateral sclerosis	120	1.0	0.8388	0.5709
Antigen Processing Ubiquitination & Proteasome Degradation	52	1.0	0.7235	-0.273
Antigen processing-Cross Presentation	41	0.6944	0.8415	0.7346
Antiviral Mechanism by IFN-stimulated Genes	46	0.9722	0.8383	0.615
Apical Junction	44	1.0	0.8889	0.6393
Apoptosis	66	1.0	0.8224	0.5951
Asparagine N-linked Glycosylation	98	1.0	0.777	0.3432
Assembly of the Pre-Replicative Complex	30	0.8889	0.8267	-0.3819
Asymmetric Localization of PCP Proteins	30	0.8889	0.8288	-0.424
Autophagy	44	1.0	0.8419	0.6175
Axon Guidance	182	0.8333	0.7427	0.6436
Bacterial invasion of epithelial cells	33	0.8056	0.8258	0.7256
Beta-catenin Independent WNT Signaling	47	1.0	0.8947	0.0224
Bile Acid Metabolism	39	1.0	0.9123	0.3908
Biological Oxidations	54	1.0	0.9283	0.2661
C-type Lectin Receptors (CLRs)	40	0.9444	0.7934	0.2097
CLEC7A (Dectin-1) Signaling	38	0.9444	0.7902	0.2272
COPI-mediated Anterograde Transport	43	0.7778	0.7417	0.6055
Cap-dependent Translation Initiation	84	0.9444	0.7739	0.5446
Cargo Recognition for Clathrin-Mediated Endocytosis	34	1.0	0.7368	0.225
Cdc20 Phospho-APC C Mediated Degradation of Cyclin A	30	0.8889	0.8257	-0.3244
Cell Cycle	118	1.0	0.7191	0.4603
Cell Cycle Checkpoints	56	1.0	0.8088	0.0891
Cell Cycle, Mitotic	104	0.9722	0.7719	0.4997
Cell-Cell Communication	33	0.9722	0.9129	0.6896
Cellular Component Assembly (GO:0022607)	51	0.9167	0.8487	0.5814
Cellular Respiration (GO:0045333)	45	0.9167	0.9551	0.77
Cellular Response To Cytokine Stimulus (GO:0071345)	34	1.0	0.9339	0.6004
Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	1.0	0.9038	0.4091
Cellular Response to Chemical Stress	70	1.0	0.8655	0.1788
Cellular Response to Heat Stress	31	1.0	0.7627	0.1534
Cellular Response to Starvation	78	1.0	0.7229	0.4476
Cellular Responses to Stimuli	257	1.0	0.722	0.4116
Cellular Responses to Stress	232	1.0	0.7194	0.3178
Central Nervous System Development (GO:0007417)	31	1.0	0.9019	0.581
Chaperonin-mediated Protein Folding	31	0.6667	0.7451	0.6893
Chemical carcinogenesis	30	1.0	0.9075	0.4356
Cilium Assembly	36	0.9444	0.7692	0.6216
Class I MHC Mediated Antigen Processing & Presentation	74	0.8611	0.7831	0.6083
Clathrin-mediated Endocytosis	55	1.0	0.7197	0.1728
Coagulation	37	0.7778	0.8799	0.7348
Complement	40	1.0	0.8743	0.6852
Complex I Biogenesis	34	1.0	0.9634	0.7587
Coronavirus disease	77	0.9444	0.8301	0.6493
Cross-presentation of Soluble Exogenous Antigens (Endosomes)	30	0.75	0.9077	0.5963
Cyclin A Cdk2-associated Events at S Phase Entry	30	0.8889	0.8269	-0.402
Cyclin E Associated Events During G1 S Transition	30	0.8889	0.8269	-0.402
Cytokine Signaling in Immune System	147	1.0	0.8118	0.6248
Cytoplasmic Translation (GO:0002181)	67	1.0	0.7903	0.5943
DNA Damage Response (GO:0006974)	35	1.0	0.8119	0.3872
DNA Metabolic Process (GO:0006259)	37	1.0	0.873	0.2653
DNA Repair	33	0.9931	0.8564	0.2017
DNA Repair (GO:0006281)	30	1.0	0.8323	0.1789
DNA Replication	34	0.8889	0.8374	-0.2864
DNA Replication Pre-Initiation	33	0.8889	0.8385	-0.382
Dectin-1 Mediated Noncanonical NF-kB Signaling	31	0.8889	0.7933	-0.4339
Defective CFTR Causes Cystic Fibrosis	31	1.0	0.8853	-0.0666
Degradation of Beta-Catenin by the Destruction Complex	34	0.8889	0.815	-0.3912
Degradation of DVL	30	0.8889	0.8468	-0.3374
Degradation of GLI1 by the Proteasome	31	0.8889	0.8471	-0.3144
Degradation of GLI2 by the Proteasome	30	0.8889	0.8327	-0.3837
Deubiquitination	57	0.9722	0.6447	-0.0039
Developmental Biology	230	1.0	0.7484	0.5762
Diabetic cardiomyopathy	62	1.0	0.92	0.6261
Dicarboxylic Acid Metabolic Process (GO:0043648)	30	1.0	0.9279	0.3036
Diseases of Metabolism	69	1.0	0.8441	0.5619
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	101	0.7778	0.7815	0.6839
Disorders of Transmembrane Transporters	47	1.0	0.8262	0.3548
Downstream Signaling Events of B Cell Receptor (BCR)	34	0.9167	0.8055	-0.0516
Downstream TCR Signaling	31	0.8333	0.8407	-0.0079
E2F Targets	40	1.0	0.8173	0.453
EPH-Ephrin Signaling	32	1.0	0.7935	0.3112
ER to Golgi Anterograde Transport	60	1.0	0.7278	0.4652
ER-Phagosome Pathway	37	0.5833	0.8345	0.7123
Endocytosis	70	1.0	0.7671	0.0148
Endocytosis (GO:0006897)	51	1.0	0.9014	0.6892
Endomembrane System Organization (GO:0010256)	39	1.0	0.8912	0.4281
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	37	1.0	0.8169	0.0911
Endosomal Transport (GO:0016197)	41	1.0	0.8008	0.1078
Epithelial Mesenchymal Transition	49	0.8889	0.8419	0.771
Epithelium Development (GO:0060429)	30	1.0	0.8868	0.3917
Epstein-Barr virus infection	31	1.0	0.9715	0.7301
Estrogen Response Late	33	1.0	0.8163	0.3979
Eukaryotic Translation Elongation	66	0.75	0.7953	0.6165
Eukaryotic Translation Initiation	84	0.9444	0.7739	0.5446
Eukaryotic Translation Termination	65	0.7222	0.8084	0.653
Extracellular Matrix Organization	59	1.0	0.8364	0.747
FCERI Mediated NF-kB Activation	31	0.8333	0.8407	-0.0079
Fatty Acid Beta-Oxidation (GO:0006635)	32	0.9722	0.9429	0.7538
Fatty Acid Catabolic Process (GO:0009062)	30	1.0	0.9519	0.6556
Fatty Acid Metabolic Process (GO:0006631)	44	1.0	0.9257	0.469
Fatty Acid Metabolism	67	1.0	0.9208	0.4926
Fc Epsilon Receptor (FCERI) Signaling	39	0.9167	0.8361	0.0738
Focal adhesion	53	0.7222	0.8682	0.8584
Formation of a Pool of Free 40S Subunits	73	0.75	0.7812	0.6026
Formation of the Ternary Complex, and Subsequently, the 43S Complex	39	0.8333	0.784	0.608
G1 S Transition	36	0.8889	0.8313	-0.3007
G2 M Checkpoints	39	0.9444	0.7868	-0.3207
G2 M Transition	58	0.8056	0.7781	0.5833
G2-M Checkpoint	34	1.0	0.6977	0.0846
GLI3 Is Processed to GLI3R by the Proteasome	30	0.8889	0.8327	-0.3837
GPCR Downstream Signalling	35	1.0	0.8485	0.5356
GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	83	1.0	0.7735	0.5402
Gastrulation	30	0.8333	0.6696	0.0183
Gene Expression (GO:0010467)	97	1.0	0.8362	0.4828
Gene Expression (Transcription)	147	1.0	0.8482	0.5179
Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation	30	1.0	0.8665	0.5541
Generic Transcription Pathway	111	0.9722	0.8648	0.5538
Glucose Metabolism	33	1.0	0.8569	0.1337
Glycolysis	67	1.0	0.9005	0.4996
Glycolysis / Gluconeogenesis	36	1.0	0.878	0.2932
Golgi Vesicle Transport (GO:0048193)	57	1.0	0.7765	0.0312
Golgi-to-ER Retrograde Transport	47	0.8611	0.7593	0.6686
HIV Infection	69	1.0	0.7107	0.0118
Hedgehog 'Off' State	38	0.6389	0.7459	0.6656
Hedgehog 'On' State	32	0.9167	0.8283	-0.2775
Hedgehog Ligand Biogenesis	31	0.8889	0.8112	-0.3793
Hemostasis	118	0.75	0.862	0.7702
Hh Mutants Abrogate Ligand Secretion	30	0.8889	0.8285	-0.3984
Hh Mutants Are Degraded by ERAD	30	0.8889	0.8285	-0.3984
Host Interactions of HIV Factors	58	1.0	0.7086	-0.0319
Human cytomegalovirus infection	32	1.0	0.8534	0.5302
Human immunodeficiency virus 1 infection	32	1.0	0.9142	0.3425
Human papillomavirus infection	55	0.8889	0.8686	0.8361
Huntington disease	103	1.0	0.8516	0.5568
