n_genes	state	lo95	hi95	iqr
30	cat_CKD12	0.7733	0.97	0.0529
30	cat_CKD34	1.0	1.0	0.0
30	cat_med_CKD12	0.5473	0.953	0.1222
30	cat_med_CKD34	0.6682	0.9477	0.0979
30	mouse_5D	-0.11	0.7222	0.2569
30	mouse_2W	0.112	0.7656	0.2129
30	mouse_3W	0.0825	0.7801	0.231
30	IRI_2h	-0.1979	0.5625	0.2952
30	IRI_4h	-0.1049	0.68	0.2336
30	IRI_24h	0.1401	0.7889	0.2122
30	IRI_48h	0.1794	0.776	0.239
30	IRI_72h	0.2199	0.8135	0.2277
30	IRI_7d	0.1642	0.8143	0.2446
30	IRI_14d	0.1012	0.781	0.2381
30	IRI_28d	0.0234	0.7997	0.2379
30	IRI_12mo	-0.0106	0.7887	0.2852
50	cat_CKD12	0.7683	0.9607	0.0471
50	cat_CKD34	1.0	1.0	0.0
50	cat_med_CKD12	0.6132	0.9292	0.1071
50	cat_med_CKD34	0.7046	0.9424	0.0732
50	mouse_5D	-0.0554	0.6564	0.2245
50	mouse_2W	0.2149	0.7213	0.182
50	mouse_3W	0.1529	0.7198	0.2046
50	IRI_2h	-0.1588	0.47	0.2533
50	IRI_4h	-0.0217	0.6035	0.2208
50	IRI_24h	0.2369	0.7239	0.1883
50	IRI_48h	0.2149	0.7277	0.1867
50	IRI_72h	0.2557	0.7616	0.1842
50	IRI_7d	0.1777	0.7544	0.1858
50	IRI_14d	0.108	0.6979	0.1759
50	IRI_28d	0.0395	0.746	0.2024
50	IRI_12mo	-0.0007	0.7354	0.2422
100	cat_CKD12	0.8359	0.95	0.0329
100	cat_CKD34	1.0	1.0	0.0
100	cat_med_CKD12	0.6496	0.8933	0.0709
100	cat_med_CKD34	0.7463	0.9208	0.0545
100	mouse_5D	0.1002	0.5549	0.1762
100	mouse_2W	0.2545	0.6667	0.1222
100	mouse_3W	0.2121	0.667	0.1417
100	IRI_2h	-0.0219	0.4034	0.1541
100	IRI_4h	0.0513	0.5267	0.1407
100	IRI_24h	0.2857	0.6843	0.1396
100	IRI_48h	0.2951	0.6625	0.1361
100	IRI_72h	0.3376	0.7126	0.1241
100	IRI_7d	0.2362	0.7152	0.1459
100	IRI_14d	0.1911	0.6496	0.141
100	IRI_28d	0.1991	0.6838	0.1594
100	IRI_12mo	0.0924	0.662	0.1919
200	cat_CKD12	0.8652	0.9404	0.0257
200	cat_CKD34	1.0	1.0	0.0
200	cat_med_CKD12	0.7135	0.8695	0.0578
200	cat_med_CKD34	0.7846	0.9061	0.0377
200	mouse_5D	0.1916	0.489	0.111
200	mouse_2W	0.3654	0.6166	0.0931
200	mouse_3W	0.3504	0.6197	0.0941
200	IRI_2h	0.0293	0.3629	0.1125
200	IRI_4h	0.146	0.4698	0.1068
200	IRI_24h	0.3938	0.6523	0.0875
200	IRI_48h	0.3897	0.6338	0.0914
200	IRI_72h	0.4302	0.6623	0.0819
200	IRI_7d	0.3702	0.6376	0.0964
200	IRI_14d	0.3168	0.6087	0.1061
200	IRI_28d	0.3123	0.6238	0.0978
200	IRI_12mo	0.2013	0.6021	0.1211
400	cat_CKD12	0.8784	0.9317	0.0195
400	cat_CKD34	1.0	1.0	0.0
400	cat_med_CKD12	0.7316	0.8406	0.039
400	cat_med_CKD34	0.8173	0.8907	0.0282
400	mouse_5D	0.2235	0.4499	0.0796
400	mouse_2W	0.4044	0.579	0.0717
400	mouse_3W	0.3696	0.5635	0.0731
400	IRI_2h	0.0917	0.3176	0.0744
400	IRI_4h	0.1969	0.4275	0.0883
400	IRI_24h	0.4158	0.6074	0.0696
400	IRI_48h	0.4196	0.5938	0.0688
400	IRI_72h	0.46	0.6346	0.068
400	IRI_7d	0.4	0.6044	0.0736
400	IRI_14d	0.3491	0.5657	0.0779
400	IRI_28d	0.3462	0.5778	0.0828
400	IRI_12mo	0.2919	0.5546	0.1033
800	cat_CKD12	0.8896	0.9233	0.0112
800	cat_CKD34	1.0	1.0	0.0
800	cat_med_CKD12	0.759	0.823	0.0214
800	cat_med_CKD34	0.8333	0.8798	0.0162
800	mouse_5D	0.2764	0.4094	0.0502
800	mouse_2W	0.4477	0.5497	0.0364
800	mouse_3W	0.4254	0.5374	0.0444
800	IRI_2h	0.1376	0.2503	0.0424
800	IRI_4h	0.236	0.3783	0.0555
800	IRI_24h	0.4662	0.5713	0.0395
800	IRI_48h	0.463	0.5608	0.0396
800	IRI_72h	0.502	0.5996	0.0351
800	IRI_7d	0.4569	0.5678	0.0391
800	IRI_14d	0.4095	0.5291	0.04
800	IRI_28d	0.4193	0.5498	0.0465
800	IRI_12mo	0.3585	0.5197	0.0601
