collection	pathway	n_genes	auc
GO_BP	DNA Damage Response (GO:0006974)	35	0.7607
GO_BP	DNA Metabolic Process (GO:0006259)	37	0.7623
GO_BP	DNA Repair (GO:0006281)	30	0.7906
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	0.8686
GO_BP	RNA Processing (GO:0006396)	48	0.8606
GO_BP	RNA Splicing (GO:0008380)	30	0.8077
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	0.7986
GO_BP	Actin Filament Organization (GO:0007015)	44	0.7885
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	0.359
GO_BP	Aerobic Respiration (GO:0009060)	36	0.3729
GO_BP	Cellular Component Assembly (GO:0022607)	51	0.7869
GO_BP	Cellular Respiration (GO:0045333)	45	0.3718
GO_BP	Cellular Response To Cytokine Stimulus (GO:0071345)	34	0.7425
GO_BP	Cellular Response To Oxygen-Containing Compound (GO:1901701)	59	0.8884
GO_BP	Central Nervous System Development (GO:0007417)	31	0.7746
GO_BP	Cytoplasmic Translation (GO:0002181)	67	0.7308
GO_BP	Dicarboxylic Acid Metabolic Process (GO:0043648)	30	0.8328
GO_BP	Endocytosis (GO:0006897)	51	0.7933
GO_BP	Endomembrane System Organization (GO:0010256)	39	0.8499
GO_BP	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	37	0.8734
GO_BP	Endosomal Transport (GO:0016197)	41	0.86
GO_BP	Epithelium Development (GO:0060429)	30	0.969
GO_BP	Fatty Acid Beta-Oxidation (GO:0006635)	32	0.5075
GO_BP	Fatty Acid Catabolic Process (GO:0009062)	30	0.6084
GO_BP	Fatty Acid Metabolic Process (GO:0006631)	44	0.688
GO_BP	Gene Expression (GO:0010467)	97	0.7569
GO_BP	Inorganic Cation Transmembrane Transport (GO:0098662)	30	0.8889
GO_BP	Intracellular Protein Transport (GO:0006886)	87	0.8184
GO_BP	mRNA Processing (GO:0006397)	61	0.7869
GO_BP	mRNA Splicing, Via Spliceosome (GO:0000398)	61	0.8034
GO_BP	Macromolecule Biosynthetic Process (GO:0009059)	77	0.7286
GO_BP	Membrane Organization (GO:0061024)	58	0.8996
GO_BP	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	37	0.36
GO_BP	Mitochondrion Organization (GO:0007005)	41	0.5059
GO_BP	Monocarboxylic Acid Metabolic Process (GO:0032787)	36	0.7121
GO_BP	Negative Regulation Of DNA-templated Transcription (GO:0045892)	85	0.8221
GO_BP	Negative Regulation Of Apoptotic Process (GO:0043066)	88	0.8526
GO_BP	Negative Regulation Of Cell Population Proliferation (GO:0008285)	32	0.9434
GO_BP	Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	32	0.6202
GO_BP	Negative Regulation Of Cellular Process (GO:0048523)	64	0.8686
GO_BP	Negative Regulation Of Gene Expression (GO:0010629)	54	0.8312
GO_BP	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	30	0.7853
GO_BP	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	45	0.7543
GO_BP	Negative Regulation Of Programmed Cell Death (GO:0043069)	79	0.9097
GO_BP	Negative Regulation Of Protein Metabolic Process (GO:0051248)	38	0.7682
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	53	0.82
GO_BP	Nervous System Development (GO:0007399)	31	0.8889
GO_BP	Organelle Assembly (GO:0070925)	47	0.7105
GO_BP	Organelle Organization (GO:0006996)	79	0.7842
GO_BP	Oxidative Phosphorylation (GO:0006119)	35	0.3622
GO_BP	Peptide Biosynthetic Process (GO:0043043)	70	0.7452
GO_BP	Phosphate-Containing Compound Metabolic Process (GO:0006796)	39	0.8681
GO_BP	Phosphorylation (GO:0016310)	39	0.7655
GO_BP	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	31	0.836
GO_BP	Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	31	0.7447
GO_BP	Positive Regulation Of DNA-templated Transcription (GO:0045893)	108	0.789
GO_BP	Positive Regulation Of MAPK Cascade (GO:0043410)	30	0.719
GO_BP	Positive Regulation Of Apoptotic Process (GO:0043065)	40	0.7687
GO_BP	Positive Regulation Of Cell Differentiation (GO:0045597)	32	0.8018
GO_BP	Positive Regulation Of Cell Migration (GO:0030335)	48	0.8429
GO_BP	Positive Regulation Of Cell Motility (GO:2000147)	39	0.8243
GO_BP	Positive Regulation Of Cell Population Proliferation (GO:0008284)	58	0.8878
GO_BP	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	38	0.7073
GO_BP	Positive Regulation Of Cellular Process (GO:0048522)	82	0.8307
GO_BP	Positive Regulation Of Cytokine Production (GO:0001819)	36	0.7121
GO_BP	Positive Regulation Of Developmental Process (GO:0051094)	32	0.7596
GO_BP	Positive Regulation Of Gene Expression (GO:0010628)	70	0.8616
GO_BP	Positive Regulation Of Intracellular Protein Transport (GO:0090316)	30	0.8141
GO_BP	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	76	0.7837
GO_BP	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	49	0.8729
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	48	0.7927
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	48	0.797
GO_BP	Positive Regulation Of Programmed Cell Death (GO:0043068)	36	0.7618
GO_BP	Positive Regulation Of Protein Metabolic Process (GO:0051247)	45	0.8355
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	30	0.7457
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	45	0.8066
