reactome_set	max_jaccard_vs_kegg
ABC Transporter Disorders	0.8
ABC-family Proteins Mediated Transport	0.7
APC C-mediated Degradation of Cell Cycle Proteins	0.8235
APC C Cdc20 Mediated Degradation of Mitotic Proteins	0.8235
APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	0.8235
AUF1 (hnRNP D0) Binds and Destabilizes mRNA	0.7368
Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	0.8235
Activation of NF-kappaB in B Cells	0.8235
mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	0.3023
Adaptive Immune System	0.2341
Aerobic Respiration and Respiratory Electron Transport	0.3548
Antigen processing-Cross Presentation	0.6222
Antigen Processing Ubiquitination & Proteasome Degradation	0.5
Antiviral Mechanism by IFN-stimulated Genes	0.2267
Apoptosis	0.4
Asparagine N-linked Glycosylation	0.163
Assembly of the Pre-Replicative Complex	0.8235
Asymmetric Localization of PCP Proteins	0.8235
Autophagy	0.1139
Axon Guidance	0.3333
Beta-catenin Independent WNT Signaling	0.549
Biological Oxidations	0.12
C-type Lectin Receptors (CLRs)	0.6364
CLEC7A (Dectin-1) Signaling	0.6667
COPI-mediated Anterograde Transport	0.1509
Cap-dependent Translation Initiation	0.7045
Cargo Recognition for Clathrin-Mediated Endocytosis	0.1685
Cdc20 Phospho-APC C Mediated Degradation of Cyclin A	0.8235
Cell Cycle	0.2295
Cell Cycle Checkpoints	0.4667
Cell Cycle, Mitotic	0.2593
Cell-Cell Communication	0.1786
Cellular Response to Chemical Stress	0.3784
Cellular Response to Heat Stress	0.1273
Cellular Response to Starvation	0.7561
Cellular Responses to Stimuli	0.2509
Cellular Responses to Stress	0.2716
Chaperonin-mediated Protein Folding	0.1053
Cilium Assembly	0.1735
Class I MHC Mediated Antigen Processing & Presentation	0.359
Clathrin-mediated Endocytosis	0.3021
Complex I Biogenesis	0.6444
Cross-presentation of Soluble Exogenous Antigens (Endosomes)	0.8235
Cyclin A Cdk2-associated Events at S Phase Entry	0.8235
Cyclin E Associated Events During G1 S Transition	0.8235
Cytokine Signaling in Immune System	0.1933
DNA Repair	0.0455
DNA Replication	0.7368
DNA Replication Pre-Initiation	0.7568
Dectin-1 Mediated Noncanonical NF-kB Signaling	0.8
Defective CFTR Causes Cystic Fibrosis	0.8
Degradation of DVL	0.8235
Degradation of GLI1 by the Proteasome	0.8
Degradation of GLI2 by the Proteasome	0.8235
Degradation of Beta-Catenin by the Destruction Complex	0.7368
Deubiquitination	0.459
Developmental Biology	0.2792
Diseases of Metabolism	0.1398
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	0.2667
Disorders of Transmembrane Transporters	0.549
Downstream TCR Signaling	0.8
Downstream Signaling Events of B Cell Receptor (BCR)	0.7368
EPH-Ephrin Signaling	0.3265
ER to Golgi Anterograde Transport	0.1301
ER-Phagosome Pathway	0.6829
Eukaryotic Translation Elongation	0.8857
Eukaryotic Translation Initiation	0.7045
Eukaryotic Translation Termination	0.8986
Extracellular Matrix Organization	0.2308
FCERI Mediated NF-kB Activation	0.8
Fatty Acid Metabolism	0.2386
Fc Epsilon Receptor (FCERI) Signaling	0.6512
Formation of a Pool of Free 40S Subunits	0.8052
Formation of the Ternary Complex, and Subsequently, the 43S Complex	0.3291
G1 S Transition	0.7
G2 M Checkpoints	0.6512
G2 M Transition	0.4516
GLI3 Is Processed to GLI3R by the Proteasome	0.8235
GPCR Downstream Signalling	0.34
GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	0.7126
Gastrulation	0.8235
Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation	0.0517
Gene Expression (Transcription)	0.1867
Generic Transcription Pathway	0.2435
Glucose Metabolism	0.38
Golgi-to-ER Retrograde Transport	0.1667
HIV Infection	0.3836
Hedgehog 'Off' State	0.6667
Hedgehog 'On' State	0.7778
Hedgehog Ligand Biogenesis	0.8
Hemostasis	0.1712
Hh Mutants Abrogate Ligand Secretion	0.8235
Hh Mutants Are Degraded by ERAD	0.8235
Host Interactions of HIV Factors	0.4516
Infectious Disease	0.2318
Influenza Infection	0.7126
Influenza Viral RNA Transcription and Replication	0.8158
Innate Immune System	0.1257
Interferon Signaling	0.2048
Interleukin-1 Family Signaling	0.6087
Interleukin-1 Signaling	0.6667
Interleukin-12 Family Signaling	0.0656
Interleukin-12 Signaling	0.0508
Intra-Golgi and Retrograde Golgi-to-ER Traffic	0.1681
Intracellular Signaling by Second Messengers	0.4444
KEAP1-NFE2L2 Pathway	0.5283
L13a-mediated Translational Silencing of Ceruloplasmin Expression	0.7209
L1CAM Interactions	0.1486
Leishmania Infection	0.3571
M Phase	0.2887
MAPK Family Signaling Cascades	0.3944
MAPK1 MAPK3 Signaling	0.4308
MAPK6 MAPK4 Signaling	0.7179
MHC Class II Antigen Presentation	0.1759
Macroautophagy	0.1111
Major Pathway of rRNA Processing in the Nucleolus and Cytosol	0.8857
Membrane Trafficking	0.23
Metabolism of RNA	0.2884
Metabolism of Amino Acids and Derivatives	0.3179
Metabolism of Carbohydrates	0.2308
Metabolism of Lipids	0.1411
Metabolism of Nucleotides	0.4792
Metabolism of Polyamines	0.8
Metabolism of Vitamins and Cofactors	0.046
Metabolism of Water-Soluble Vitamins and Cofactors	0.0606
Mitochondrial Protein Degradation	0.1325
Mitochondrial Protein Import	0.0444
Mitotic Anaphase	0.3836
