design	shift	sigma	true_cos	mean_r_half_pearson	mean_r_half_cosine	median_obs_cos_full	median_obs_pearson_full	median_obs_pearson_matched	frac_i_pearson_matched_n	frac_ii_pearson_half_vs_full	frac_iii_cosine_half_vs_full	frac_iv_pearson_SB_vs_full	frac_v_cosine_SB_vs_full	contrib_sample_size	contrib_uncentred	contrib_uncentred_SB	SB_minus_raw_cosine
mouse-like (3 vs 6)	0.0	0.15	1.0	0.9762	0.9762	0.9889	0.9889	0.9709	0.0	1.0	1.0	0.99	0.99	1.0	0.0	0.0	-0.01
mouse-like (3 vs 6)	0.0	0.15	0.9	0.9763	0.9763	0.8901	0.8901	0.8739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.15	0.7	0.9763	0.9763	0.6922	0.6922	0.6797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.15	0.5	0.9763	0.9763	0.4946	0.4946	0.4856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.15	0.3	0.9763	0.9763	0.2967	0.2967	0.2913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.25	1.0	0.9367	0.9367	0.9698	0.9698	0.9234	0.0	1.0	1.0	0.98	0.98	1.0	0.0	0.0	-0.02
mouse-like (3 vs 6)	0.0	0.25	0.9	0.9368	0.9368	0.8728	0.8728	0.831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.25	0.7	0.9368	0.9368	0.679	0.6789	0.6463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.25	0.5	0.9368	0.9368	0.4852	0.4852	0.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.25	0.3	0.9367	0.9367	0.2914	0.2914	0.2771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.35	1.0	0.8833	0.8833	0.9422	0.9422	0.8595	0.0	1.0	1.0	0.98	0.9767	1.0	0.0	-0.0033	-0.0233
mouse-like (3 vs 6)	0.0	0.35	0.9	0.8832	0.8832	0.8479	0.8479	0.7738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.35	0.7	0.8833	0.8833	0.6594	0.6594	0.6019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.35	0.5	0.8833	0.8833	0.4701	0.4704	0.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.35	0.3	0.8831	0.8831	0.2829	0.2829	0.2577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.5	1.0	0.7884	0.7884	0.889	0.889	0.7502	0.0	1.0	1.0	0.97	0.97	1.0	0.0	0.0	-0.03
mouse-like (3 vs 6)	0.0	0.5	0.9	0.788	0.788	0.8002	0.7999	0.6751	0.0	0.98	0.98	0.0	0.0	0.98	0.0	0.0	-0.98
mouse-like (3 vs 6)	0.0	0.5	0.7	0.7881	0.7881	0.6219	0.6218	0.5249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.5	0.5	0.7878	0.7878	0.4442	0.4447	0.3751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mouse-like (3 vs 6)	0.0	0.5	0.3	0.7878	0.7878	0.2682	0.2681	0.2263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
