groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
CNN1	MEX3B	0.023708	0.023462
RBP4	DBF4	0.034534	0.028649
NEXN	UPK3B	0.040276	0.035709
FERMT3	CDCA3	0.042594	0.037346
CASP4	PPARG	0.054869	0.044248
S100A8	STK26	0.058735	0.050895
ALDH1B1	DHX58	0.059235	0.051836
TPPP3	APOLD1	0.059754	0.061112
PPM1J	CIITA	0.062741	0.061318
IL1RAP	ZSWIM3	0.05947	0.065252
SLC25A24	TBXAS1	0.076411	0.076446
CBR3	TMEM229B	0.075868	0.078522
ENO2	C1QTNF7	0.088291	0.0869
LMOD1	ADAM11	0.093155	0.088312
ASPN	TMEM79	0.099351	0.088955
SERPINF1	RIPK2	0.112851	0.095065
KRT15	PRSS36	0.113158	0.101053
PTRHD1	FBLN7	0.117445	0.113622
PGM5	SUV39H1	0.128992	0.126914
CD38	GLMN	0.130502	0.129584
HSPA12B	PLEKHG1	0.134806	0.13002
TRIM21	ABCB9	0.136571	0.132122
TGFB1I1	FOXN2	0.137852	0.1339
FABP5	DUS4L	0.13976	0.135415
PRKAR2B	NOSTRIN	0.141329	0.136183
LXN	SLC38A6	0.143305	0.139427
LMNB1	SATB2	0.143981	0.139432
HRG	DUSP19	0.151412	0.154349
HCLS1	ABCA5	0.161679	0.157187
GNPDA2	SGTB	0.145439	0.157292
ME2	PRELID2	0.170766	0.161349
NUP155	ZNF428	0.171544	0.165258
HP	TMEM8B	0.171858	0.166765
S100A4	HARBI1	0.175708	0.167752
WARS2	BTBD10	0.175734	0.167819
LRG1	CRACR2B	0.178318	0.168671
MRC1	TCEANC2	0.182074	0.168821
SULT1B1	MAGIX	0.184688	0.172632
ENO3	EEF2K	0.185149	0.173158
RFTN1	AP4E1	0.186496	0.176349
FABP1	EXO5	0.188708	0.177103
ISG15	GNRH1	0.188823	0.177606
FGL2	ZNF784	0.19062	0.179083
RMDN2	PDE4B	0.1936	0.180093
HSPA2	ABCC9	0.198655	0.183151
PLCD1	IFIH1	0.200124	0.188688
EIF2AK2	SNAPC1	0.202606	0.192593
PPIL3	ERCC6	0.204705	0.196228
SNRPC	ZNF436	0.208043	0.196569
TUBB6	GRK5	0.208983	0.196841
FKBP11	ITPKC	0.209307	0.200444
HGH1	PIGN	0.210703	0.200807
ALDOC	PDE3A	0.211967	0.201844
PTK7	SIRT6	0.212413	0.203112
APOA4	TRUB1	0.214866	0.204606
KRT10	MNAT1	0.222572	0.204696
CORO1A	MPP7	0.223554	0.205878
FGG	PSTK	0.224596	0.206134
UBA6	GEMIN6	0.22692	0.211145
LSP1	ZNHIT6	0.228937	0.213966
ENTPD1	CDK5RAP1	0.230518	0.214797
THY1	SLC39A6	0.232042	0.217563
CA8	LYSMD4	0.23236	0.220051
CNP	ADAMTS5	0.232939	0.222849
GLA	BBS9	0.234895	0.223406
ALDH1A2	ZNRF1	0.237542	0.225014
VCAM1	ZNF821	0.238271	0.226337
LHPP	FAM185A	0.238481	0.226442
CNPY4	NUP133	0.239752	0.227532
DHODH	GSAP	0.24081	0.228025
PYCARD	SALL2	0.24268	0.230425
PDLIM1	PHIP	0.242749	0.236567
ADA	CBX4	0.243064	0.240897
EFEMP2	ARHGAP8	0.244471	0.241472
PDLIM7	DNAJC17	0.244853	0.242193
CKAP4	PIK3IP1	0.245842	0.242941
SAMHD1	ASRGL1	0.253649	0.243691
MYO1B	DOCK7	0.255401	0.245914
NT5C3B	ZNF414	0.258609	0.249088
OLFML3	IER5L	0.260201	0.249661
EML4	DENND1B	0.261551	0.251823
CADM1	SRFBP1	0.262396	0.25232
PPIH	MFAP4	0.262681	0.252857
ST3GAL4	GMEB2	0.265153	0.252886
COL6A3	ABL2	0.266153	0.25298
FBLIM1	SUPT7L	0.267649	0.253012
PTGS1	MRM1	0.267875	0.255432
DDX19B	PLET1	0.269326	0.255745
SEC14L2	HEPACAM2	0.2702	0.256709
SORBS2	RGS3	0.270261	0.257445
COL12A1	COL5A2	0.271882	0.257546
CYGB	MLH1	0.27343	0.258721
TBL2	CWC27	0.276982	0.261317
PPL	DCAF10	0.277551	0.261825
SDSL	MIOS	0.278183	0.268775
ATP2B4	MAPK15	0.278224	0.270408
DES	RND2	0.278293	0.273403
DNASE2	LRRK1	0.279288	0.276535
AAK1	DDX59	0.280787	0.277398
UCHL1	RAD17	0.284343	0.277576
NIF3L1	NUP205	0.285121	0.28049
ZNF865	FOXC1	0.288461	0.280943
ATG7	CALCRL	0.289564	0.28163
DPYSL3	LIX1L	0.2923	0.284946
RNASE4	MVK	0.292979	0.28602
GALE	TUBGCP6	0.294144	0.289106
NXN	TBPL1	0.294273	0.294234
TES	UCK2	0.296042	0.294561
ALDH18A1	OCRL	0.299884	0.295127
FMOD	TIGD2	0.30119	0.296453
LMCD1	CABLES1	0.301219	0.29753
CASK	SLC35G1	0.302286	0.299567
FBLN1	TCTN1	0.302403	0.30202
ARG2	ZNF326	0.302876	0.302974
PSPC1	TRAF6	0.303135	0.304145
UBE2V2	AEN	0.306242	0.305328
LZIC	TP53BP1	0.309031	0.305783
FGD4	DAGLB	0.309613	0.305919
LSM6	MADD	0.309881	0.306372
CCDC93	TJP3	0.310937	0.310334
EXOC8	SNX11	0.312279	0.310756
PTGIS	IWS1	0.312285	0.312171
TGFBI	RFX1	0.313664	0.31382
C1QC	KRI1	0.317026	0.313959
ENOPH1	NEDD1	0.320141	0.314504
RAB8B	THNSL1	0.320243	0.316035
OLFML1	NOTCH1	0.322521	0.321962
HSPA12A	LCOR	0.321095	0.322741
SHPK	DRC4	0.327554	0.322741
RPA2	FBXO42	0.328266	0.324022
NUP210	LSG1	0.328797	0.324233
OSGEP	ZFAND1	0.332938	0.331199
GMPPB	CTTNBP2	0.334717	0.332203
ART4	UPF3B	0.335707	0.33311
POFUT1	SLC35C1	0.336045	0.333854
SERPINB9	TYROBP	0.337692	0.334629
THYN1	VWCE	0.339264	0.335199
PAOX	SNX33	0.33948	0.337064
APBB1	TAF5L	0.339509	0.337454
NCALD	IRGQ	0.341616	0.338075
AGK	MTFMT	0.342025	0.338121
MMAA	IL1R1	0.34203	0.33862
OGDHL	NUBPL	0.34223	0.33879
NPHP3	ASAP2	0.344569	0.339215
PRRC1	EXTL2	0.345129	0.339231
TUBB2B	ZNF618	0.34534	0.339313
PDIA5	LYAR	0.346066	0.340266
FSCN1	KIAA1217	0.346511	0.34157
AIMP2	CDK7	0.347019	0.342353
COL6A2	DCP2	0.347133	0.342518
CD93	ZNF629	0.348573	0.34352
LMNB2	XPO4	0.349468	0.344194
TCERG1	CTNS	0.350683	0.344386
PIP4K2A	ORC4	0.351786	0.345176
RNMT	BLZF1	0.352809	0.345516
PEX14	PGAP2	0.353289	0.345993
AOC1	EVL	0.354936	0.346536
NANS	FMNL2	0.356156	0.347075
RCN1	THEM6	0.357184	0.349838
ENDOD1	SOCS5	0.361818	0.350288
THOP1	PKP3	0.363599	0.350943
ALYREF	FASTKD1	0.364596	0.350999
SNTB2	DUSP23	0.36651	0.35328
FHL2	TMEM164	0.367676	0.354778
HSPB6	RIC1	0.368659	0.356864
FAM3C	LRCH3	0.368762	0.360046
PHYKPL	MALSU1	0.369237	0.360397
LCP1	MYO9A	0.369613	0.361783
HMGB2	BRPF1	0.37054	0.363584
ICAM1	PDGFRA	0.370551	0.364712
FBXO4	SIAE	0.37059	0.368414
MRC2	COMMD10	0.372356	0.368564
NUDT16	HPS4	0.373165	0.370405
CFI	CASP3	0.37629	0.371015
TBC1D5	ABHD6	0.376993	0.372031
RCC1	AAAS	0.37826	0.372043
APPL1	ABT1	0.378819	0.372743
RMDN1	ZMYM4	0.378911	0.373145
FDXR	PTGFR	0.379134	0.374421
SNRPA1	STX17	0.38128	0.378133
DPM1	ABTB2	0.382042	0.378251
IGFBP2	NOC4L	0.382347	0.37895
NAA15	PTPN21	0.386556	0.379467
ESYT1	ARAP3	0.38713	0.380496
DENND6A	ESCO1	0.387945	0.381114
NMNAT3	ERN1	0.388074	0.382235
FN1	ZBTB8OS	0.388192	0.383946
PM20D2	CPM	0.388622	0.384473
PSMD9	MCTS2	0.38957	0.384552
DYSF	MAP3K10	0.390614	0.384828
LPCAT1	MMD	0.390842	0.385146
MECP2	ZNF318	0.392538	0.38579
ARFIP1	SIPA1L3	0.394137	0.386453
IBA57	ZFYVE26	0.395329	0.386711
RGN	PPP1R13B	0.396334	0.39039
KYNU	OLFM4	0.398893	0.391272
UPP1	SPATS2	0.40004	0.391461
NAE1	SPRY1	0.400118	0.391809
HNRNPLL	SPTY2D1	0.400602	0.392516
PALM3	SMYD2	0.400788	0.39353
COX17	ALG14	0.400833	0.393622
NASP	FIZ1	0.400902	0.394037
SWAP70	SPSB3	0.401462	0.394299
NFKB1	ZNF395	0.402102	0.395972
PSPH	DKC1	0.402127	0.398279
AFAP1L2	SLC67A2	0.403122	0.399203
PROS1	BRI3BP	0.404365	0.399424
ACACA	LONRF1	0.40505	0.399506
NUDT5	ESF1	0.405536	0.399606
MRPL48	SMARCD1	0.405625	0.40004
ACSS3	TP53I13	0.405883	0.400309
PLXNA1	ZNF397	0.408806	0.400567
AKAP12	RCAN3	0.40898	0.403918
ANXA3	CCNT2	0.409131	0.405123
STAM	SIRT1	0.410775	0.4053
PPP1R7	CAMKK2	0.411276	0.406572
SPON1	MKLN1	0.411828	0.408904
UFL1	ADAM17	0.411976	0.410071
SIRT5	SLC25A32	0.414216	0.410348
COL14A1	HPS1	0.416459	0.410621
COQ7	RNF38	0.418184	0.41085
SFXN3	NUP85	0.418884	0.411584
C7	ACVRL1	0.42052	0.412866
PRKCA	CHST15	0.42167	0.413654
CYP20A1	OSER1	0.421785	0.414263
NUDT21	XRCC1	0.421849	0.415305
MAOB	STAT2	0.424701	0.417458
COL1A1	DNTTIP1	0.424726	0.417775
PPM1K	NFIA	0.424872	0.419179
UMPS	BAIAP2L2	0.425594	0.419216
GMDS	BBX	0.425967	0.421055
LGALS9	RARA	0.426127	0.421341
NHLRC2	CDKN2AIPNL	0.426945	0.421475
MCU	MTMR9	0.427398	0.421483
ANXA1	ATG4C	0.427594	0.423394
CHID1	RCN3	0.429111	0.423673
RAB3GAP2	LRRC28	0.429178	0.423858
MRPL1	NTPCR	0.429445	0.424198
RBP1	NUP62	0.429555	0.425245
CCDC51	IQSEC2	0.432883	0.426399
MYOF	STK32B	0.434968	0.426636
SRPRB	HERC1	0.434992	0.426921
DBN1	CD300LG	0.435251	0.427051
TPP2	PTPN12	0.435375	0.427534
ANXA13	VANGL1	0.435902	0.428089
XPNPEP2	SLC35B4	0.436163	0.428175
PFAS	ORC2	0.436524	0.429527
KCTD12	SDF2L1	0.436579	0.430547
VPS13A	SETD5	0.43731	0.430825
SPRYD4	HFE	0.438183	0.435229
AGPAT5	TFPI2	0.438561	0.438135
SLC25A22	AP1M2	0.438868	0.43815
GADD45GIP1	BRIX1	0.439065	0.438432
SSBP1	FAM53B	0.439733	0.438771
EHD2	AFAP1L1	0.441915	0.440095
FARSA	KMT2B	0.442166	0.441259
MMAB	FAM174A	0.442737	0.441564
PRPF31	TSEN54	0.443629	0.442366
LRP1	TTC17	0.443702	0.443432
HTRA2	NCDN	0.444265	0.444062
PEX11G	MMS19	0.444523	0.444302
RCC2	DOT1L	0.44549	0.445551
PPID	MECOM	0.444871	0.445654
CBR4	COL15A1	0.447491	0.447351
FN3KRP	MYCBP2	0.449258	0.448933
L3HYPDH	KMT2C	0.449527	0.449442
NUDT7	R3HCC1	0.449907	0.44951
EXOC5	MAFG	0.4505	0.450326
PREP	SENP5	0.450645	0.450666
NLRX1	DHX38	0.45131	0.451262
PPP1R8	DCUN1D2	0.452829	0.452452
