config	true_cos	theta_gap	n_sim	coverage_95	miss_theta_below_interval	miss_theta_above_interval	frac_interval_excludes_zero	mean_frac_undefined	mean_interval_width
cat CKD3/4 cortex x IRI (7v6, 3v6)	0.2	0.6959	120	0.3667	0.0	0.6333	1.0	0.1137	0.0403
cat CKD3/4 cortex x IRI (7v6, 3v6)	0.35	0.5558	120	0.5667	0.0	0.4333	1.0	0.1088	0.0349
cat CKD3/4 cortex x IRI (7v6, 3v6)	0.5	0.4366	120	0.8083	0.0	0.1917	1.0	0.1097	0.032
cat CKD1/2 cortex x IRI (8v6, 3v6)	0.2	0.6176	120	0.125	0.0	0.875	1.0	0.1112	0.0776
cat CKD1/2 cortex x IRI (8v6, 3v6)	0.35	0.5035	120	0.2833	0.0	0.7167	1.0	0.1119	0.0695
cat CKD1/2 cortex x IRI (8v6, 3v6)	0.5	0.3853	120	0.7917	0.0	0.2083	1.0	0.1117	0.062
cat CKD3/4 medulla x Pod-TRECK (5v6, 3v3)	0.2	0.6373	120	0.3167	0.0	0.6833	1.0	0.2125	0.0747
cat CKD3/4 medulla x Pod-TRECK (5v6, 3v3)	0.35	0.5168	120	0.45	0.0	0.55	1.0	0.2087	0.0633
cat CKD3/4 medulla x Pod-TRECK (5v6, 3v3)	0.5	0.3986	120	0.7833	0.0	0.2167	1.0	0.2082	0.0561
cat CKD1/2 medulla x IRI 2 h (7v6, 3v6)	0.2	0.6473	120	0.175	0.0	0.825	1.0	0.1098	0.0531
cat CKD1/2 medulla x IRI 2 h (7v6, 3v6)	0.35	0.5215	120	0.4167	0.0	0.5833	1.0	0.1101	0.0459
cat CKD1/2 medulla x IRI 2 h (7v6, 3v6)	0.5	0.3992	120	0.7917	0.0	0.2083	1.0	0.1108	0.0407
