subset	n_states	dissimilarity	predictor	mantel_rho	p_perm
12 model states (as published)	12	D_rho (1-Spearman)	onset compartment	-0.0639	0.7261
12 model states (as published)	12	D_rho (1-Spearman)	model identity	-0.0639	0.7288
12 model states (as published)	12	D_rho (1-Spearman)	elapsed time |Δlog10 h|	0.5964	0.0044
12 model states (as published)	12	D_rho (1-Spearman)	time | onset compartment	0.5942	0.0036
12 model states (as published)	12	D_rho (1-Spearman)	onset compartment | time	0.0754	0.6415
12 model states (as published)	12	D_cos (1-cos)	onset compartment	0.0008	1.0
12 model states (as published)	12	D_cos (1-cos)	model identity	0.0008	1.0
12 model states (as published)	12	D_cos (1-cos)	elapsed time |Δlog10 h|	0.5993	0.0038
12 model states (as published)	12	D_cos (1-cos)	time | onset compartment	0.6104	0.0018
12 model states (as published)	12	D_cos (1-cos)	onset compartment | time	0.1078	0.5217
12 model states (as published)	12	D_nrm (|log2 norm ratio|)	onset compartment	-0.0267	0.863
12 model states (as published)	12	D_nrm (|log2 norm ratio|)	model identity	-0.0267	0.8631
12 model states (as published)	12	D_nrm (|log2 norm ratio|)	elapsed time |Δlog10 h|	0.3118	0.0281
12 model states (as published)	12	D_nrm (|log2 norm ratio|)	time | onset compartment	0.3174	0.023
12 model states (as published)	12	D_nrm (|log2 norm ratio|)	onset compartment | time	0.0818	0.4864
IRI only (9 states)	9	D_rho (1-Spearman)	onset compartment		0.0001
IRI only (9 states)	9	D_rho (1-Spearman)	model identity		0.0001
IRI only (9 states)	9	D_rho (1-Spearman)	elapsed time |Δlog10 h|	0.57	0.0073
IRI only (9 states)	9	D_rho (1-Spearman)	time | onset compartment	0.5773	0.0071
IRI only (9 states)	9	D_rho (1-Spearman)	onset compartment | time		0.0001
IRI only (9 states)	9	D_cos (1-cos)	onset compartment		0.0001
IRI only (9 states)	9	D_cos (1-cos)	model identity		0.0001
IRI only (9 states)	9	D_cos (1-cos)	elapsed time |Δlog10 h|	0.6267	0.0009
IRI only (9 states)	9	D_cos (1-cos)	time | onset compartment	0.6334	0.0011
IRI only (9 states)	9	D_cos (1-cos)	onset compartment | time		0.0001
IRI only (9 states)	9	D_nrm (|log2 norm ratio|)	onset compartment		0.0001
IRI only (9 states)	9	D_nrm (|log2 norm ratio|)	model identity		0.0001
IRI only (9 states)	9	D_nrm (|log2 norm ratio|)	elapsed time |Δlog10 h|	0.5079	0.0095
IRI only (9 states)	9	D_nrm (|log2 norm ratio|)	time | onset compartment	0.508	0.0082
