a_cortex	a_med	c_cortex	c_med	n_cortex	n_med
0.03881	1.22538	0.09999	0.69127	0.38811	1.77264
0.38916	1.06486	0.70411	0.64841	0.5527	1.64226
0.75781	0.58427	0.85764	0.7469	0.8836	0.78227
0.3387	0.96907	0.82998	0.76274	0.40808	1.27052
0.47797	1.19902	0.78633	0.65796	0.60785	1.82231
1.11739	1.0445	0.85667	0.73216	1.30434	1.4266
0.44135	1.18927	0.74984	0.70678	0.58859	1.68266
0.4151	1.37074	0.79769	0.70264	0.52037	1.95084
0.56576	1.21241	0.88954	0.74364	0.63601	1.63037
0.28246	0.69107	0.75476	0.8342	0.37424	0.82843
0.76249	1.25802	0.88087	0.78017	0.86561	1.61249
0.75165	1.26104	0.90571	0.79246	0.8299	1.59129
0.36729	1.18725	0.7855	0.6905	0.46758	1.71942
0.77098	1.27308	0.91639	0.76328	0.84133	1.6679
0.19088	1.06384	0.47408	0.77288	0.40264	1.37646
0.36781	0.86774	0.84869	0.80741	0.43339	1.07473
0.72316	0.60282	0.9064	0.761	0.79784	0.79215
0.68551	1.16969	0.85004	0.67537	0.80645	1.73193
0.2308	0.77611	0.62431	0.81018	0.36969	0.95795
0.71321	0.97879	0.84178	0.77738	0.84727	1.25908
0.61135	0.84488	0.94718	0.85063	0.64545	0.99324
0.50743	1.14043	0.89852	0.80025	0.56474	1.4251
0.93845	0.90164	0.93104	0.76443	1.00796	1.17949
0.39773	1.079	0.74187	0.73386	0.53613	1.47032
0.72578	0.99129	0.81419	0.67888	0.89141	1.46018
0.42625	0.85433	0.89564	0.80578	0.47592	1.06025
0.61762	1.05196	0.91347	0.75053	0.67613	1.40162
0.37385	1.13235	0.73077	0.78922	0.51158	1.43477
0.64029	1.00639	0.91916	0.8575	0.69661	1.17362
0.38284	1.00887	0.82377	0.68077	0.46474	1.48196
0.7483	1.08775	0.86938	0.77601	0.86073	1.40171
0.54689	1.04284	0.76767	0.66183	0.7124	1.5757
0.55577	0.72786	0.92252	0.84597	0.60245	0.86038
0.39399	0.88476	0.83288	0.73959	0.47304	1.19629
0.6161	0.96053	0.89226	0.81479	0.69049	1.17886
0.57489	1.05197	0.74516	0.68461	0.7715	1.53661
0.28849	0.93292	0.70933	0.76906	0.40671	1.21306
0.25617	1.08456	0.46913	0.71878	0.54606	1.50889
0.52483	0.83474	0.91453	0.84421	0.57388	0.98878
0.4418	0.93302	0.78173	0.73846	0.56515	1.26348
0.52012	0.90514	0.90702	0.79453	0.57343	1.13921
0.41401	0.81727	0.793	0.83714	0.52208	0.97627
0.66639	1.41074	0.88547	0.71076	0.75259	1.98484
0.5374	1.16924	0.77977	0.5848	0.68917	1.9994
0.48216	0.99202	0.85364	0.66463	0.56483	1.49259
0.59862	1.41471	0.74967	0.6646	0.7985	2.12867
1.06608	1.12975	0.92283	0.75124	1.15523	1.50384
0.4556	1.15844	0.81604	0.67034	0.5583	1.72815
0.65015	1.26258	0.83624	0.57308	0.77747	2.20316
0.37246	0.6868	0.65761	0.75448	0.56639	0.9103
0.63463	1.05451	0.859	0.7702	0.7388	1.36914
0.3799	1.17747	0.73112	0.75061	0.51961	1.5687
0.499	1.12944	0.85272	0.76291	0.58518	1.48045
0.35094	1.07545	0.74606	0.73055	0.47039	1.47209
0.29471	0.94451	0.77107	0.72501	0.38221	1.30276
0.81889	0.60022	0.88711	0.81279	0.92309	0.73847
0.39321	0.58556	0.85446	0.85186	0.46019	0.68739
0.4652	1.18577	0.83158	0.75651	0.55941	1.56743
0.46767	1.08475	0.80618	0.68749	0.5801	1.57784
0.81919	0.76264	0.7767	0.72916	1.0547	1.04591
0.41042	1.06167	0.85487	0.74279	0.48009	1.42929
0.55517	0.75968	0.89189	0.77966	0.62247	0.97437
0.47263	1.03063	0.78425	0.67868	0.60265	1.51857
0.74741	0.71227	0.88907	0.78751	0.84066	0.90446
0.5302	1.05199	0.88238	0.76682	0.60087	1.37189
0.60231	0.95906	0.92764	0.78356	0.6493	1.22398
0.52256	0.89271	0.85774	0.84001	0.60923	1.06274
0.54955	1.00203	0.83612	0.77688	0.65726	1.28982
0.35869	1.28752	0.66294	0.54578	0.54106	2.35905
0.13587	0.92541	0.40857	0.74751	0.33254	1.23798
0.59643	0.84289	0.85151	0.80792	0.70043	1.04328
0.44424	0.66718	0.85831	0.80035	0.51758	0.83362
0.79872	1.03343	0.9071	0.76706	0.88052	1.34726
0.2877	0.63223	0.60162	0.76662	0.47821	0.8247
0.56073	0.85279	0.9125	0.79266	0.6145	1.07585
0.61999	0.84227	0.94553	0.86014	0.65571	0.97922
0.64924	1.43456	0.84959	0.65037	0.76418	2.20575
0.59632	0.91757	0.90241	0.81772	0.6608	1.12212
0.14154	0.97053	0.34657	0.66841	0.4084	1.45199
0.78584	1.53609	0.9011	0.73111	0.87209	2.10105
0.12958	1.39805	0.30469	0.54778	0.42527	2.55222
0.60528	0.89636	0.89849	0.79716	0.67366	1.12444
0.61356	0.6829	0.9492	0.88589	0.64639	0.77087
0.07765	0.99663	0.19769	0.75725	0.3928	1.31611
0.4072	0.71169	0.73746	0.72003	0.55217	0.98842
0.43495	1.12049	0.82711	0.76628	0.52587	1.46225
0.408	0.81833	0.83382	0.78675	0.48931	1.04014
0.58274	1.00914	0.91957	0.84022	0.63371	1.20104
0.76074	1.17505	0.89254	0.77483	0.85233	1.51653
0.42972	1.33359	0.68098	0.639	0.63103	2.08699
0.44544	1.03475	0.6721	0.69267	0.66276	1.49386
0.37484	0.79898	0.84427	0.79645	0.44398	1.00318
0.72239	1.11143	0.96113	0.80191	0.75161	1.38597
0.47739	0.97559	0.90856	0.75086	0.52544	1.2993
0.82283	0.74606	0.96682	0.80967	0.85107	0.92143
0.31959	0.69437	0.5563	0.65006	0.57449	1.06816
0.7473	1.25121	0.96419	0.7793	0.77506	1.60556
0.32981	0.76795	0.64701	0.51496	0.50975	1.49127
0.43512	0.69701	0.74254	0.73811	0.58598	0.94432
0.58386	0.90199	0.89587	0.76407	0.65172	1.18051
0.85177	0.84225	0.8921	0.81927	0.95479	1.02804
0.80296	1.28691	0.85768	0.73506	0.9362	1.75075
0.1776	1.23582	0.40935	0.58878	0.43387	2.09893
0.59113	0.88819	0.79595	0.7634	0.74267	1.16346
0.30968	0.82065	0.78088	0.71649	0.39658	1.14538
0.53101	1.25382	0.8344	0.63024	0.6364	1.98944
0.44358	1.04781	0.85846	0.78753	0.51671	1.3305
0.31195	0.72852	0.80106	0.79545	0.38942	0.91585
0.41488	1.07895	0.81244	0.66957	0.51065	1.61141
0.58439	1.22966	0.84539	0.72696	0.69127	1.69152
1.07638	0.924	0.94521	0.78446	1.13877	1.17788
0.66958	1.23927	0.72671	0.67413	0.92139	1.83833
0.79153	1.65983	0.81055	0.60605	0.97654	2.73878
0.59299	0.98071	0.78786	0.65585	0.75265	1.49532
0.74627	1.13363	0.95184	0.80443	0.78403	1.40924
0.96252	1.17606	0.94932	0.74453	1.0139	1.5796
0.52657	0.94161	0.76534	0.70514	0.68802	1.33534
0.76864	1.31683	0.90526	0.76548	0.84909	1.72026
0.47484	0.8745	0.90881	0.8803	0.52249	0.99342
0.76818	0.99616	0.94695	0.82918	0.81122	1.20138
0.28544	0.53387	0.74465	0.81155	0.38332	0.65784
0.78811	0.67423	0.86039	0.67593	0.91599	0.99749
0.70077	0.60819	0.92549	0.83001	0.75719	0.73275
0.44571	0.84782	0.84608	0.80222	0.5268	1.05683
0.52068	1.11744	0.76536	0.74057	0.68031	1.50891
0.59634	1.00351	0.86415	0.74342	0.69009	1.34987
0.34794	1.07755	0.6065	0.37811	0.57368	2.84984
0.35538	0.35985	0.68695	0.57878	0.51733	0.62174
0.91982	0.83223	0.89492	0.78706	1.02782	1.0574
0.80555	0.93256	0.73233	0.65569	1.09997	1.42225
0.27735	1.14072	0.62364	0.7373	0.44473	1.54716
0.44955	1.09664	0.82453	0.71481	0.54522	1.53416
0.80671	1.01249	0.96663	0.77872	0.83455	1.3002
0.34741	0.94185	0.64528	0.64123	0.53839	1.46883
0.32631	1.15124	0.68997	0.76724	0.47293	1.50049
0.53195	0.75925	0.9131	0.81816	0.58258	0.928
0.51036	0.69332	0.89947	0.88183	0.5674	0.78623
0.49462	0.76505	0.80603	0.70025	0.61365	1.09254
0.49385	1.20619	0.85854	0.72007	0.57522	1.6751
0.79191	0.96419	0.71017	0.5908	1.11511	1.632
0.47794	0.80887	0.81584	0.81888	0.58583	0.98778
0.7317	1.22407	0.8144	0.65515	0.89846	1.86839
0.36097	0.37903	0.76156	0.67144	0.47398	0.5645
0.20486	0.58079	0.54778	0.82251	0.37398	0.70612
0.6982	1.1437	0.88404	0.64145	0.78978	1.78298
0.39726	0.8177	0.81504	0.78656	0.48742	1.0396
0.60469	0.82851	0.75466	0.71989	0.80128	1.15089
0.72775	1.04505	0.89791	0.76572	0.81049	1.3648
0.58839	0.81244	0.88798	0.83866	0.66261	0.96873
0.63085	0.69605	0.95121	0.84907	0.66321	0.81978
0.54722	0.99049	0.94549	0.79818	0.57877	1.24093
0.45001	1.04879	0.91131	0.77066	0.4938	1.36091
0.44643	0.96527	0.83194	0.73239	0.53661	1.31799
0.39037	0.83824	0.84898	0.80635	0.45981	1.03955
0.46078	1.16971	0.82252	0.78091	0.5602	1.49789
0.55338	1.07956	0.79233	0.77394	0.69842	1.39489
0.81282	1.11612	0.9141	0.74086	0.88921	1.50652
0.64884	1.22925	0.90823	0.81859	0.7144	1.50167
0.31243	1.17907	0.6339	0.68508	0.49287	1.72106
0.6064	1.16793	0.889	0.79264	0.68212	1.47347
0.4244	0.79474	0.8676	0.73832	0.48916	1.07642
0.58793	1.09797	0.85631	0.70161	0.68659	1.56494
