raw	centred	drop
0.76709	0.55502	0.21207
0.84989	0.45833	0.39156
0.8985	0.51442	0.38408
0.75321	0.45513	0.29808
0.84562	0.44071	0.40491
0.82906	0.57853	0.25053
0.85256	0.59348	0.25908
0.87126	0.45246	0.4188
0.83654	0.50962	0.32692
0.73611	0.55128	0.18483
0.88729	0.47115	0.41613
0.88034	0.5219	0.35844
0.81624	0.46795	0.34829
0.88088	0.50427	0.3766
0.80395	0.56838	0.23558
0.89637	0.60897	0.28739
0.86538	0.54968	0.31571
0.83066	0.45139	0.37927
0.8547	0.46154	0.39316
0.87874	0.52724	0.3515
0.89049	0.51816	0.37233
0.82318	0.61378	0.2094
0.80395	0.46207	0.34188
0.80609	0.57532	0.23077
0.76175	0.73504	0.02671
0.89583	0.54541	0.35043
0.74092	0.79647	-0.05556
0.88248	0.62553	0.25694
0.8766	0.51656	0.36004
0.84135	0.5422	0.29915
0.78846	0.45994	0.32853
0.85684	0.49145	0.36538
0.7938	0.57265	0.22115
0.78259	0.47436	0.30823
0.78526	0.77083	0.01442
0.79968	0.53205	0.26763
0.78152	0.50694	0.27457
0.86325	0.49359	0.36966
0.80823	0.57051	0.23771
0.74306	0.61218	0.13088
0.73718	0.76656	-0.02938
0.86645	0.52564	0.34081
0.87714	0.57479	0.30235
0.75801	0.49306	0.26496
0.88408	0.50481	0.37927
0.82746	0.51816	0.30929
0.7922	0.57425	0.21795
0.86271	0.52618	0.33654
0.88301	0.51816	0.36485
0.88782	0.47436	0.41346
0.76015	0.52831	0.23184
0.84455	0.48077	0.36378
0.73718	0.52991	0.20726
0.77137	0.50588	0.26549
0.89049	0.52724	0.36325
0.8937	0.55235	0.34135
0.80983	0.51709	0.29274
0.89637	0.47436	0.42201
0.83814	0.55342	0.28472
0.82265	0.50588	0.31677
0.85844	0.67415	0.18429
0.7735	0.74199	0.03152
0.81571	0.6015	0.21421
0.90118	0.44177	0.4594
0.7484	0.63515	0.11325
0.79647	0.49947	0.29701
0.90064	0.47863	0.42201
0.8531	0.58173	0.27137
0.84615	0.4797	0.36645
0.8547	0.46902	0.38568
0.83974	0.49252	0.34722
0.80662	0.60737	0.19925
0.8515	0.78312	0.06838
0.76335	0.56357	0.19979
0.82853	0.54861	0.27991
0.81464	0.5219	0.29274
0.78579	0.52991	0.25588
0.77244	0.67628	0.09615
0.81197	0.55342	0.25855
0.8969	0.48718	0.40972
0.80182	0.45673	0.34509
0.80983	0.46368	0.34615
0.81838	0.51389	0.30449
0.89476	0.51603	0.37874
0.84562	0.51603	0.32959
0.71635	0.56731	0.14904
0.80662	0.46154	0.34509
0.79487	0.61271	0.18216
0.85951	0.51816	0.34135
0.86058	0.67521	0.18536
0.78259	0.7078	0.07479
0.88729	0.46688	0.42041
0.8515	0.67094	0.18056
0.80288	0.47543	0.32746
0.78045	0.57639	0.20406
0.8141	0.72543	0.08868
0.81731	0.77778	0.03953
0.86806	0.50641	0.36165
0.87927	0.4765	0.40278
0.81357	0.56891	0.24466
0.76656	0.70353	0.06303
0.76015	0.56891	0.19124
0.88034	0.54487	0.33547
0.86271	0.54327	0.31944
0.74038	0.57746	0.16293
0.89904	0.53686	0.36218
0.81464	0.57959	0.23504
0.83654	0.56303	0.2735
0.79754	0.61165	0.1859
0.86111	0.6266	0.23451
0.80556	0.73291	0.07265
0.87019	0.62179	0.2484
0.83173	0.51122	0.32051
0.86218	0.49786	0.36432
0.87126	0.59936	0.2719
0.8985	0.62821	0.2703
0.79327	0.55235	0.24092
0.82158	0.56517	0.25641
0.80929	0.58013	0.22917
0.80769	0.49893	0.30876
0.84829	0.59028	0.25801
0.72596	0.69872	0.02724
0.7906	0.53526	0.25534
0.88996	0.53098	0.35897
0.8969	0.43376	0.46314
0.8547	0.46421	0.39049
0.80662	0.67254	0.13408
0.86859	0.47436	0.39423
0.86592	0.57746	0.28846
0.77778	0.48397	0.2938
0.89744	0.51976	0.37767
0.80823	0.58226	0.22596
0.8141	0.44818	0.36592
0.77991	0.70299	0.07692
0.83333	0.61325	0.22009
0.88301	0.53312	0.34989
0.87607	0.5203	0.35577
0.85951	0.51923	0.34028
0.86806	0.62981	0.23825
0.75694	0.43056	0.32639
0.90438	0.5625	0.34188
0.8985	0.5187	0.37981
0.79968	0.48237	0.31731
0.7281	0.57105	0.15705
0.90865	0.46795	0.44071
0.87927	0.59135	0.28793
0.85417	0.54647	0.30769
0.84936	0.68536	0.164
0.70726	0.48771	0.21955
0.70726	0.54167	0.1656
0.77724	0.57212	0.20513
0.73771	0.48237	0.25534
0.88675	0.48397	0.40278
0.84562	0.67201	0.17361
0.85897	0.51549	0.34348
0.77083	0.67949	0.09135
0.88088	0.54327	0.33761
0.83494	0.51122	0.32372
0.65438	0.45726	0.19712
0.83333	0.69551	0.13782
0.82158	0.53579	0.28579
0.89744	0.57799	0.31944
0.88034	0.53259	0.34776
0.69765	0.65118	0.04647
0.87553	0.51229	0.36325
0.83761	0.50694	0.33066
0.88889	0.47917	0.40972
0.73344	0.72917	0.00427
0.74519	0.51389	0.2313
0.84989	0.52404	0.32585
0.76603	0.46795	0.29808
0.81784	0.56838	0.24947
0.87607	0.48771	0.38835
0.80021	0.50321	0.29701
0.86004	0.52778	0.33226
0.79701	0.52618	0.27083
0.88088	0.58066	0.30021
0.84135	0.56998	0.27137
0.87767	0.56624	0.31143
0.83761	0.4984	0.33921
0.8344	0.63034	0.20406
0.82639	0.54274	0.28365
0.75748	0.47115	0.28632
0.8515	0.45513	0.39637
0.86432	0.53098	0.33333
0.78312	0.61592	0.1672
0.76282	0.54274	0.22009
0.75	0.53312	0.21688
0.88248	0.5	0.38248
0.81464	0.49038	0.32425
0.85684	0.49252	0.36432
0.89797	0.50534	0.39263
0.79701	0.61218	0.18483
0.88889	0.57158	0.31731
0.85737	0.5844	0.27297
0.836	0.53686	0.29915
0.80021	0.47756	0.32265
0.89103	0.49038	0.40064
0.85417	0.4359	0.41827
0.89583	0.48558	0.41026
0.79167	0.6031	0.18857
0.89583	0.62019	0.27564
0.89637	0.56357	0.3328
0.77564	0.72756	0.04808
0.78152	0.56357	0.21795
0.87821	0.48771	0.39049
0.86432	0.49412	0.37019
0.89583	0.48024	0.4156
0.8953	0.58013	0.31517
0.81998	0.56944	0.25053
0.91293	0.53846	0.37447
0.7281	0.51816	0.20994
