gene	cat_cortex_frac_nonmissing	cat_cortex_n_nonmissing	cat_cortex_n_samples	cat_medulla_frac_nonmissing	cat_medulla_n_nonmissing	cat_medulla_n_samples	podtreck_frac_nonmissing	podtreck_n_nonmissing	podtreck_n_samples	cat_cortex_detected	cat_medulla_detected	podtreck_detected	groupA_intersection	groupA_union	in_delta_matrix	complete_in_16_states
-							1.0	9.0	9.0	False	False	True	False	False	True	False
2010315B03RIK							1.0	9.0	9.0	False	False	True	False	False	True	False
2410002F23RIK							1.0	9.0	9.0	False	False	True	False	False	True	False
2610008E11RIK							0.8889	8.0	9.0	False	False	True	False	False	True	False
2700097O09RIK							1.0	9.0	9.0	False	False	True	False	False	True	False
4930522L14RIK							1.0	9.0	9.0	False	False	True	False	False	True	False
5430401F13RIK							0.2222	2.0	9.0	False	False	False	False	False	False	False
5730507C01RIK							0.8889	8.0	9.0	False	False	True	False	False	False	False
9930111J21RIK1							1.0	9.0	9.0	False	False	True	False	False	True	False
A1BG	1.0	23.0	23.0	1.0	19.0	19.0				True	True	False	False	False	False	False
A1CF							1.0	9.0	9.0	False	False	True	False	False	True	True
A2M	1.0	23.0	23.0	1.0	19.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	False
A4GALT							1.0	9.0	9.0	False	False	True	False	False	True	True
A4GNT							0.4444	4.0	9.0	False	False	False	False	False	True	False
A630001G21RIK							0.8889	8.0	9.0	False	False	True	False	False	True	False
A630089N07RIK							1.0	9.0	9.0	False	False	True	False	False	False	False
A930007A09RIK							1.0	9.0	9.0	False	False	True	False	False	True	False
AAAS							1.0	9.0	9.0	False	False	True	False	False	True	True
AACS							1.0	9.0	9.0	False	False	True	False	False	True	True
AADAC							1.0	9.0	9.0	False	False	True	False	False	True	False
AADAT	1.0	23.0	23.0	1.0	19.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	True
AAGAB							1.0	9.0	9.0	False	False	True	False	False	True	True
AAK1	1.0	23.0	23.0	1.0	19.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	True
AAMDC							1.0	9.0	9.0	False	False	True	False	False	True	True
AAMP							1.0	9.0	9.0	False	False	True	False	False	True	True
AAR2							1.0	9.0	9.0	False	False	True	False	False	True	True
AARS1	1.0	23.0	23.0	1.0	19.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	False
AARS2	0.5217	12.0	23.0				1.0	9.0	9.0	True	False	True	False	True	True	True
AARSD1							1.0	9.0	9.0	False	False	True	False	False	True	False
AASDH							1.0	9.0	9.0	False	False	True	False	False	True	False
AASDHPPT	1.0	23.0	23.0				1.0	9.0	9.0	True	False	True	False	True	True	True
AASS	0.9565	22.0	23.0	1.0	19.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	True
AATF							1.0	9.0	9.0	False	False	True	False	False	True	True
AATK							0.8889	8.0	9.0	False	False	True	False	False	True	False
ABAT	1.0	23.0	23.0	0.9474	18.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	True
ABCA1							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCA13							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA2							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCA3							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCA4							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA5							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCA6							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA7							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA8							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA8A							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCA9							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCB10							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCB11							1.0	9.0	9.0	False	False	True	False	False	False	False
ABCB1A							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCB1B							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCB6							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCB7	1.0	23.0	23.0	0.8947	17.0	19.0	1.0	9.0	9.0	True	True	True	True	True	True	True
ABCB8							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCB9							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC1							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC10							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC2							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC3							1.0	9.0	9.0	False	False	True	False	False	True	False
ABCC4							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC5							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC6							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCC9							1.0	9.0	9.0	False	False	True	False	False	True	True
ABCD1	1.0	23.0	23.0				1.0	9.0	9.0	True	False	True	False	True	True	True
ABCD2							0.8889	8.0	9.0	False	False	True	False	False	True	False
