groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
PLEK	SLA	0.020365	0.020114
CNN1	WAS	0.023708	0.023631
RBP4	IKBKE	0.034534	0.034567
NEXN	PAG1	0.040276	0.040215
FERMT3	S1PR2	0.042594	0.042584
CASP4	FANCG	0.054869	0.054801
S100A8	RNF217	0.058735	0.058802
ALDH1B1	CCDC125	0.059235	0.059149
IL1RAP	NRIP2	0.05947	0.059377
TPPP3	RFC3	0.059754	0.059875
PPM1J	ZNF668	0.062741	0.062737
CBR3	TMA16	0.075868	0.075763
SLC25A24	TBXAS1	0.076411	0.076446
ENO2	HERC6	0.088291	0.088294
LMOD1	ZNF182	0.093155	0.093143
ASPN	SOCS3	0.099351	0.09948
SERPINF1	ALKBH1	0.112851	0.112684
KRT15	EIF5A2	0.113158	0.113382
PTRHD1	ZNF329	0.117445	0.117236
PGM5	DUSP18	0.128992	0.129028
CD38	PPP1R18	0.130502	0.130274
HSPA12B	TIAM1	0.134806	0.134824
TRIM21	NPR3	0.136571	0.136484
TGFB1I1	CKS1B	0.137852	0.137736
FABP5	CCDC82	0.13976	0.139691
PRKAR2B	CCDC57	0.141329	0.141348
LXN	PTRH1	0.143305	0.143268
LMNB1	POLA2	0.143981	0.143965
GNPDA2	SH3BP1	0.145439	0.145642
HRG	MAGOHB	0.151412	0.151371
HCLS1	MEX3D	0.161679	0.161757
ME2	SVEP1	0.170766	0.170752
NUP155	FAM110C	0.171544	0.171582
HP	FANCE	0.171858	0.171882
S100A4	LPAR6	0.175708	0.175635
WARS2	NOL3	0.175734	0.175916
LRG1	PCP4L1	0.178318	0.178378
MRC1	CCDC174	0.182074	0.182115
SULT1B1	APTX	0.184688	0.184678
ENO3	MSANTD2	0.185149	0.185157
RFTN1	MAML2	0.186496	0.186555
FABP1	IFIH1	0.188708	0.188688
ISG15	PLCL2	0.188823	0.18892
FGL2	LIG4	0.19062	0.190428
RMDN2	MIPOL1	0.1936	0.193641
HSPA2	HDDC2	0.198655	0.198669
PLCD1	FES	0.200124	0.200093
EIF2AK2	SPOPL	0.202606	0.202622
PPIL3	GJA1	0.204705	0.204697
SNRPC	LSM8	0.208043	0.207955
TUBB6	MITD1	0.208983	0.208993
FKBP11	EHF	0.209307	0.209227
HGH1	CYP4V2	0.210703	0.210682
