,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
TSC22D1,-0.9421106146421983,-4.692875531490614,0.00020547673940081497,0.12567394379276534,0.15646627262603852,17.125622076805527,11,6,0.9561573610520071
PRR15,-1.7926006792256635,-4.631744021342665,0.00023410887461976335,0.6109740430209383,0.5815312107506367,17.125622076805527,11,6,0.9561573610520071
PTCH2,1.3115525791817642,4.300586776764286,0.00047701652563458114,0.3592902793317887,0.36108628685789546,17.125622076805527,11,6,0.9561573610520071
ANKRD33,-0.8803821196414483,-4.230273612655138,0.0005553611215073691,0.13901496522788234,0.16815141437617592,17.125622076805527,11,6,0.9561573610520071
WFDC2,-1.6051470972056878,-4.22672721511601,0.0005596411117771684,0.586286023887993,0.559907453941491,17.125622076805527,11,6,0.9561573610520071
TTC22,1.6156212939593528,4.169636001175883,0.0006333191621876352,0.6125119896410515,0.5828782683464564,17.125622076805527,11,6,0.9561573610520071
LGALS3,-0.7753579886944251,-4.1689724463464195,0.0006342308075746928,0.10035434413913362,0.13428932669664898,17.125622076805527,11,6,0.9561573610520071
PRCP,-0.6597382217691274,-4.095333556381756,0.000744096178395827,0.062066112909727626,0.1007534080675127,17.125622076805527,11,6,0.9561573610520071
LOC111559441,-1.4404700171820526,-3.9459863635399657,0.0010294812477084179,0.5377085042963642,0.5173593473321951,17.125622076805527,11,6,0.9561573610520071
STBD1,-0.8621973395855571,-3.9179710789927618,0.0010942023871013432,0.16169013047210734,0.18801215153001244,17.125622076805527,11,6,0.9561573610520071
UPP1,-1.0390236426740276,-3.840949642340395,0.0012939906569850428,0.2713924774624024,0.2840983081364398,17.125622076805527,11,6,0.9561573610520071
LOC101099065,1.721225521044921,3.801181751071479,0.0014110784012491913,0.8558771369146503,0.7960370775699817,17.125622076805527,11,6,0.9561573610520071
SYT8,-1.3099771748593572,-3.7419504525308245,0.001605434138985702,0.49026232108910617,0.4758021563047949,17.125622076805527,11,6,0.9561573610520071
AURKA,-0.6617601336985592,-3.685353056753597,0.001816112358579031,0.08995516158567243,0.12518088452722945,17.125622076805527,11,6,0.9561573610520071
DLL4,-0.9946628696276484,-3.664449608528619,0.001900723183517572,0.2736112399391483,0.2860416791276907,17.125622076805527,11,6,0.9561573610520071
