a,b,label_a,label_b,model_a,model_b,kind,distance,percentile_in_between_model
IRI12m,cat_natural_med,IRI 12mo,cat medulla,IRI,cat,cross_species,0.43884720944710076,58.8
IRI7d,cat_natural_med,IRI 7d,cat medulla,IRI,cat,cross_species,0.478908873771103,66.7
PodTRECK_2W,cat_natural_ctx,PodTRECK 14d,cat cortex,PodTRECK,cat,cross_species,0.5028319704878554,66.7
IRI7d,cat_natural_ctx,IRI 7d,cat cortex,IRI,cat,cross_species,0.5029555292086523,66.7
IRI28d,cat_natural_ctx,IRI 28d,cat cortex,IRI,cat,cross_species,0.5224598862504435,68.6
IRI12m,cat_natural_ctx,IRI 12mo,cat cortex,IRI,cat,cross_species,0.534720534642483,68.6
IRI72h,cat_natural_ctx,IRI 72h,cat cortex,IRI,cat,cross_species,0.5442045192868044,68.6
IRI14d,cat_natural_ctx,IRI 14d,cat cortex,IRI,cat,cross_species,0.5480601187789713,68.6
IRI14d,cat_natural_med,IRI 14d,cat medulla,IRI,cat,cross_species,0.5607664579891097,70.6
IRI48h,cat_natural_med,IRI 48h,cat medulla,IRI,cat,cross_species,0.5627023529112791,70.6
PodTRECK_3W,cat_natural_ctx,PodTRECK 21d,cat cortex,PodTRECK,cat,cross_species,0.5644933830065756,70.6
UUO_8D,cat_natural_ctx,UUO 8d,cat cortex,UUO,cat,cross_species,0.5653621909579516,70.6
IRI48h,cat_natural_ctx,IRI 48h,cat cortex,IRI,cat,cross_species,0.5724963565527427,72.5
IRI24h,cat_natural_ctx,IRI 24h,cat cortex,IRI,cat,cross_species,0.5750984116204703,72.5
PodTRECK_3W,cat_natural_med,PodTRECK 21d,cat medulla,PodTRECK,cat,cross_species,0.5803355169614511,72.5
IRI72h,cat_natural_med,IRI 72h,cat medulla,IRI,cat,cross_species,0.5861931928937407,72.5
UUO_8D,cat_natural_med,UUO 8d,cat medulla,UUO,cat,cross_species,0.5915801126852142,72.5
PodTRECK_2W,cat_natural_med,PodTRECK 14d,cat medulla,PodTRECK,cat,cross_species,0.601215757430532,74.5
IRI24h,cat_natural_med,IRI 24h,cat medulla,IRI,cat,cross_species,0.6548079061480787,74.5
IRI28d,cat_natural_med,IRI 28d,cat medulla,IRI,cat,cross_species,0.6751139608114485,78.4
UUO_2D,cat_natural_ctx,UUO 2d,cat cortex,UUO,cat,cross_species,0.6950351307473701,80.4
UUO_2D,cat_natural_med,UUO 2d,cat medulla,UUO,cat,cross_species,0.6971798047854805,80.4
PodTRECK_5D,cat_natural_ctx,PodTRECK 5d,cat cortex,PodTRECK,cat,cross_species,0.7024655965941207,82.4
IRI2h,cat_natural_med,IRI 2h,cat medulla,IRI,cat,cross_species,0.7311561015370054,86.3
IRI4h,cat_natural_ctx,IRI 4h,cat cortex,IRI,cat,cross_species,0.7386145600828711,88.2
PodTRECK_5D,cat_natural_med,PodTRECK 5d,cat medulla,PodTRECK,cat,cross_species,0.7518089182385388,88.2
IRI4h,cat_natural_med,IRI 4h,cat medulla,IRI,cat,cross_species,0.7666014483466321,90.2
IRI2h,cat_natural_ctx,IRI 2h,cat cortex,IRI,cat,cross_species,0.8290836471373471,90.2
