label,mapping,n,rho,p,dir_agree,n_agree_set
cat_rna_ctx_late x m_rna_5d,ortholog,9000,0.2922851356743022,9.382415469187954e-177,0.723404255319149,1739
cat_rna_ctx_late x m_rna_5d,naive,10483,0.2959701216978987,5.95936977887495e-211,0.7282026302971262,2053
cat_rna_ctx_early x m_rna_5d,ortholog,9000,0.2260104578355201,1.3314006926534197e-104,0.6869125090383225,1383
cat_rna_ctx_early x m_rna_5d,naive,10483,0.2330400623641812,2.7590162658684657e-129,0.6954656862745098,1632
cat_rna_med_late x m_rna_5d,ortholog,9017,0.23621145483062342,1.4450953327373637e-114,0.6654858299595142,1976
cat_rna_med_late x m_rna_5d,naive,10509,0.24596088718313047,1.320732939369036e-144,0.6874200426439232,2345
cat_rna_med_early x m_rna_5d,ortholog,9017,0.22244118483645264,1.7239308065022164e-101,0.6781818181818182,1650
cat_rna_med_early x m_rna_5d,naive,10509,0.23028968083850673,1.593957438915663e-126,0.6893004115226338,1944
cat_rna_ctx_late x m_rna_2w,ortholog,9000,0.489569221451472,0.0,0.6996838777660696,3796
cat_rna_ctx_late x m_rna_2w,naive,10483,0.4997975514925193,0.0,0.7045917213300158,4421
cat_rna_ctx_early x m_rna_2w,ortholog,9000,0.43426179833245027,0.0,0.6750503018108652,2982
cat_rna_ctx_early x m_rna_2w,naive,10483,0.44429500334812977,0.0,0.6878230901780585,3482
cat_rna_med_late x m_rna_2w,ortholog,9017,0.388898540103653,0.0,0.6023215821152192,4652
cat_rna_med_late x m_rna_2w,naive,10509,0.4003915778661532,0.0,0.6268243118418622,5413
cat_rna_med_early x m_rna_2w,ortholog,9017,0.4599767681806151,0.0,0.6891675560298826,3748
cat_rna_med_early x m_rna_2w,naive,10509,0.4657764336980561,0.0,0.6935076852489103,4359
cat_rna_ctx_late x m_rna_3w,ortholog,9000,0.42964592749357117,0.0,0.7195159789016444,3223
cat_rna_ctx_late x m_rna_3w,naive,10483,0.43850231568328174,0.0,0.7223833377273926,3793
cat_rna_ctx_early x m_rna_3w,ortholog,9000,0.3974509328080363,0.0,0.7049763033175356,2532
cat_rna_ctx_early x m_rna_3w,naive,10483,0.40992162234202617,0.0,0.7139986604152713,2986
cat_rna_med_late x m_rna_3w,ortholog,9017,0.407811340120348,0.0,0.6524547803617571,3870
cat_rna_med_late x m_rna_3w,naive,10509,0.42160157857321484,0.0,0.6732998031926525,4573
cat_rna_med_early x m_rna_3w,ortholog,9017,0.4263174666334049,0.0,0.7199747155499368,3164
cat_rna_med_early x m_rna_3w,naive,10509,0.43094982629330647,0.0,0.7206794284173632,3709
cat_rna_ctx_late x m_rna_2w250,ortholog,9000,0.5123397648930835,0.0,0.7191671115856914,3746
cat_rna_ctx_late x m_rna_2w250,naive,10483,0.5188824103448505,0.0,0.7221081451060917,4383
cat_rna_ctx_early x m_rna_2w250,ortholog,9000,0.46223412432387817,0.0,0.6948979591836735,2940
cat_rna_ctx_early x m_rna_2w250,naive,10483,0.4707866221669411,0.0,0.7073525138041267,3441
cat_rna_med_late x m_rna_2w250,ortholog,9017,0.4403342029614706,0.0,0.6246989270856141,4567
cat_rna_med_late x m_rna_2w250,naive,10509,0.4507620121589326,0.0,0.6486486486486487,5328
cat_rna_med_early x m_rna_2w250,ortholog,9017,0.45441454518799673,0.0,0.6990765888104291,3682
cat_rna_med_early x m_rna_2w250,naive,10509,0.4597594601181542,0.0,0.7027906976744186,4300
cat_prot_ctx_late x m_prot_d14,ortholog,2182,0.618172805177111,3.2601974137036544e-230,0.8157894736842105,950
cat_prot_ctx_late x m_prot_d14,naive,2779,0.6050698223795348,3.124809240927318e-277,0.7996688741721855,1208
cat_prot_ctx_early x m_prot_d14,ortholog,2182,0.5215615239029503,1.6628264571540199e-152,0.8422222222222222,450
cat_prot_ctx_early x m_prot_d14,naive,2779,0.5104584698893898,2.73552791461807e-184,0.8235294117647058,578
cat_prot_med_late x m_prot_d14,ortholog,1954,0.6072072422504153,3.181499511360412e-197,0.8339021615472128,879
cat_prot_med_late x m_prot_d14,naive,2513,0.6072642141408525,3.5811439684666156e-253,0.8331838565022421,1115
cat_prot_ctx_late x m_prot_d21,ortholog,2184,0.5995627382801783,2.4254404934435208e-213,0.8130165289256198,968
cat_prot_ctx_late x m_prot_d21,naive,2782,0.5809916223972018,6.562435440052012e-251,0.7835880933226066,1243
cat_prot_ctx_early x m_prot_d21,ortholog,2184,0.5037423822902627,6.957213043927452e-141,0.8399122807017544,456
cat_prot_ctx_early x m_prot_d21,naive,2782,0.48846736630245874,8.553568506710486e-167,0.8063973063973064,594
cat_prot_med_late x m_prot_d21,ortholog,1956,0.5870436990285265,1.5884523031070257e-181,0.8171683389074693,897
cat_prot_med_late x m_prot_d21,naive,2516,0.5822854662095795,2.4150430721631332e-228,0.8076923076923077,1144
catRNA x mouseProt,ortholog,8590,0.4518081517553856,0.0,0.7674227931128723,3659
catProt x mouseRNA,ortholog,2217,0.5454301265308463,4.5384223021482134e-172,0.8630393996247655,1066
