,n,n,rho,rho
mapping,naive,ortholog,naive,ortholog
label,,,,
catProt x mouseRNA,,2217.0,,0.5454301265308463
catRNA x mouseProt,,8590.0,,0.4518081517553856
cat_prot_ctx_early x m_prot_d14,2779.0,2182.0,0.5104584698893898,0.5215615239029503
cat_prot_ctx_early x m_prot_d21,2782.0,2184.0,0.48846736630245874,0.5037423822902627
cat_prot_ctx_late x m_prot_d14,2779.0,2182.0,0.6050698223795348,0.618172805177111
cat_prot_ctx_late x m_prot_d21,2782.0,2184.0,0.5809916223972018,0.5995627382801783
cat_prot_med_late x m_prot_d14,2513.0,1954.0,0.6072642141408525,0.6072072422504153
cat_prot_med_late x m_prot_d21,2516.0,1956.0,0.5822854662095795,0.5870436990285265
cat_rna_ctx_early x m_rna_2w,10483.0,9000.0,0.44429500334812977,0.43426179833245027
cat_rna_ctx_early x m_rna_2w250,10483.0,9000.0,0.4707866221669411,0.46223412432387817
cat_rna_ctx_early x m_rna_3w,10483.0,9000.0,0.40992162234202617,0.3974509328080363
cat_rna_ctx_early x m_rna_5d,10483.0,9000.0,0.2330400623641812,0.2260104578355201
cat_rna_ctx_late x m_rna_2w,10483.0,9000.0,0.4997975514925193,0.489569221451472
cat_rna_ctx_late x m_rna_2w250,10483.0,9000.0,0.5188824103448505,0.5123397648930835
cat_rna_ctx_late x m_rna_3w,10483.0,9000.0,0.43850231568328174,0.42964592749357117
cat_rna_ctx_late x m_rna_5d,10483.0,9000.0,0.2959701216978987,0.2922851356743022
cat_rna_med_early x m_rna_2w,10509.0,9017.0,0.4657764336980561,0.4599767681806151
cat_rna_med_early x m_rna_2w250,10509.0,9017.0,0.4597594601181542,0.45441454518799673
cat_rna_med_early x m_rna_3w,10509.0,9017.0,0.43094982629330647,0.4263174666334049
cat_rna_med_early x m_rna_5d,10509.0,9017.0,0.23028968083850673,0.22244118483645264
cat_rna_med_late x m_rna_2w,10509.0,9017.0,0.4003915778661532,0.388898540103653
cat_rna_med_late x m_rna_2w250,10509.0,9017.0,0.4507620121589326,0.4403342029614706
cat_rna_med_late x m_rna_3w,10509.0,9017.0,0.42160157857321484,0.407811340120348
cat_rna_med_late x m_rna_5d,10509.0,9017.0,0.24596088718313047,0.23621145483062342
