,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
Sox17,0.08144513057473768,1.0024892369320653,0.3531060547736843,0.007162873355800721,0.009900612653001089,6.289137973934928,3,3,0.5509220684897769
Mrpl15,0.024195235078472432,0.3438610220655563,0.7421572584761096,0.0032728876882332555,0.007426514814035335,6.289137973934928,3,3,0.8481529708903104
Lypla1,-0.42853060496533324,-3.876533872888229,0.0074860953157097005,0.02041662112782839,0.01833022435937947,6.289137973934928,3,3,0.06425368101992905
Tcea1,-0.13839085854105804,-1.9461437727291213,0.09737209384836863,0.0035220890426256282,0.007585011164680004,6.289137973934928,3,3,0.25838934724022367
Atp6v1h,-0.018396406652321673,-0.2968364886878011,0.776152139040893,0.0006547421396501545,0.005761329181642535,6.289137973934928,3,3,0.870305320480077
Rb1cc1,-0.16546393861653996,-2.0096732502490613,0.08901090441070228,0.007583706902460749,0.010168270032059496,6.289137973934928,3,3,0.2456614174747536
Pcmtd1,-0.1688594693687282,-1.9831901797679914,0.09240535481909867,0.008694261772940942,0.010874602044543775,6.289137973934928,3,3,0.25091266006826324
Gm24276,0.06644158966073371,0.28854136808415914,0.7822076932339111,0.11664702796622002,0.07953441942535804,6.289137973934928,3,3,0.8739484808421458
Rrs1,0.11941809075478815,1.195224309643337,0.2751154278529131,0.015139401983816157,0.014973822152346678,6.289137973934928,3,3,0.4756104496303287
Adhfe1,-0.24527726358175883,-2.4122456602269913,0.05053630399758589,0.01597967363912205,0.015508249387868217,6.289137973934928,3,3,0.1772003225494715
Vcpip1,-0.06234032564155623,-0.6708426967805984,0.5261783214095093,0.011962921610489142,0.012953525961363553,6.289137973934928,3,3,0.6968016425917156
Sgk3,-0.2236585213412594,-2.294416075052953,0.059590170861963346,0.01400665889147129,0.014253378048853021,6.289137973934928,3,3,0.1927364126703654
Snhg6,0.2531306043456203,2.5460805813901803,0.04196676500633828,0.014907642968070827,0.01482641942929888,6.289137973934928,3,3,0.1603200999667743
Tcf24,-0.059166564664651755,-0.4463200950912802,0.6703240774616983,0.033042254830948914,0.026360344706840084,6.289137973934928,3,3,0.8014513587180654
Cops5,0.006957456951568908,0.11155887019620012,0.9146489748561701,0.0007693746679481499,0.005834237442693946,6.289137973934928,3,3,0.9530247333720507
Cspp1,-0.1527392700276975,-2.3297772870463893,0.056708850755348705,0.0017329563560522416,0.00644709198148614,6.289137973934928,3,3,0.18756162493011752
Arfgef1,-0.22271781007319724,-2.8674409519414175,0.027067511692383903,0.005824275988467433,0.009049241687453156,6.289137973934928,3,3,0.12405211880952824
Prex2,-0.3545421784971028,-3.113815580404921,0.019508601480953246,0.022171713743056466,0.019446493471300362,6.289137973934928,3,3,0.1053082713011779
Sulf1,0.7690184221163437,4.89344954752243,0.0023919476964527654,0.04984223212985197,0.03704541942997694,6.289137973934928,3,3,0.04150624949132021
Ncoa2,-0.27166627259999565,-2.997239218979385,0.022754996656085255,0.010971709122336245,0.012323097758159275,6.289137973934928,3,3,0.11376292426375079
Tram1,0.04489451297674041,0.6301733674332081,0.5507781260584006,0.003566146956133078,0.007613032755995092,6.289137973934928,3,3,0.7160484545742501
Lactb2,-0.3395486573052846,-4.361071637581894,0.0042650300978319886,0.005893131198943259,0.009093034786450948,6.289137973934928,3,3,0.05135531309138027
RP23-70F22.2,-0.3639479461749159,-4.410869605371798,0.004033441087944372,0.007652853273853696,0.010212248314412033,6.289137973934928,3,3,0.05048076456091562
Terf1,-0.015344525135117415,-0.21276705286291492,0.8382385419756939,0.0038627901307217386,0.007801702920852714,6.289137973934928,3,3,0.9087327112282577
Rpl7,0.18753905103466106,2.4938754990978116,0.04511279664506795,0.004933236186523967,0.00848252503684931,6.289137973934928,3,3,0.1665420985036964
Rdh10,-0.015247514076436985,-0.15939299803581777,0.8783557179234969,0.013177812035978865,0.013726217182656384,6.289137973934928,3,3,0.9325065744199524
Stau2,0.028188865008055064,0.3969148347281354,0.7045508372029595,0.003491799266785463,0.0075657463458983516,6.289137973934928,3,3,0.8246668009197633
