,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
Sox17,0.6734867377418601,4.067927679295576,0.0011591672490581673,0.0794000976950696,0.07590507223794817,13.955855331682496,4,9,0.029524071465007937
Gm22307,0.3130948971008686,1.2423239267382233,0.23458816014955722,0.2062525308453602,0.17589011303193094,13.955855331682496,4,9,0.43683703345136365
Mrpl15,0.02977852774613643,0.3236373966755739,0.7510114658104218,0.012843123397861962,0.023444889764774025,13.955855331682496,4,9,0.8569408395504003
Lypla1,-0.3894324865121517,-2.006251954837482,0.06461133273830963,0.11547641801455844,0.10434041454287121,13.955855331682496,4,9,0.20906206973654234
Tcea1,-0.2715073804688233,-2.4434377947740757,0.028448097753861618,0.026477669300058317,0.03419163379153935,13.955855331682496,4,9,0.13904007777199864
Atp6v1h,-0.21232889671778477,-2.4602008469782652,0.027546003400416054,0.009268036428340419,0.020627007540424833,13.955855331682496,4,9,0.13710381064424668
Rb1cc1,-0.29544733969978987,-1.939653368431073,0.07290698954273031,0.06461275521471312,0.06424969437553582,13.955855331682496,4,9,0.22417543415827407
Pcmtd1,-0.11156348450096676,-0.8803258338936949,0.3935903007687511,0.03952437821980967,0.044475044926610426,13.955855331682496,4,9,0.5885328747753605
Gm15452,-0.28429250465501316,-1.589630355583596,0.13430933774054235,0.09547112389428382,0.08857224913179491,13.955855331682496,4,9,0.31666447019107336
Gm24276,0.13071754863999163,0.5139672187045509,0.615316137660737,0.21035662240439185,0.17912495647766805,13.955855331682496,4,9,0.76397001060229
Rrs1,-0.10034960182417185,-0.8037919088788352,0.43499527283104455,0.03785870572136593,0.0431621624806821,13.955855331682496,4,9,0.6245451527355239
Adhfe1,-0.18738036903517497,-1.1506475799369948,0.26921178880218066,0.07627048106406421,0.07343830956931359,13.955855331682496,4,9,0.472254995586413
Vcpip1,-0.1755695925721703,-1.6094573899830409,0.1298961540787552,0.024906565441278204,0.032953290312344105,13.955855331682496,4,9,0.31045072026279935
