a,b,label_a,label_b,model_a,model_b,kind,distance
PodTRECK_5D,PodTRECK_2W,PodTRECK 5d,PodTRECK 14d,PodTRECK,PodTRECK,within_model,0.42086445420358853
PodTRECK_5D,PodTRECK_3W,PodTRECK 5d,PodTRECK 21d,PodTRECK,PodTRECK,within_model,0.4523969003687899
PodTRECK_5D,UUO_2D,PodTRECK 5d,UUO 2d,PodTRECK,UUO,between_model,0.4549346774062173
PodTRECK_5D,UUO_8D,PodTRECK 5d,UUO 8d,PodTRECK,UUO,between_model,0.4750205687206075
PodTRECK_5D,IRI2h,PodTRECK 5d,IRI 2h,PodTRECK,IRI,between_model,1.0223413183141135
PodTRECK_5D,IRI4h,PodTRECK 5d,IRI 4h,PodTRECK,IRI,between_model,0.6995580556454879
PodTRECK_5D,IRI24h,PodTRECK 5d,IRI 24h,PodTRECK,IRI,between_model,0.44499675356570123
PodTRECK_5D,IRI48h,PodTRECK 5d,IRI 48h,PodTRECK,IRI,between_model,0.4355145342377028
PodTRECK_5D,IRI72h,PodTRECK 5d,IRI 72h,PodTRECK,IRI,between_model,0.36786061341195686
PodTRECK_5D,IRI7d,PodTRECK 5d,IRI 7d,PodTRECK,IRI,between_model,0.515412779826333
PodTRECK_5D,IRI14d,PodTRECK 5d,IRI 14d,PodTRECK,IRI,between_model,0.7366478896403539
PodTRECK_5D,IRI28d,PodTRECK 5d,IRI 28d,PodTRECK,IRI,between_model,0.5950943146127533
PodTRECK_5D,IRI12m,PodTRECK 5d,IRI 12mo,PodTRECK,IRI,between_model,0.6723056628413145
PodTRECK_5D,cat_natural_ctx,PodTRECK 5d,cat cortex,PodTRECK,cat,cross_species,0.7024655965941207
PodTRECK_5D,cat_natural_med,PodTRECK 5d,cat medulla,PodTRECK,cat,cross_species,0.7518089182385388
PodTRECK_2W,PodTRECK_3W,PodTRECK 14d,PodTRECK 21d,PodTRECK,PodTRECK,within_model,0.12381607677755979
PodTRECK_2W,UUO_2D,PodTRECK 14d,UUO 2d,PodTRECK,UUO,between_model,0.388853392504097
PodTRECK_2W,UUO_8D,PodTRECK 14d,UUO 8d,PodTRECK,UUO,between_model,0.24318511350840377
PodTRECK_2W,IRI2h,PodTRECK 14d,IRI 2h,PodTRECK,IRI,between_model,0.8893890059561383
PodTRECK_2W,IRI4h,PodTRECK 14d,IRI 4h,PodTRECK,IRI,between_model,0.6946761501246611
PodTRECK_2W,IRI24h,PodTRECK 14d,IRI 24h,PodTRECK,IRI,between_model,0.2858721705619651
PodTRECK_2W,IRI48h,PodTRECK 14d,IRI 48h,PodTRECK,IRI,between_model,0.32775057758866855
PodTRECK_2W,IRI72h,PodTRECK 14d,IRI 72h,PodTRECK,IRI,between_model,0.247552729256988
