module,tissue,n_genes,Control,CKD1/2,CKD3/4,prog_delta,prog_p_perm,loo_min,loo_max,sign_stable
Osmotic_TonEBP,cortex,9,0.198,0.12,-0.381,-0.501,0.008,-0.61,-0.398,True
Osmotic_TonEBP,medulla,9,0.132,0.31,-0.53,-0.841,0.006,-0.98,-0.771,True
Urea_concentration,cortex,9,0.225,0.176,-0.482,-0.658,0.04,-0.891,-0.537,True
Urea_concentration,medulla,9,-0.06,0.252,-0.23,-0.483,0.1628,-0.666,-0.257,True
TAL,cortex,9,0.193,0.295,-0.586,-0.88,0.0659,-1.164,-0.637,True
TAL,medulla,9,0.535,-0.121,-0.497,-0.377,0.4955,-0.607,-0.001,True
CD_principal,cortex,8,0.336,-0.022,-0.377,-0.355,0.3127,-0.5,-0.18,True
CD_principal,medulla,8,-0.31,0.187,0.147,-0.04,0.9231,-0.345,0.24,False
CD_intercalated,cortex,9,0.644,0.103,-0.897,-1.0,0.0519,-1.242,-0.835,True
CD_intercalated,medulla,9,0.597,-0.31,-0.344,-0.033,0.9421,-0.259,0.245,False
MR_downstream,cortex,11,-0.094,-0.057,0.181,0.237,0.5604,0.037,0.593,True
MR_downstream,medulla,11,-0.289,0.005,0.34,0.335,0.2068,0.212,0.557,True
MR_regulators,cortex,3,0.698,0.004,-0.843,-0.847,0.0849,-1.101,-0.654,True
MR_regulators,medulla,3,0.173,0.217,-0.468,-0.684,0.2398,-1.148,-0.37,True
Lymphocyte,cortex,13,-0.735,0.308,0.513,0.205,0.6783,-0.073,0.447,False
Lymphocyte,medulla,13,-0.645,0.06,0.702,0.642,0.1618,0.411,0.849,True
B_plasma,cortex,5,-0.736,0.329,0.488,0.158,0.7862,-0.078,0.378,False
B_plasma,medulla,5,-0.127,-0.398,0.63,1.028,0.1089,0.795,1.296,True
T_cell,cortex,6,-0.818,0.378,0.528,0.15,0.7682,-0.133,0.413,False
T_cell,medulla,6,-0.813,0.227,0.703,0.476,0.3427,0.201,0.687,True
ECM_fibrosis,cortex,34,-0.713,0.048,0.798,0.75,0.0559,0.593,0.929,True
ECM_fibrosis,medulla,34,-0.543,0.242,0.362,0.12,0.7463,-0.055,0.284,False
Osteoclast_like_Mac,cortex,11,-0.587,0.352,0.282,-0.07,0.8492,-0.228,0.127,False
Osteoclast_like_Mac,medulla,11,-0.688,0.433,0.306,-0.127,0.7832,-0.309,0.111,False
