a,b,kind,distance,n_genes
PodTRECK_5D,PodTRECK_2W,within_model,0.42086445420358853,15213
PodTRECK_5D,PodTRECK_3W,within_model,0.4523969003687899,15213
PodTRECK_5D,IRI_12mo,between_model,0.6723056628413145,11735
PodTRECK_5D,IRI_6mo,between_model,0.9563368043991093,11998
PodTRECK_5D,UUO_2D,between_model,0.4549346774062173,12492
PodTRECK_5D,UUO_8D,between_model,0.4750205687206075,12534
PodTRECK_2W,PodTRECK_3W,within_model,0.12381607677755979,15213
PodTRECK_2W,IRI_12mo,between_model,0.4046532105059918,11735
PodTRECK_2W,IRI_6mo,between_model,0.6163830681736315,11998
PodTRECK_2W,UUO_2D,between_model,0.388853392504097,12492
PodTRECK_2W,UUO_8D,between_model,0.24318511350840377,12534
PodTRECK_3W,IRI_12mo,between_model,0.38859206438516525,11735
PodTRECK_3W,IRI_6mo,between_model,0.5766234118200126,11998
PodTRECK_3W,UUO_2D,between_model,0.4033225450490071,12492
PodTRECK_3W,UUO_8D,between_model,0.28535631598184097,12534
IRI_12mo,IRI_6mo,within_model,0.4141566807719326,13350
IRI_12mo,UUO_2D,between_model,0.5698422393689684,13060
IRI_12mo,UUO_8D,between_model,0.33228230431649586,13157
IRI_6mo,UUO_2D,between_model,0.7576893834811489,13715
IRI_6mo,UUO_8D,between_model,0.5417765345876566,13811
UUO_2D,UUO_8D,within_model,0.26193562402470694,21104
cat_natural_ctx,PodTRECK_5D,cross_species,0.7024655965941207,10581
cat_natural_ctx,PodTRECK_2W,cross_species,0.5028319704878554,10581
cat_natural_ctx,PodTRECK_3W,cross_species,0.5644933830065756,10581
cat_natural_ctx,IRI_12mo,cross_species,0.534720534642483,10221
cat_natural_ctx,IRI_6mo,cross_species,0.6237563163390463,10381
cat_natural_ctx,UUO_2D,cross_species,0.6950351307473701,11686
cat_natural_ctx,UUO_8D,cross_species,0.5653621909579516,11700
cat_natural_med,PodTRECK_5D,cross_species,0.7518089182385388,10607
cat_natural_med,PodTRECK_2W,cross_species,0.601215757430532,10607
cat_natural_med,PodTRECK_3W,cross_species,0.5803355169614511,10607
cat_natural_med,IRI_12mo,cross_species,0.43884720944710076,10235
cat_natural_med,IRI_6mo,cross_species,0.5624557042892588,10410
cat_natural_med,UUO_2D,cross_species,0.6971798047854805,11767
cat_natural_med,UUO_8D,cross_species,0.5915801126852142,11784
cat_natural_ctx,cat_natural_med,within_cat,0.2400868869063314,14605
