dataset,module,z,mean_lfc,n_genes
cat_rna_ctx_early,ECM_fibrosis,8.181197833777736,1.1015106991500385,34
cat_rna_ctx_early,Complement,4.235866213829492,1.0070500693892073,20
cat_rna_ctx_early,Innate_immune,6.826638674659693,1.5473377363091019,21
cat_rna_ctx_early,Lymphocyte,6.026701963519353,2.39319445985524,13
cat_rna_ctx_early,B_plasma,3.8307484231898274,2.885563891453554,5
cat_rna_ctx_early,T_cell,4.139578321757882,2.4980768389257966,6
cat_rna_ctx_early,Osteoclast_like_Mac,4.475344907254604,2.3895053246002,12
cat_rna_ctx_early,Tubular_injury,4.47985702142176,0.9651573600499577,13
cat_rna_ctx_early,OXPHOS,-4.33739743945403,-0.29183369685170796,21
cat_rna_ctx_early,FAO_PPARA,-5.2329836648527195,-0.5036093433143333,18
cat_rna_ctx_early,Glycolysis,0.1456469622602345,0.04110936924286214,13
cat_rna_ctx_early,Hypoxia,-0.3860320813254996,-0.028439492429676732,12
cat_rna_ctx_early,PT_transport,-4.938268100943167,-0.6323896459433709,17
cat_rna_ctx_early,Podocyte,-2.0486500759126023,-0.3526866237491825,12
cat_rna_ctx_early,TAL,0.8309438193373444,0.02068988610769397,9
cat_rna_ctx_early,CD_principal,-2.374625807810004,-0.29303313969873573,8
cat_rna_ctx_early,CD_intercalated,-4.077429087714733,-0.7531668002505656,9
cat_rna_ctx_early,Osmotic_TonEBP,-0.11307665513800298,0.09119871364766675,9
cat_rna_ctx_early,Urea_concentration,-0.4735346950083242,0.00914626522952839,9
cat_rna_ctx_early,MR_downstream,-0.22962530853275548,0.06252218153785627,11
cat_rna_ctx_early,MR_regulators,,,3
cat_rna_ctx_early,Cell_cycle,3.08162182462739,0.6846551915749851,10
cat_rna_ctx_early,ER_proteostasis,2.12061264891044,0.19693416189189408,11
cat_rna_ctx_early,Lysosome,-1.1714226938504966,-0.10367023785711925,13
cat_rna_ctx_early,Redox_ferroptosis,-1.0499075274274134,-0.055513339565122645,13
cat_rna_ctx_early,Ciliogenesis,0.4763514035391138,0.023696905486301434,7
cat_rna_ctx_early,Matrix_integrin,1.872988858240967,0.105803104455949,13
cat_rna_ctx_late,ECM_fibrosis,8.84795426096195,2.0018315594786076,34
cat_rna_ctx_late,Complement,5.1850782124959975,1.481004398538905,20
cat_rna_ctx_late,Innate_immune,6.242114833240446,1.6878804775411282,21
cat_rna_ctx_late,Lymphocyte,5.856162150099899,2.453070417862674,13
cat_rna_ctx_late,B_plasma,3.7725603573375053,2.9717781332392774,5
cat_rna_ctx_late,T_cell,4.028674254684198,2.468571274020607,6
cat_rna_ctx_late,Osteoclast_like_Mac,4.091359165621492,1.6554540637578719,12
cat_rna_ctx_late,Tubular_injury,5.292537262833752,1.8462111072616094,13
cat_rna_ctx_late,OXPHOS,-5.575855457226294,-0.6123745507304224,21
cat_rna_ctx_late,FAO_PPARA,-5.114462575575535,-0.8062827534271785,18
cat_rna_ctx_late,Glycolysis,-0.16245360062250772,-0.00476321826817067,13
cat_rna_ctx_late,Hypoxia,0.3551389530662088,0.2509119638727357,12
cat_rna_ctx_late,PT_transport,-5.363149441905813,-1.4366318476144329,17
cat_rna_ctx_late,Podocyte,-2.2920324773912473,-0.5091254020214865,12
