a,b,kind,distance
PodTRECK_5D,PodTRECK_2W,within_model,0.14229249011857714
PodTRECK_5D,PodTRECK_3W,within_model,0.3231225296442688
PodTRECK_5D,UUO_2D,between_model,0.14229249011857714
PodTRECK_5D,UUO_8D,between_model,0.2371541501976283
PodTRECK_5D,IRI2h,between_model,0.8289102202145681
PodTRECK_5D,IRI4h,between_model,0.20666290231507622
PodTRECK_5D,IRI24h,between_model,0.20553359683794448
PodTRECK_5D,IRI48h,between_model,0.26086956521739124
PodTRECK_5D,IRI72h,between_model,0.18675889328063233
PodTRECK_5D,IRI7d,between_model,0.19565217391304346
PodTRECK_5D,IRI14d,between_model,0.366600790513834
PodTRECK_5D,IRI28d,between_model,0.25395256916996045
PodTRECK_5D,IRI12m,between_model,0.39229249011857703
PodTRECK_5D,cat_natural_ctx,cross_species,0.22332015810276684
PodTRECK_5D,cat_natural_med,cross_species,0.28952569169960474
PodTRECK_2W,PodTRECK_3W,within_model,0.11166007905138331
PodTRECK_2W,UUO_2D,between_model,0.12944664031620556
PodTRECK_2W,UUO_8D,between_model,0.11363636363636365
PodTRECK_2W,IRI2h,between_model,0.7069452286843592
PodTRECK_2W,IRI4h,between_model,0.17617165443252392
PodTRECK_2W,IRI24h,between_model,0.1264822134387351
PodTRECK_2W,IRI48h,between_model,0.1411631846414454
PodTRECK_2W,IRI72h,between_model,0.13833992094861647
PodTRECK_2W,IRI7d,between_model,0.0454545454545453
PodTRECK_2W,IRI14d,between_model,0.11462450592885376
PodTRECK_2W,IRI28d,between_model,0.08695652173913049
PodTRECK_2W,IRI12m,between_model,0.1689723320158103
PodTRECK_2W,cat_natural_ctx,cross_species,0.08893280632411049
PodTRECK_2W,cat_natural_med,cross_species,0.09090909090909083
PodTRECK_3W,UUO_2D,between_model,0.301383399209486
PodTRECK_3W,UUO_8D,between_model,0.3003952569169961
PodTRECK_3W,IRI2h,between_model,0.7758328627893845
PodTRECK_3W,IRI4h,between_model,0.35573122529644263
PodTRECK_3W,IRI24h,between_model,0.2778091473743647
PodTRECK_3W,IRI48h,between_model,0.19198193111236572
PodTRECK_3W,IRI72h,between_model,0.19664031620553357
PodTRECK_3W,IRI7d,between_model,0.17984189723320165
PodTRECK_3W,IRI14d,between_model,0.21047430830039515
PodTRECK_3W,IRI28d,between_model,0.21146245059288538
PodTRECK_3W,IRI12m,between_model,0.28260869565217395
PodTRECK_3W,cat_natural_ctx,cross_species,0.21442687747035571
PodTRECK_3W,cat_natural_med,cross_species,0.12648221343873522
UUO_2D,UUO_8D,within_model,0.11760683760683766
UUO_2D,IRI2h,between_model,0.8191699604743083
UUO_2D,IRI4h,between_model,0.2055335968379446
UUO_2D,IRI24h,between_model,0.12309429700734031
UUO_2D,IRI48h,between_model,0.13099943534726133
UUO_2D,IRI72h,between_model,0.13826086956521744
UUO_2D,IRI7d,between_model,0.1330434782608696
UUO_2D,IRI14d,between_model,0.24769230769230766
UUO_2D,IRI28d,between_model,0.26384615384615373
UUO_2D,IRI12m,between_model,0.22085470085470094
UUO_2D,cat_natural_ctx,cross_species,0.23794871794871797
UUO_2D,cat_natural_med,cross_species,0.2714529914529916
UUO_8D,IRI2h,between_model,0.7322134387351779
UUO_8D,IRI4h,between_model,0.12351778656126489
UUO_8D,IRI24h,between_model,0.07001693958215682
UUO_8D,IRI48h,between_model,0.09034443817052495
UUO_8D,IRI72h,between_model,0.1434782608695654
