a,b,kind,distance
PodTRECK_5D,PodTRECK_2W,within_model,0.20590636254501815
PodTRECK_5D,PodTRECK_3W,within_model,0.1724849939975992
PodTRECK_5D,UUO_2D,between_model,0.05714285714285716
PodTRECK_5D,UUO_8D,between_model,0.11764705882352944
PodTRECK_5D,IRI2h,between_model,0.9090036014405762
PodTRECK_5D,IRI4h,between_model,0.42602641056422563
PodTRECK_5D,IRI24h,between_model,0.14569027611044416
PodTRECK_5D,IRI48h,between_model,0.16499399759903965
PodTRECK_5D,IRI72h,between_model,0.16614645858343347
PodTRECK_5D,IRI7d,between_model,0.18151260504201683
PodTRECK_5D,IRI14d,between_model,0.5010324129651862
PodTRECK_5D,IRI28d,between_model,0.35774309723889564
PodTRECK_5D,IRI12m,between_model,0.2834093637454982
PodTRECK_5D,cat_natural_ctx,cross_species,0.21349339735894357
PodTRECK_5D,cat_natural_med,cross_species,0.20408163265306123
PodTRECK_2W,PodTRECK_3W,within_model,0.03831932773109248
PodTRECK_2W,UUO_2D,between_model,0.18833133253301326
PodTRECK_2W,UUO_8D,between_model,0.0652100840336135
PodTRECK_2W,IRI2h,between_model,0.5738295318127251
PodTRECK_2W,IRI4h,between_model,0.2795678271308524
PodTRECK_2W,IRI24h,between_model,0.1708523409363747
PodTRECK_2W,IRI48h,between_model,0.20196878751500613
PodTRECK_2W,IRI72h,between_model,0.10362545018007208
PodTRECK_2W,IRI7d,between_model,0.06117647058823539
PodTRECK_2W,IRI14d,between_model,0.12408163265306116
PodTRECK_2W,IRI28d,between_model,0.048787515006002535
PodTRECK_2W,IRI12m,between_model,0.14751500600240097
PodTRECK_2W,cat_natural_ctx,cross_species,0.050612244897959235
PodTRECK_2W,cat_natural_med,cross_species,0.1716206482593038
PodTRECK_3W,UUO_2D,between_model,0.14069627851140465
PodTRECK_3W,UUO_8D,between_model,0.057046818727491067
PodTRECK_3W,IRI2h,between_model,0.6001440576230492
PodTRECK_3W,IRI4h,between_model,0.3036734693877552
PodTRECK_3W,IRI24h,between_model,0.16412965186074435
PodTRECK_3W,IRI48h,between_model,0.16566626650660266
PodTRECK_3W,IRI72h,between_model,0.10285714285714287
PodTRECK_3W,IRI7d,between_model,0.055222088835534255
PodTRECK_3W,IRI14d,between_model,0.1733493397358944
PodTRECK_3W,IRI28d,between_model,0.12542617046818738
PodTRECK_3W,IRI12m,between_model,0.10122448979591847
PodTRECK_3W,cat_natural_ctx,cross_species,0.08518607442977189
PodTRECK_3W,cat_natural_med,cross_species,0.11361344537815132
UUO_2D,UUO_8D,within_model,0.06751500600240101
UUO_2D,IRI2h,between_model,0.866842737094838
UUO_2D,IRI4h,between_model,0.40384153661464595
UUO_2D,IRI24h,between_model,0.1517406962785114
UUO_2D,IRI48h,between_model,0.13656662665066044
UUO_2D,IRI72h,between_model,0.14876350540216088
UUO_2D,IRI7d,between_model,0.1329171668667467
UUO_2D,IRI14d,between_model,0.42708283313325335
UUO_2D,IRI28d,between_model,0.3280672268907564
UUO_2D,IRI12m,between_model,0.1724849939975992
UUO_2D,cat_natural_ctx,cross_species,0.1755582232893158
UUO_2D,cat_natural_med,cross_species,0.12052821128451385
UUO_8D,IRI2h,between_model,0.7085714285714286
UUO_8D,IRI4h,between_model,0.32326530612244897
UUO_8D,IRI24h,between_model,0.12206482593037216
UUO_8D,IRI48h,between_model,0.12475390156062427
UUO_8D,IRI72h,between_model,0.08768307322929181
UUO_8D,IRI7d,between_model,0.04504201680672271
UUO_8D,IRI14d,between_model,0.23356542617046827
UUO_8D,IRI28d,between_model,0.16038415366146463
UUO_8D,IRI12m,between_model,0.09651860744297724
UUO_8D,cat_natural_ctx,cross_species,0.07058823529411773
UUO_8D,cat_natural_med,cross_species,0.0893157262905162
IRI2h,IRI4h,within_model,0.23260504201680676
IRI2h,IRI24h,within_model,0.689747899159664
IRI2h,IRI48h,within_model,0.652388955582233
IRI2h,IRI72h,within_model,0.5915006002400961
IRI2h,IRI7d,within_model,0.6275150060024011
IRI2h,IRI14d,within_model,0.304825930372149
IRI2h,IRI28d,within_model,0.49306122448979595
IRI2h,IRI12m,within_model,0.586890756302521
IRI2h,cat_natural_ctx,cross_species,0.5664345738295318
IRI2h,cat_natural_med,cross_species,0.6579591836734694
IRI4h,IRI24h,within_model,0.32163265306122446
IRI4h,IRI48h,within_model,0.2901320528211285
IRI4h,IRI72h,within_model,0.24816326530612243
IRI4h,IRI7d,within_model,0.34045618247298914
IRI4h,IRI14d,within_model,0.24797118847539024
IRI4h,IRI28d,within_model,0.31644657863145265
IRI4h,IRI12m,within_model,0.34112845138055214
IRI4h,cat_natural_ctx,cross_species,0.29234093637454983
IRI4h,cat_natural_med,cross_species,0.394141656662665
IRI24h,IRI48h,within_model,0.05368547418967595
IRI24h,IRI72h,within_model,0.07702280912364945
IRI24h,IRI7d,within_model,0.11409363745498202
IRI24h,IRI14d,within_model,0.3533253301320528
IRI24h,IRI28d,within_model,0.27351740696278504
IRI24h,IRI12m,within_model,0.22521008403361342
IRI24h,cat_natural_ctx,cross_species,0.17152460984393758
IRI24h,cat_natural_med,cross_species,0.21647058823529408
IRI48h,IRI72h,within_model,0.04936374549819922
IRI48h,IRI7d,within_model,0.12321728691476586
IRI48h,IRI14d,within_model,0.3669627851140457
IRI48h,IRI28d,within_model,0.31980792316926776
IRI48h,IRI12m,within_model,0.18727490996398566
IRI48h,cat_natural_ctx,cross_species,0.21339735894357736
IRI48h,cat_natural_med,cross_species,0.20014405762304932
IRI72h,IRI7d,within_model,0.08336134453781507
IRI72h,IRI14d,within_model,0.25008403361344544
IRI72h,IRI28d,within_model,0.19140456182472998
IRI72h,IRI12m,within_model,0.18756302521008406
IRI72h,cat_natural_ctx,cross_species,0.11812725090036014
IRI72h,cat_natural_med,cross_species,0.18458583433373343
IRI7d,IRI14d,within_model,0.16576230492196875
IRI7d,IRI28d,within_model,0.12513805522208887
IRI7d,IRI12m,within_model,0.08019207683073237
IRI7d,cat_natural_ctx,cross_species,0.04677070828331331
IRI7d,cat_natural_med,cross_species,0.08316926770708288
IRI14d,IRI28d,within_model,0.06924369747899162
IRI14d,IRI12m,within_model,0.18967587034813937
IRI14d,cat_natural_ctx,cross_species,0.12792316926770708
IRI14d,cat_natural_med,cross_species,0.2627611044417768
IRI28d,IRI12m,within_model,0.23625450180072038
IRI28d,cat_natural_ctx,cross_species,0.08893157262905171
IRI28d,cat_natural_med,cross_species,0.26833133253301333
IRI12m,cat_natural_ctx,cross_species,0.12408163265306116
IRI12m,cat_natural_med,cross_species,0.07932773109243696
cat_natural_ctx,cat_natural_med,within_cat,0.10756302521008398
