tissue,module,Control,CKD1/2,CKD3/4,prog_delta,prog_p_perm
ctx,ECM_fibrosis,-0.8335968910187281,0.004161685970795567,0.7097554083351432,0.7055937223643476,0.04695304695304695
ctx,Complement,-0.6745577125305836,0.07271863476946892,0.4950853138611076,0.42236667909163866,0.01898101898101898
ctx,Innate_immune,-0.8810238697380615,0.293239005729275,0.42003302465630993,0.1267940189270349,0.7002997002997003
ctx,Lymphocyte,-0.9212980035033361,0.35982423140694,0.37845630996635676,0.018632078559416787,0.9630369630369631
ctx,B_plasma,-0.9306617941900971,0.36537532570795295,0.3801383084967092,0.014762982788756263,0.968031968031968
ctx,T_cell,-1.0067861498698754,0.41043114460189495,0.3938953917720133,-0.016535752829881623,0.954045954045954
ctx,Osteoclast_like_Mac,-0.7141844518449002,0.43853562827627834,0.11097452640845361,-0.3275611018678247,0.26073926073926074
ctx,Tubular_injury,-0.7767467592288911,-0.03361369908253728,0.7041985925762345,0.7378122916587718,0.01898101898101898
ctx,OXPHOS,0.6667276411963572,0.0569660388466741,-0.6365848797073609,-0.693550918554035,0.09290709290709291
ctx,FAO_PPARA,0.6030109950418202,-0.05254960002912745,-0.4568098814311296,-0.40426028140200215,0.3096903096903097
ctx,Glycolysis,0.023508742297187062,0.0568497939273934,-0.08512154360032205,-0.14197133752771546,0.6393606393606394
ctx,Hypoxia,0.014773518631713507,-0.1520208983945499,0.16107515362373295,0.31309605201828283,0.19480519480519481
ctx,PT_transport,0.5085757369183184,0.029134539596131256,-0.4692186768969938,-0.4983532164931251,0.25274725274725274
ctx,Podocyte,0.3247798210304112,-0.033843187999418864,-0.23970477459815703,-0.20586158659873816,0.6023976023976024
ctx,TAL,0.15805580347818501,0.23685060001910838,-0.4061628030031396,-0.643013403022248,0.1028971028971029
ctx,CD_principal,0.38876796915945905,0.027541892824614375,-0.36470613679338043,-0.3922480296179948,0.21978021978021978
ctx,CD_intercalated,0.7802375899834276,0.04208593108576149,-0.7168732840838096,-0.7589592151695711,0.05194805194805195
ctx,Osmotic_TonEBP,0.17359162641410095,0.05153131542671473,-0.20768575455690397,-0.2592170699836187,0.0919080919080919
ctx,Urea_concentration,0.254543764974943,0.170875900687955,-0.4134671136219023,-0.5843430143098574,0.01998001998001998
ctx,MR_downstream,-0.008372463789726536,-0.03208071225959716,0.043840068687878216,0.07592078094747537,0.8171828171828172
ctx,MR_regulators,0.813396485987386,-0.07431122073582228,-0.612269878576823,-0.5379586578410007,0.2127872127872128
ctx,Cell_cycle,-0.6351588003244442,0.09261158039539576,0.438580022683355,0.34596844228795925,0.3006993006993007
