k_modules,n_draws,time_rho_median,time_rho_p2.5,time_rho_p97.5,sd,定義
5,120,0.31,-0.122,0.535,0.172,curated
10,120,0.438,0.213,0.656,0.112,curated
15,120,0.485,0.357,0.615,0.069,curated
20,120,0.524,0.455,0.598,0.038,curated
22,120,0.536,0.536,0.536,0.0,curated
22,120,0.536,0.536,0.536,0.0,curated
5,120,0.314,-0.082,0.59,0.194,hallmark
10,120,0.477,0.185,0.685,0.139,hallmark
15,120,0.541,0.303,0.721,0.104,hallmark
20,120,0.578,0.384,0.704,0.082,hallmark
30,120,0.618,0.493,0.704,0.054,hallmark
50,120,0.62,0.62,0.62,0.0,hallmark
