,TNF-alpha Signaling via NF-kB,Hypoxia,Cholesterol Homeostasis,Mitotic Spindle,Wnt-beta Catenin Signaling,TGF-beta Signaling,IL-6/JAK/STAT3 Signaling,DNA Repair,G2-M Checkpoint,Apoptosis,Notch Signaling,Adipogenesis,Estrogen Response Early,Estrogen Response Late,Androgen Response,Myogenesis,Protein Secretion,Interferon Alpha Response,Interferon Gamma Response,Apical Junction,Apical Surface,Hedgehog Signaling,Complement,Unfolded Protein Response,PI3K/AKT/mTOR  Signaling,mTORC1 Signaling,E2F Targets,Myc Targets V1,Myc Targets V2,Epithelial Mesenchymal Transition,Inflammatory Response,Xenobiotic Metabolism,Fatty Acid Metabolism,Oxidative Phosphorylation,Glycolysis,Reactive Oxygen Species Pathway,p53 Pathway,UV Response Up,UV Response Dn,Angiogenesis,heme Metabolism,Coagulation,IL-2/STAT5 Signaling,Bile Acid Metabolism,Pperoxisome,Allograft Rejection,Spermatogenesis,KRAS Signaling Up,KRAS Signaling Dn,Pancreas Beta Cells
PodTRECK_5D,11.289744568451349,5.230232278510916,-0.47182156332975944,9.162296682495551,1.3110880564680032,4.902365584350186,6.146733880018925,4.171798814936418,12.084920309774795,5.28840173884263,-1.5429121251801612,-4.977326310030142,0.8615084504234067,0.4879988430772858,4.096081118701141,-0.7599304299709868,3.681148698270625,5.1181353147019815,6.81693175497744,4.334158168980764,0.741709880179051,-0.7622025462663904,6.99515644744772,6.679078857196078,4.891202120451091,3.7691730676973574,16.076807461980795,11.549121363024572,5.334439850928211,9.209169706018688,5.517412847072065,-2.576559654528081,-4.069383902872283,-7.005198751493243,0.9080209663612788,-0.22357549297570267,4.366057839431386,3.4670610983242596,1.9495647138523997,2.66141392271464,-2.380863152828525,4.437882404251701,5.444352696189848,-4.72062655200343,-1.8186684593255962,6.632844459572276,2.405036005778618,2.787436204759012,-3.174349080412115,-0.9238645389730844
PodTRECK_2W,12.517116817177072,3.3377138499740044,-0.19343020296217212,6.297878495734828,2.5054819900751544,5.585191693181029,8.450338823797166,1.280855430097726,5.3500127033562315,6.293790236183325,1.3956177092204365,-8.302234088964141,2.653610623529542,1.1365992999687768,1.5308520898789968,4.66962612859483,-0.24225963762647923,8.178060400734765,11.173322421194731,7.429237956431001,2.4975327740469244,2.518504114501288,6.763106277131954,2.7288312891928057,3.9343528818141156,-2.3209181560024366,4.376538121714293,2.986245297583306,0.9801705419302534,12.271396574044562,9.810696834762586,-5.796503534274194,-9.2360672869918,-15.21526384718641,-1.814042130213769,-2.128676983565285,4.746268372040375,1.8118713938878366,3.685384759753401,3.118727819400727,-4.368729160028471,5.889572327550297,6.40007263423252,-6.894054162550152,-4.36575024560165,9.996167274772993,-1.7010093654638494,6.440972255868609,-2.553802205880799,-0.6889841920051837
PodTRECK_3W,10.889122629770242,2.9098157207390196,-0.07111404520667904,2.796371582449635,1.5820728219385929,4.487440729095038,6.821746494959407,2.8805180055881263,3.7088517395187086,5.125189443235436,0.6969773874018654,-8.654886666268407,2.009237235904561,0.7903853077220989,1.394744521696095,1.7220372361152891,-1.0521560354850907,6.52634564867246,8.015810717070003,5.706013830768574,2.22347347557001,1.637461455637751,4.854325554289422,2.205032200306225,2.977057406326451,-1.4743558454397747,3.981446532214921,4.323608695334934,1.060276791737681,10.278721095431024,7.813349520036775,-5.045313688961727,-8.833026475922725,-12.034515673960913,-2.0581712126479275,-0.6253766180578183,5.426566051024882,2.4417813235952313,1.514125364405265,2.6591645697976567,-4.3291612187481086,4.34136160717091,4.354128178042891,-7.224077436421342,-4.029088312579299,7.6602180110742415,-1.5312374661204853,3.9416287820986726,-1.7431412912451267,-0.8308623042460803
UUO_2D,12.75296706937635,2.986506756522593,-0.6660643081613634,6.242072963194508,-1.1067157560912104,2.5237479365645368,7.92103031847708,3.917456244069297,10.921691647954091,4.289683330864514,-1.1890186332034645,-5.668120316479723,1.4651648746536616,0.7745456988243369,0.6204254545644945,0.6050364486281984,0.696558522623736,6.38988268052637,8.365881428676502,2.7351576694964916,-0.046358937386140386,-0.8347386311334919,4.050312585234879,4.653219099602306,2.056167947587304,2.982672720740971,12.0034301735834,7.141026536312852,3.4460850061412387,5.648344622704976,9.0808192018718,-2.924410911057992,-5.9239257127919895,-5.633856500726112,0.26078910614525164,1.5085190389780965,5.048126163873368,2.8105136328885294,0.22907533588559664,1.3600699839630706,-2.4056875614989335,1.9564198058141191,5.4730006459156115,-5.384404757968332,-1.7386597786292015,9.726451821513242,1.1324174298910485,3.8395536240605557,-2.652532520274602,-0.9711490136437022
UUO_8D,13.667069416652526,4.482034271860841,-0.9392024821400085,5.24909246548441,0.8994170316154694,4.158327080723139,9.40803946890947,3.6739165487646726,8.714085123140592,7.573195314596851,1.212902312032053,-6.439397035594556,2.4381014171050857,1.8301475554989883,0.4038275949302358,3.6121904494569392,0.6127311911332938,9.231063383461393,13.057227696566637,7.119731674990976,1.0520006729901752,0.3301313168315409,6.537245300362985,3.74542455725593,2.764703920145051,1.7530596702520183,9.502459061753921,7.221657680077422,2.2669992843613334,12.387420750325981,12.75110712905304,-4.388890724413022,-7.17116765434715,-7.062576737303586,1.4627978247845537,0.6705270121269317,5.922680768699019,2.7275336856490005,2.921421222163816,3.7073813679604464,-3.1495361246672413,4.818421376220238,8.827479671087476,-6.008175257941546,-2.4932539989007156,15.180516035113165,0.335675604080777,8.242844454161274,-0.3608483165165505,0.33014188425884533
IRI2h,13.36115727432419,5.9883387783790125,4.030092585690725,0.8674488533647239,3.1555527995736354,3.8735551019040706,3.2640556215609897,-0.3110518639512147,-2.922319909200965,4.791491799113863,2.7487712315997737,-1.3113624474234171,8.911571328613839,6.438195705808545,1.1809629037862823,7.610678427738286,-3.6506001078384216,-1.226633826145387,-0.34832879684479756,5.827658765208223,3.166648906738144,3.1774915997760287,1.9224039376742712,1.0510360680440995,1.0411353328108015,0.4879889299509783,-5.194234105081944,-3.79547982794423,0.8611086563821462,11.178433161343936,4.307547090878942,0.5613371329381771,-4.276434323316476,-2.6010264769100493,2.462699002650978,0.46839851033704,7.578785338424158,4.2092776229271704,2.285381160677459,1.997429051715613,0.3338754968881444,2.831521350511248,5.212275333792133,-2.179384666918844,-0.9409788125388364,0.41911401166814954,-2.254972144000496,2.9595817420019412,4.564523726108309,0.7201035914588493
IRI4h,17.149680665869333,7.710610915289772,3.2247594167121014,4.2112119562889605,2.200178650685662,5.963873476038344,6.790816535131832,-0.22522086379787545,2.49663322552877,6.260289236210147,0.954568421059143,-1.2002006194559272,6.587256313131406,6.196225885769419,4.205840926669921,4.782886451332692,-0.2631418869617909,-1.2763869999052972,2.611882900380077,4.99530473925913,1.0643515136073332,2.2395830054461765,5.653099190866703,5.498113841117261,3.7901332223999167,3.795686622791323,-0.2819275162578282,2.939617406542057,3.049239293394372,11.68670774909804,8.495768987592896,-1.3680093197816259,-5.428486644743636,-4.197511077328393,1.3023085299875372,0.8302116245159336,7.2684835148732185,4.6602476363177825,4.61797734622386,3.9981016355140175,0.9284868028443474,3.721859039247236,7.62652067204715,-4.569326463347434,-2.1098017819427732,5.100530656132602,-0.8235018871339539,6.4522513268421156,0.1318047267572459,-0.8452220774230861
IRI24h,10.538230088863669,1.2222038307022092,-1.067212045414247,6.46788309861192,1.3716647084866216,5.200382739974391,6.930138437598527,3.425713427320942,9.090853750400914,3.7240288846330936,1.3510254636302506,-6.345951983368021,2.9133750539746077,1.6867802171664872,0.6505503228437848,4.421753558437799,-0.19547261615027978,1.6630903188466752,3.108207983692799,7.7302265984000105,1.9458399321572653,1.2143105922164628,4.2291367054441364,4.522338693856831,3.426459409552378,2.32038001491789,11.541034962338264,9.187186373595308,5.592233531955244,11.751236492300015,7.231792234290893,-3.497699441755122,-7.548652033209982,-12.60643840465873,-1.21102369399791,0.3807956413516708,4.355970859443831,2.350785968332805,3.4231052213110456,3.6863365093847738,-3.905639808364269,4.506941146794084,4.263095005842236,-7.762679585034605,-3.188371501216938,5.4852801939982365,-0.7714392905220464,5.19023947881119,-2.9810958392408105,-1.7310714870189763
IRI48h,10.598089199160787,3.3133814254275085,0.9393115920561848,6.352552253661306,0.7885309271578209,4.478339448097298,6.055708632408462,4.826022206330268,11.36137442809068,5.427630325879751,0.7786802273858877,-3.541188545883219,2.9655758233518257,3.104247215282853,2.2931745322178014,4.477244301808118,0.3756312224529862,1.3894551693749302,2.4664202728630786,8.333198553638143,2.375209850247396,0.671396973623375,5.804163934816963,3.1268888136669717,3.712655199903814,3.601807011193002,14.470903413394895,9.250462107208874,3.4500521330039664,13.298164924801664,6.931831798150026,-0.9833658426077645,-4.776243375403789,-4.155120478945857,1.4118693834955207,2.799029109021768,6.4586783407687625,3.812374044425579,2.4057706896291995,3.457237938795314,-2.7365104519025394,5.5178340805061366,4.787405294341341,-6.03336895829227,-1.3786816121502836,5.806831612869147,0.5287721562218032,6.416599814025012,-0.801372192256121,-0.3456467095724325
IRI72h,12.194592118085959,5.499339970242562,-0.26727442326476425,7.569798657718124,1.7261094171671485,5.451472779266527,7.241038464924305,3.995670283174435,10.416550892060453,7.0787054849792455,0.9208655181781263,-5.722194318454236,3.942633612561942,3.2050553526541736,2.910041925336784,5.074514297943426,0.5429523475116712,1.9998086364025156,4.146909552774358,8.459728423013612,2.932308649455552,1.971406712309848,6.869091851103196,3.582674449221411,4.109486810379422,1.1496400011546888,12.062572411860966,5.978293889085132,2.7312416763259133,13.896697170165252,8.128843940356376,-1.1016214554968364,-6.979249070041726,-8.617568141205082,0.780269566077328,1.7601335521726118,8.248679873279615,2.6319468778977693,3.9322922476092725,3.6819733538689783,-1.8670252850772024,6.4966913929118055,6.539083746938396,-4.822933437368409,-2.380861619480078,7.56957425838919,1.3250721259103357,8.220926707071444,-1.2457741072586037,-0.1762029786576611
