library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
hallmark,TNF-alpha Signaling via NF-kB,182,27,3.1,8.82,3.801275579065948e-18,1.026344406347806e-16,27.0
hallmark,Apoptosis,146,11,2.5,4.48,3.6230257541081164e-05,0.0004891084768045957,27.0
gobp,Regulation Of Epithelial Cell Differentiation (GO:0030856),13,4,0.2,18.29,4.960313269189321e-05,0.012003958111438158,242.0
kegg,MicroRNAs in cancer,158,11,2.7,4.14,7.459823332250104e-05,0.005669465732510079,76.0
hallmark,UV Response Up,134,10,2.3,4.44,8.884874094208401e-05,0.000799638668478756,27.0
gobp,Intrinsic Apoptotic Signaling Pathway (GO:0097193),89,8,1.5,5.34,0.00012497823871357957,0.015122366884343128,242.0
hallmark,p53 Pathway,176,11,3.0,3.71,0.0001946927204048857,0.0013141758627329785,27.0
hallmark,mTORC1 Signaling,189,11,3.2,3.46,0.00036025271718823646,0.001945364672816477,27.0
gobp,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),38,5,0.6,7.82,0.00041266716794045524,0.018604572827263903,242.0
gobp,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),22,4,0.4,10.81,0.0004504672703567092,0.018604572827263903,242.0
gobp,Cellular Response To Hypoxia (GO:0071456),59,6,1.0,6.04,0.00045590223634777864,0.018604572827263903,242.0
hallmark,KRAS Signaling Up,165,10,2.8,3.6,0.00048346214493471764,0.0021755796522062295,27.0
gobp,Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress (GO:0070059),23,4,0.4,10.34,0.0005381488007886253,0.018604572827263903,242.0
gobp,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),23,4,0.4,10.34,0.0005381488007886253,0.018604572827263903,242.0
hallmark,IL-2/STAT5 Signaling,169,10,2.8,3.52,0.0005834088749517145,0.0022502913748137557,27.0
gobp,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),42,5,0.7,7.08,0.0006621828872072856,0.019022374176475967,242.0
gobp,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),64,6,1.1,5.57,0.0007074436677201806,0.019022374176475967,242.0
gobp,Negative Regulation Of MAPK Cascade (GO:0043409),90,7,1.5,4.62,0.0007988565488155587,0.01921281903568522,242.0
gobp,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),26,4,0.4,9.14,0.0008733099561675101,0.01921281903568522,242.0
gobp,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),69,6,1.2,5.17,0.0010549595900916557,0.02052716708217019,242.0
gobp,Cellular Response To Heat (GO:0034605),28,4,0.5,8.49,0.00116495485788654,0.02052716708217019,242.0
gobp,Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050),13,3,0.2,13.72,0.0011875220626048869,0.02052716708217019,242.0
hallmark,Cholesterol Homeostasis,71,6,1.2,5.02,0.0012257427902513088,0.004136881917098167,27.0
kegg,IL-17 signaling pathway,72,6,1.2,4.95,0.0013186845138136855,0.04127746947070333,76.0
gobp,Regulation Of Protein Kinase B Signaling (GO:0051896),98,7,1.6,4.25,0.0013208013338963846,0.021308928186861673,242.0
gobp,Cellular Response To Growth Factor Stimulus (GO:0071363),128,8,2.2,3.71,0.0014451329750952788,0.021857636248316093,242.0
kegg,MAPK signaling pathway,227,11,3.8,2.88,0.001629373794896184,0.04127746947070333,76.0
gobp,Positive Regulation Of Telomerase Activity (GO:0051973),31,4,0.5,7.67,0.0017209713128145524,0.024498532805948336,242.0
gobp,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),54,5,0.9,5.5,0.002090690060473154,0.024640978622862745,242.0
gobp,Regulation Of Cell Migration (GO:0030334),344,14,5.8,2.42,0.002105552952813007,0.024640978622862745,242.0
gobp,Cell Chemotaxis (GO:0060326),33,4,0.6,7.2,0.00218007426821217,0.024640978622862745,242.0
gobp,Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516),16,3,0.3,11.14,0.0022400889657147953,0.024640978622862745,242.0
gobp,Regulation Of Epidermal Cell Differentiation (GO:0045604),16,3,0.3,11.14,0.0022400889657147953,0.024640978622862745,242.0
kegg,Transcriptional misregulation in cancer,139,8,2.3,3.42,0.0024315451251944145,0.04619935737869388,76.0
gobp,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),34,4,0.6,6.99,0.0024385331103928573,0.02565760924848137,242.0
hallmark,Hypoxia,171,9,2.9,3.13,0.0024478300241571834,0.007343490072471551,27.0
gobp,Purine Ribonucleotide Metabolic Process (GO:0009150),59,5,1.0,5.04,0.0030925562734603384,0.028857000000172855,242.0
gobp,Telomere Maintenance Via Telomerase (GO:0007004),18,3,0.3,9.91,0.0031841302977534103,0.028857000000172855,242.0
