library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
hallmark,Allograft Rejection,145,51,12.2,4.17,1.284492308786649e-19,5.651766158661256e-18,44.0
hallmark,Interferon Gamma Response,169,52,14.3,3.65,4.3110078885357134e-17,9.484217354778569e-16,44.0
gobp,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),92,35,7.8,4.51,4.344399882925072e-15,5.838873442651297e-12,1344.0
gobp,Positive Regulation Of Cytokine Production (GO:0001819),219,55,18.5,2.98,8.671202090035817e-14,5.82704780450407e-11,1344.0
gobp,B Cell Activation (GO:0042113),59,25,5.0,5.02,2.0774870510147157e-12,9.307141988545926e-10,1344.0
gobp,B Cell Receptor Signaling Pathway (GO:0050853),35,18,3.0,6.09,4.733845782026452e-11,1.5905721827608878e-08,1344.0
hallmark,Inflammatory Response,155,40,13.1,3.06,8.71859085649365e-11,1.278726658952402e-09,44.0
hallmark,KRAS Signaling Up,165,41,13.9,2.94,1.8099850116940217e-10,1.990983512863424e-09,44.0
kegg,Cytokine-cytokine receptor interaction,153,39,12.9,3.02,2.2298680279115198e-10,5.06180042335915e-08,227.0
gobp,Regulation Of T Cell Activation (GO:0050863),38,18,3.2,5.61,2.7401879417550784e-10,7.365625187437651e-08,1344.0
kegg,Primary immunodeficiency,28,15,2.4,6.35,9.441314446971682e-10,1.0715891897312859e-07,227.0
gobp,T Cell Activation (GO:0042110),66,23,5.6,4.13,1.6664726522807125e-09,3.7328987411087957e-07,1344.0
gobp,T Cell Receptor Signaling Pathway (GO:0050852),64,22,5.4,4.07,5.052382642548928e-09,9.700574673693943e-07,1344.0
gobp,Defense Response To Bacterium (GO:0042742),87,26,7.3,3.54,6.247567770776405e-09,1.049591385490436e-06,1344.0
hallmark,TNF-alpha Signaling via NF-kB,182,39,15.4,2.54,4.3508469173280166e-08,3.828745287248655e-07,44.0
kegg,Systemic lupus erythematosus,23,12,1.9,6.18,6.959985253008291e-08,5.26638884144294e-06,227.0
gobp,Positive Regulation Of Response To External Stimulus (GO:0032103),116,29,9.8,2.96,7.1595505513468e-08,9.8663818111105e-06,1344.0
gobp,Regulation Of B Cell Proliferation (GO:0030888),36,15,3.0,4.94,7.341057895171504e-08,9.8663818111105e-06,1344.0
gobp,Regulation Of Interleukin-6 Production (GO:0032675),80,23,6.8,3.41,1.0313561723346576e-07,1.2601297232888908e-05,1344.0
gobp,Defense Response To Symbiont (GO:0140546),94,25,7.9,3.15,1.5603972844320645e-07,1.747644958563912e-05,1344.0
hallmark,Interferon Alpha Response,82,23,6.9,3.32,1.6982313966821778e-07,1.2453696909002636e-06,44.0
gobp,Inflammatory Response (GO:0006954),149,33,12.6,2.62,2.0855852815182826e-07,2.1561743218158243e-05,1344.0
kegg,Cell adhesion molecules,84,23,7.1,3.24,2.744520750931306e-07,1.557515526153516e-05,227.0
gobp,Positive Regulation Of Lymphocyte Activation (GO:0051251),26,12,2.2,5.47,3.912031676805497e-07,3.755550409733277e-05,1344.0
kegg,Antigen processing and presentation,36,14,3.0,4.61,5.570877965621605e-07,2.5291785963922088e-05,227.0
gobp,Defense Response To Gram-negative Bacterium (GO:0050829),27,12,2.3,5.27,6.501578387422683e-07,5.8254142351307244e-05,1344.0
kegg,Staphylococcus aureus infection,32,13,2.7,4.81,7.827551592449934e-07,2.9614236858102252e-05,227.0
gobp,Positive Regulation Of B Cell Activation (GO:0050871),42,15,3.5,4.23,8.008946932717604e-07,6.727515423482788e-05,1344.0
gobp,Response To Type II Interferon (GO:0034341),53,17,4.5,3.8,8.639327822815849e-07,6.830150937567353e-05,1344.0
kegg,Th17 cell differentiation,79,21,6.7,3.15,1.5281972041695506e-06,4.9557252192355425e-05,227.0
gobp,Defense Response To Virus (GO:0051607),126,28,10.6,2.63,1.593447603305342e-06,0.00011897742104679886,1344.0
kegg,Osteoclast differentiation,100,24,8.4,2.84,2.0778921081896094e-06,5.454653245213485e-05,227.0
kegg,Neutrophil extracellular trap formation,87,22,7.3,3.0,2.1626378505251703e-06,5.454653245213485e-05,227.0
gobp,Defense Response To Protozoan (GO:0042832),13,8,1.1,7.29,2.2041640891211834e-06,0.00015591560714625633,1344.0
