library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
hallmark,Allograft Rejection,145,51,9.8,5.2,6.248607150291333e-24,2.1870125026019665e-22,35.0
hallmark,Interferon Gamma Response,169,50,11.4,4.38,9.949423721119971e-20,1.741149151195995e-18,35.0
gobp,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),92,33,6.2,5.31,3.1176334983899255e-16,3.3202796757852705e-13,1065.0
gobp,Positive Regulation Of Cytokine Production (GO:0001819),219,50,14.8,3.38,1.1946129866566727e-14,6.361314153946782e-12,1065.0
gobp,B Cell Activation (GO:0042113),59,24,4.0,6.02,1.3807441394289936e-13,4.9016416949729276e-11,1065.0
kegg,Cytokine-cytokine receptor interaction,153,37,10.3,3.58,5.61637697129508e-12,1.1738227870006716e-09,209.0
gobp,Regulation Of T Cell Activation (GO:0050863),38,18,2.6,7.01,6.834394270025956e-12,1.8196574743944109e-09,1065.0
gobp,B Cell Receptor Signaling Pathway (GO:0050853),35,17,2.4,7.19,1.5860054920159387e-11,3.3781916979939493e-09,1065.0
gobp,T Cell Activation (GO:0042110),66,23,4.5,5.16,2.0014279910190758e-11,3.5525346840588596e-09,1065.0
kegg,Primary immunodeficiency,28,15,1.9,7.93,4.1008548986226685e-11,4.285393369060689e-09,209.0
gobp,T Cell Receptor Signaling Pathway (GO:0050852),64,21,4.3,4.86,5.428560185686853e-10,8.259166568223569e-08,1065.0
gobp,Defense Response To Symbiont (GO:0140546),94,25,6.4,3.94,1.867853436292557e-09,2.4865798870644667e-07,1065.0
hallmark,Interferon Alpha Response,82,23,5.5,4.15,2.6828392421066195e-09,3.1299791157910564e-08,35.0
gobp,Regulation Of B Cell Proliferation (GO:0030888),36,15,2.4,6.17,3.6474801333173246e-09,4.316184824425501e-07,1065.0
kegg,Systemic lupus erythematosus,23,12,1.6,7.72,5.721268027142793e-09,3.985816725576146e-07,209.0
gobp,Regulation Of Interleukin-6 Production (GO:0032675),80,22,5.4,4.07,8.887014779000166e-09,9.464670739635177e-07,1065.0
hallmark,Inflammatory Response,155,32,10.5,3.06,1.0391992027965071e-08,9.092993024469438e-08,35.0
gobp,Inflammatory Response (GO:0006954),149,31,10.1,3.08,1.4545564315999152e-08,1.4082750905944634e-06,1065.0
gobp,Defense Response To Virus (GO:0051607),126,28,8.5,3.29,1.600045258550383e-08,1.4200401669634652e-06,1065.0
kegg,Cell adhesion molecules,84,22,5.7,3.88,2.369889188399533e-08,1.238267100938756e-06,209.0
gobp,Positive Regulation Of Lymphocyte Activation (GO:0051251),26,12,1.8,6.83,3.3790704037148006e-08,2.7682384461202024e-06,1065.0
gobp,Positive Regulation Of Response To External Stimulus (GO:0032103),116,26,7.8,3.32,4.30581312655297e-08,3.1234389822629383e-06,1065.0
gobp,Positive Regulation Of B Cell Activation (GO:0050871),42,15,2.8,5.29,4.3992098341731524e-08,3.1234389822629383e-06,1065.0
gobp,Defense Response To Bacterium (GO:0042742),87,22,5.9,3.74,4.73202233229511e-08,3.149752364933933e-06,1065.0
hallmark,KRAS Signaling Up,165,31,11.2,2.78,1.7086147715944137e-07,1.1960303401160897e-06,35.0
gobp,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),46,15,3.1,4.83,1.765861812272825e-07,1.1062604882767992e-05,1065.0
gobp,Response To Type II Interferon (GO:0034341),53,16,3.6,4.47,2.3042855748294657e-07,1.3633689651074338e-05,1065.0
kegg,Herpes simplex virus 1 infection,176,32,11.9,2.69,2.3761873069998414e-07,9.932462943259337e-06,209.0
gobp,Cellular Response To Cytokine Stimulus (GO:0071345),204,35,13.8,2.54,2.852693049012671e-07,1.599009524841313e-05,1065.0
kegg,Chemokine signaling pathway,145,28,9.8,2.86,3.725848405205744e-07,1.0269348860749782e-05,209.0
kegg,Natural killer cell mediated cytotoxicity,68,18,4.6,3.92,3.7272181903984406e-07,1.0269348860749782e-05,209.0
gobp,Defense Response To Protozoan (GO:0042832),13,8,0.9,9.11,4.008815608069958e-07,2.1346943112972526e-05,1065.0
kegg,Viral protein interaction with cytokine and cytokine receptor,55,16,3.7,4.3,4.061651768890201e-07,1.0269348860749782e-05,209.0
kegg,B cell receptor signaling pathway,69,18,4.7,3.86,4.727882031520973e-07,1.0269348860749782e-05,209.0
kegg,Hematopoietic cell lineage,56,16,3.8,4.23,5.332982488706278e-07,1.0269348860749782e-05,209.0
kegg,Staphylococcus aureus infection,32,12,2.2,5.55,5.404920453026201e-07,1.0269348860749782e-05,209.0
gobp,Alpha-Beta T Cell Activation (GO:0046631),10,7,0.7,10.36,6.312599125369175e-07,3.201389556437225e-05,1065.0
gobp,Regulation Of Immune Response (GO:0050776),57,16,3.9,4.15,6.953566152817592e-07,3.366158160341243e-05,1065.0
kegg,Th17 cell differentiation,79,19,5.3,3.56,8.933052078335302e-07,1.499384850900484e-05,209.0
kegg,Intestinal immune network for IgA production,23,10,1.6,6.43,9.645152991313834e-07,1.499384850900484e-05,209.0
kegg,Neutrophil extracellular trap formation,87,20,5.9,3.4,1.0043726273974535e-06,1.499384850900484e-05,209.0
gobp,Regulation Of T Cell Proliferation (GO:0042129),46,14,3.1,4.5,1.1746995148644118e-06,5.439369492741733e-05,1065.0
gobp,Positive Regulation Of B Cell Proliferation (GO:0030890),24,10,1.6,6.17,1.5535140343689262e-06,6.89371852751211e-05,1065.0
kegg,Antigen processing and presentation,36,12,2.4,4.93,2.3275519564032916e-06,3.24305572592192e-05,209.0
gobp,B Cell Homeostasis (GO:0001782),8,6,0.5,11.1,2.3344697162886143e-06,9.944840991389497e-05,1065.0
kegg,Osteoclast differentiation,100,21,6.8,3.11,2.6088698951379765e-06,3.4078363005239815e-05,209.0
gobp,Positive Regulation Of T Cell Activation (GO:0050870),70,17,4.7,3.59,2.8863927746197e-06,0.00011823108865269157,1065.0
gobp,Cellular Response To Type II Interferon (GO:0071346),43,13,2.9,4.47,3.078009962836199e-06,0.00012141039297853896,1065.0
gobp,Regulation Of Tumor Necrosis Factor Production (GO:0032680),94,20,6.4,3.15,3.6341503608258734e-06,0.00013186744603732996,1065.0
gobp,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),26,10,1.8,5.69,3.71457594471352e-06,0.00013186744603732996,1065.0
gobp,Negative Regulation Of Lymphocyte Proliferation (GO:0050672),26,10,1.8,5.69,3.71457594471352e-06,0.00013186744603732996,1065.0
kegg,Inflammatory bowel disease,32,11,2.2,5.09,4.376317878571939e-06,5.380296686009031e-05,209.0
gobp,Lymphocyte Differentiation (GO:0030098),58,15,3.9,3.83,4.768327615676447e-06,0.00016381512615146505,1065.0
gobp,Regulation Of Phagocytosis (GO:0050764),45,13,3.0,4.28,5.412704321487903e-06,0.00017890775584089688,1065.0
gobp,Defense Response To Gram-negative Bacterium (GO:0050829),27,10,1.8,5.48,5.543620603520748e-06,0.00017890775584089688,1065.0
gobp,Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),17,8,1.1,6.96,5.929219621366344e-06,0.00018572408519868108,1065.0
kegg,PD-L1 expression and PD-1 checkpoint pathway in cancer,82,18,5.5,3.25,6.953238508301724e-06,8.073482490194779e-05,209.0
gobp,Leukocyte Tethering Or Rolling (GO:0050901),13,7,0.9,7.97,7.533382894820302e-06,0.0002231186018005297,1065.0
gobp,Regulation Of Type II Interferon Production (GO:0032649),53,14,3.6,3.91,7.5420372439615675e-06,0.0002231186018005297,1065.0
gobp,Positive Regulation Of T Cell Proliferation (GO:0042102),40,12,2.7,4.44,8.074015081409042e-06,0.0002324007043702873,1065.0
gobp,Positive Regulation Of Type II Interferon Production (GO:0032729),34,11,2.3,4.79,8.561382779914868e-06,0.0002337916066822906,1065.0
gobp,T Cell Differentiation (GO:0030217),34,11,2.3,4.79,8.561382779914868e-06,0.0002337916066822906,1065.0
gobp,Regulation Of T Cell Receptor Signaling Pathway (GO:0050856),23,9,1.6,5.79,9.747722912497835e-06,0.00025953312254525486,1065.0
gobp,Regulation Of Interleukin-12 Production (GO:0032655),35,11,2.4,4.65,1.1727836465312474e-05,0.00030463770330628747,1065.0
kegg,T cell receptor signaling pathway,85,18,5.7,3.13,1.182257871468994e-05,0.00013004836586158933,209.0
gobp,Positive Regulation Of Interleukin-6 Production (GO:0032755),55,14,3.7,3.77,1.2029156002784625e-05,0.00030502502721346727,1065.0
gobp,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),14,7,0.9,7.4,1.4186924160042281e-05,0.0003513738193126751,1065.0
kegg,Th1 and Th2 cell differentiation,63,15,4.3,3.52,1.423124767499217e-05,0.00014871653820366817,209.0
gobp,Positive Regulation Of Interleukin-12 Production (GO:0032735),24,9,1.6,5.55,1.4664248239375169e-05,0.0003549414630666944,1065.0
gobp,Cytokine-Mediated Signaling Pathway (GO:0019221),167,27,11.3,2.39,1.9645805143678822e-05,0.00046495072173373213,1065.0
gobp,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),65,15,4.4,3.41,2.127458964470138e-05,0.0004925529993827602,1065.0
kegg,Malaria,31,10,2.1,4.77,2.2729761709302128e-05,0.00022621524748781642,209.0
gobp,Negative Regulation Of T Cell Activation (GO:0050868),31,10,2.1,4.77,2.2729761709302128e-05,0.000515046728093761,1065.0
kegg,Leishmaniasis,51,13,3.4,3.77,2.4161838551950613e-05,0.00022953746624353082,209.0
gobp,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),15,7,1.0,6.91,2.504867234094906e-05,0.0005444252253696072,1065.0
gobp,Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),15,7,1.0,6.91,2.504867234094906e-05,0.0005444252253696072,1065.0
kegg,Allograft rejection,7,5,0.5,10.57,2.611986763210282e-05,0.00023735010152649955,209.0
gobp,Positive Regulation Of Defense Response (GO:0031349),90,18,6.1,2.96,2.6940054588795008e-05,0.0005738231627413336,1065.0
gobp,Defense Response To Gram-positive Bacterium (GO:0050830),32,10,2.2,4.62,3.107223617781588e-05,0.0006488614025367433,1065.0
gobp,Negative Regulation Of Cytokine Production (GO:0001818),126,22,8.5,2.58,3.4058527400715444e-05,0.0006975448400338836,1065.0
gobp,Regulation Of Cytokine Production Involved In Immune Response (GO:0002718),16,7,1.1,6.47,4.1935774823023746e-05,0.0008426717016324582,1065.0
kegg,Rheumatoid arthritis,61,14,4.1,3.4,4.2516773536026314e-05,0.0003654629740890843,209.0
gobp,Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),27,9,1.8,4.93,4.370388533096218e-05,0.000861937738471754,1065.0
kegg,Tuberculosis,128,22,8.6,2.54,4.37156667570675e-05,0.0003654629740890843,209.0
gobp,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),62,14,4.2,3.34,5.154696816834732e-05,0.0009981367472598165,1065.0
gobp,Regulation Of Interleukin-8 Production (GO:0032677),55,13,3.7,3.5,5.7198730855741985e-05,0.0010560562696317413,1065.0
gobp,Regulation Of Interleukin-1 Beta Production (GO:0032651),55,13,3.7,3.5,5.7198730855741985e-05,0.0010560562696317413,1065.0
gobp,Negative Regulation Of Interleukin-6 Production (GO:0032715),22,8,1.5,5.38,5.751292360435774e-05,0.0010560562696317413,1065.0
gobp,Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),12,6,0.8,7.4,6.0830306225515925e-05,0.0010620373136094173,1065.0
gobp,Negative Regulation Of Neuroinflammatory Response (GO:0150079),12,6,0.8,7.4,6.0830306225515925e-05,0.0010620373136094173,1065.0
gobp,Dendritic Cell Chemotaxis (GO:0002407),12,6,0.8,7.4,6.0830306225515925e-05,0.0010620373136094173,1065.0
gobp,Negative Regulation Of Leukocyte Degranulation (GO:0043301),8,5,0.5,9.25,6.576219749179317e-05,0.0011296248440122536,1065.0
kegg,Autoimmune thyroid disease,8,5,0.5,9.25,6.576219749179317e-05,0.0005090481213253619,209.0
kegg,Graft-versus-host disease,8,5,0.5,9.25,6.576219749179317e-05,0.0005090481213253619,209.0
gobp,Phagocytosis (GO:0006909),56,13,3.8,3.44,6.994064765205851e-05,0.001182329996022894,1065.0
gobp,Positive Regulation Of Chemotaxis (GO:0050921),35,10,2.4,4.23,7.341861457081958e-05,0.0012217316330925445,1065.0
gobp,Regulation Of Interleukin-2 Production (GO:0032663),36,10,2.4,4.11,9.55550195406608e-05,0.0015143377846462299,1065.0
gobp,Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050854),5,4,0.3,11.84,9.808556832494767e-05,0.0015143377846462299,1065.0
gobp,Regulation Of Interleukin-18 Production (GO:0032661),5,4,0.3,11.84,9.808556832494767e-05,0.0015143377846462299,1065.0
gobp,Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887),5,4,0.3,11.84,9.808556832494767e-05,0.0015143377846462299,1065.0
gobp,Neutrophil Chemotaxis (GO:0030593),43,11,2.9,3.79,9.811202548412193e-05,0.0015143377846462299,1065.0
gobp,Cellular Defense Response (GO:0006968),30,9,2.0,4.44,0.00011096735469341784,0.0016882890392641427,1065.0
gobp,Regulation Of Inflammatory Response (GO:0050727),175,26,11.8,2.2,0.00011985747254956709,0.0017978620882435061,1065.0
gobp,Positive Regulation Of Interleukin-1 Production (GO:0032732),44,11,3.0,3.7,0.0001229164840699534,0.0018181396602013943,1065.0
gobp,B Cell Proliferation (GO:0042100),9,5,0.6,8.22,0.00013971361130971774,0.002010743189795262,1065.0
gobp,Antifungal Innate Immune Response (GO:0061760),9,5,0.6,8.22,0.00013971361130971774,0.002010743189795262,1065.0
kegg,Leukocyte transendothelial migration,93,17,6.3,2.71,0.00014499726789690516,0.0010823010353733279,209.0
gobp,Regulation Of Cytokine Production (GO:0001817),111,19,7.5,2.53,0.00015028126999539257,0.0021339940339345745,1065.0
hallmark,Complement,158,24,10.7,2.25,0.00015267078248664749,0.0008905795645054437,35.0
gobp,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),38,10,2.6,3.89,0.0001570383663472349,0.00218511366977463,1065.0
gobp,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),85,16,5.7,2.79,0.0001579847441996681,0.00218511366977463,1065.0
kegg,Human immunodeficiency virus 1 infection,159,24,10.7,2.23,0.00016855864844660424,0.0012147847422531134,209.0
gobp,Immunoglobulin Mediated Immune Response (GO:0016064),14,6,0.9,6.34,0.00017575822777066467,0.002399775802253306,1065.0
gobp,Granulocyte Chemotaxis (GO:0071621),46,11,3.1,3.54,0.00018878967547289612,0.00254507600479284,1065.0
gobp,Pattern Recognition Receptor Signaling Pathway (GO:0002221),39,10,2.6,3.79,0.0001985378500710777,0.0026430351290712218,1065.0
kegg,Phagosome,105,18,7.1,2.54,0.00021801560572190458,0.0015188420531959354,209.0
gobp,Toll-Like Receptor Signaling Pathway (GO:0002224),26,8,1.8,4.55,0.00022043164026187132,0.002898267862702382,1065.0
gobp,Regulation Of Peptidase Activity (GO:0052547),20,7,1.4,5.18,0.00022363595899659331,0.0029045401991630716,1065.0
