gene,IRI12m,IRI14d,IRI24h,IRI28d,IRI2h,IRI48h,IRI4h,IRI6mN,IRI72h,IRI7d,NORM15m,NORM3m,NORM9m,SHAM12m,SHAM24h,SHAM4h,note
CD3D,2.13,1.05,0.04,1.27,0.12,0.03,0.17,2.9,0.19,0.65,0.82,0.3,0.55,0.35,0.15,0.27,
CD3E,3.39,1.36,0.12,1.27,0.18,0.05,0.25,4.24,0.19,0.57,1.09,0.35,0.86,0.56,0.12,0.24,
CD8A,1.73,0.83,0.3,1.05,0.45,0.15,0.23,1.71,0.26,0.66,0.85,0.39,0.65,0.41,0.67,0.28,
CD2,2.01,0.64,0.04,0.92,0.1,0.01,0.19,2.12,0.06,0.28,0.62,0.17,0.27,0.26,0.09,0.23,
LCK,2.34,1.8,0.44,1.88,0.45,0.47,0.35,2.72,0.6,1.19,1.17,0.42,0.76,0.52,0.28,0.41,
IL7R,1.98,0.63,0.1,1.93,0.06,0.07,0.25,2.03,0.11,0.45,0.68,0.13,0.23,0.26,0.07,0.2,
MS4A1,3.57,0.05,0.04,0.09,0.06,0.0,0.05,2.25,0.01,0.04,0.3,0.1,0.18,0.06,0.05,0.03,
CD79A,10.87,0.17,0.23,0.34,0.33,0.03,0.28,7.6,0.1,0.19,1.05,0.2,0.49,0.65,0.27,0.12,
CD79B,7.29,1.45,0.43,1.19,0.39,0.59,0.43,6.8,0.66,1.49,1.37,0.91,1.48,0.59,0.43,0.36,
IGHM,582.21,7.1,1.09,7.65,0.98,0.34,0.76,256.32,1.16,5.1,38.13,1.58,18.45,4.61,1.37,0.77,
MZB1,18.87,0.73,0.59,1.12,0.78,1.51,0.44,15.46,0.83,0.89,3.16,1.11,1.59,2.53,1.39,1.26,
JCHAIN,,,,,,,,,,,,,,,,,未検出
CCL19,4.42,0.84,0.2,1.04,0.83,0.45,1.85,7.5,0.62,1.18,2.32,0.64,2.31,0.75,0.66,0.91,
PTPRC,8.44,3.48,2.19,9.47,0.81,1.87,1.56,5.46,2.8,6.34,3.31,1.6,2.45,2.93,1.37,1.6,
