dataset,term,z,mean_lfc,n_genes
cat_rna_ctx_late,'De Novo' Post-Translational Protein Folding (GO:0051084),-1.1203621270953474,-0.11609032158062299,25
cat_rna_ctx_late,2-Oxoglutarate Metabolic Process (GO:0006103),-4.824849510650432,-1.0273273536350696,14
cat_rna_ctx_late,3'-UTR-mediated mRNA Destabilization (GO:0061158),2.257133391306334,0.4766118673912688,14
cat_rna_ctx_late,3'-UTR-mediated mRNA Stabilization (GO:0070935),0.848348478859417,0.1266891235011679,11
cat_rna_ctx_late,AMP Metabolic Process (GO:0046033),-1.4510724881452466,-0.43233924354009456,10
cat_rna_ctx_late,ATP Biosynthetic Process (GO:0006754),-4.379031184663923,-0.4144492360434515,22
cat_rna_ctx_late,ATP Metabolic Process (GO:0046034),-3.308709469107727,-0.307291694624351,26
cat_rna_ctx_late,Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),0.8505273172179406,0.1512698733430618,14
cat_rna_ctx_late,B Cell Activation (GO:0042113),5.64663131676221,0.8947053963309959,66
cat_rna_ctx_late,B Cell Activation Involved In Immune Response (GO:0002312),0.8187705604205793,0.453689758596221,11
cat_rna_ctx_late,B Cell Differentiation (GO:0030183),4.394221609211423,0.8065724837046983,45
cat_rna_ctx_late,B Cell Mediated Immunity (GO:0019724),3.96250577595881,1.6333269804741934,12
cat_rna_ctx_late,B Cell Proliferation (GO:0042100),3.4331413979085075,1.4036908456056323,11
cat_rna_ctx_late,B Cell Receptor Signaling Pathway (GO:0050853),5.671637720430662,1.3208446232073585,31
cat_rna_ctx_late,BMP Signaling Pathway (GO:0030509),2.5747068279591763,0.40131672461462625,46
cat_rna_ctx_late,C-terminal Protein Amino Acid Modification (GO:0018410),-1.388161586431669,-0.27294207165931733,10
cat_rna_ctx_late,C4-dicarboxylate Transport (GO:0015740),-1.5688677282503247,-0.09466050474995487,10
cat_rna_ctx_late,COPII Vesicle Coating (GO:0048208),-0.38585378723754615,-0.03084156221107184,18
cat_rna_ctx_late,COPII-coated Vesicle Budding (GO:0090114),-0.618104403586631,-0.01755997487868765,35
cat_rna_ctx_late,COPII-coated Vesicle Cargo Loading (GO:0090110),-0.16568079018307433,0.0481583754952386,14
cat_rna_ctx_late,DNA Alkylation (GO:0006305),1.2175185179001105,0.12668611455331877,14
cat_rna_ctx_late,DNA Biosynthetic Process (GO:0071897),0.32225131699339005,0.10571999810908063,16
cat_rna_ctx_late,DNA Catabolic Process (GO:0006308),0.6657688198873576,0.32546023566890236,16
cat_rna_ctx_late,DNA Conformation Change (GO:0071103),0.3833753274572534,0.21508620696326322,11
cat_rna_ctx_late,DNA Damage Checkpoint Signaling (GO:0000077),-0.3992204221355637,0.012663798206434658,32
cat_rna_ctx_late,DNA Damage Response (GO:0006974),2.44588818671598,0.113159867623675,354
cat_rna_ctx_late,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.20439562983673096,0.1243861780047229,34
cat_rna_ctx_late,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.3957111258166131,0.10660554084840479,16
cat_rna_ctx_late,DNA Double-Strand Break Processing (GO:0000729),0.411255269661004,0.08443375436331314,13
cat_rna_ctx_late,DNA Duplex Unwinding (GO:0032508),2.484689983850646,0.3056482831561055,39
cat_rna_ctx_late,DNA Geometric Change (GO:0032392),0.48788698924021334,0.07876931991219278,27
cat_rna_ctx_late,DNA Integrity Checkpoint Signaling (GO:0031570),0.4505534941157703,0.12123474335641597,36
cat_rna_ctx_late,DNA Metabolic Process (GO:0006259),2.512556728142612,0.12214172353054746,267
cat_rna_ctx_late,DNA Methylation (GO:0006306),0.8539554972749935,0.06960670874541536,18
cat_rna_ctx_late,DNA Modification (GO:0006304),-0.7576936234575855,-0.10575523107397339,16
cat_rna_ctx_late,DNA Recombination (GO:0006310),0.5323406535111691,0.07865532095830335,36
cat_rna_ctx_late,DNA Repair (GO:0006281),1.798247693699039,0.07129470864380301,260
cat_rna_ctx_late,DNA Repair-Dependent Chromatin Remodeling (GO:0140861),-0.7381135077091193,-0.05128437900383061,15
cat_rna_ctx_late,DNA Replication (GO:0006260),2.8108665400521327,0.21766411057147123,68
cat_rna_ctx_late,DNA Replication Checkpoint Signaling (GO:0000076),2.4414540343133977,0.43903211867090647,14
cat_rna_ctx_late,DNA Replication Initiation (GO:0006270),1.1074083751322672,0.19906779948503828,19
cat_rna_ctx_late,DNA Strand Elongation (GO:0022616),1.719057363522344,0.27094923364376705,12
cat_rna_ctx_late,DNA Strand Elongation Involved In DNA Replication (GO:0006271),1.8967588619710862,0.3153843822711832,12
cat_rna_ctx_late,DNA Synthesis Involved In DNA Repair (GO:0000731),0.9368966474339154,0.18140488290996007,24
cat_rna_ctx_late,DNA Unwinding Involved In DNA Replication (GO:0006268),3.1699712922499863,0.5519455631073082,20
cat_rna_ctx_late,DNA-templated DNA Replication (GO:0006261),2.8197359974232454,0.24085941017752524,65
cat_rna_ctx_late,DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005),1.6316773501677655,0.18387156112442837,35
cat_rna_ctx_late,DNA-templated Transcription (GO:0006351),-0.4246125141725684,0.029564921381295357,178
cat_rna_ctx_late,DNA-templated Transcription Elongation (GO:0006354),-0.4411423981116945,-0.05035865651324789,24
cat_rna_ctx_late,DNA-templated Transcription Initiation (GO:0006352),-0.09979960544779054,0.012688019798722753,56
cat_rna_ctx_late,DNA-templated Transcription Termination (GO:0006353),0.3531613800766874,0.028991944293778493,13
cat_rna_ctx_late,ERAD Pathway (GO:0036503),-1.4746078452877638,-0.054266648605552,84
cat_rna_ctx_late,ERBB Signaling Pathway (GO:0038127),-0.6206536638378202,-0.028157957704563138,44
cat_rna_ctx_late,ERBB2 Signaling Pathway (GO:0038128),-0.2887121992136056,-0.004948220555664088,11
cat_rna_ctx_late,ERK1 And ERK2 Cascade (GO:0070371),2.444148976998297,0.4771962721614884,22
cat_rna_ctx_late,Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431),3.0962947432119696,0.7590006589950139,21
cat_rna_ctx_late,Fc Receptor Signaling Pathway (GO:0038093),0.904636107970589,0.46918806078392633,25
cat_rna_ctx_late,Fc-epsilon Receptor Signaling Pathway (GO:0038095),0.7012639410436564,0.32551785556355806,21
cat_rna_ctx_late,Fc-gamma Receptor Signaling Pathway (GO:0038094),3.7769561449902644,0.9718961419830308,23
cat_rna_ctx_late,Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096),2.6923356272934305,0.7320302272191992,19
cat_rna_ctx_late,G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),1.1662593924293119,0.2826487437988131,11
cat_rna_ctx_late,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",1.8924226542710083,0.7808367587479828,19
cat_rna_ctx_late,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),2.031338029869954,0.29068177020072233,55
cat_rna_ctx_late,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),1.8408622941824522,0.3735011322165195,35
cat_rna_ctx_late,GPI Anchor Biosynthetic Process (GO:0006506),-0.23662342466368463,0.0016443292432122664,29
cat_rna_ctx_late,GPI Anchor Metabolic Process (GO:0006505),-0.35768862463544593,-0.004631810435703248,26
cat_rna_ctx_late,GTP Metabolic Process (GO:0046039),-0.7266486236715297,-0.15433388993073374,12
cat_rna_ctx_late,Golgi Organization (GO:0007030),-0.4738486588773758,0.013328442054565029,108
cat_rna_ctx_late,Golgi To Endosome Transport (GO:0006895),-0.21261655073659644,0.011834863576513184,14
