label,null_type,k,n,rho,null_mean,null_sd,z,p_perm
RNA (cortex late x PodTRECK 2W),quantile-matched (k=5),5,9000,0.489569221451472,0.024407224871480147,0.010234753001618802,45.44926453099733,0.000999000999000999
RNA (cortex late x PodTRECK 2W),quantile-matched (k=10),10,9000,0.489569221451472,0.02803168214101666,0.01014467330325481,45.49555471267626,0.000999000999000999
RNA (cortex late x PodTRECK 2W),quantile-matched (k=20),20,9000,0.489569221451472,0.03000576838211237,0.01004946236141948,45.73015317054699,0.000999000999000999
RNA (cortex late x PodTRECK 2W),plain shuffle (no matching),0,9000,0.489569221451472,0.00021252425011346817,0.010756011380773292,45.49611188363922,0.000999000999000999
Protein (cortex late x Day21),quantile-matched (k=5),5,2184,0.5995627382801783,0.01033679746892138,0.021523133259224333,27.376401647224288,0.000999000999000999
Protein (cortex late x Day21),quantile-matched (k=10),10,2184,0.5995627382801783,0.009530813027897007,0.021849450418536906,27.00442866753768,0.000999000999000999
Protein (cortex late x Day21),quantile-matched (k=20),20,2184,0.5995627382801783,0.012566847881398509,0.02197606968148784,26.710685709795154,0.000999000999000999
Protein (cortex late x Day21),plain shuffle (no matching),0,2184,0.5995627382801783,-0.0008556392978494022,0.021757418604994635,27.59603004743382,0.000999000999000999
RNA (medulla late x PodTRECK 2W),quantile-matched (k=5),5,9017,0.388898540103653,0.006041380156376506,0.010291280355022015,37.20209213428405,0.000999000999000999
RNA (medulla late x PodTRECK 2W),quantile-matched (k=10),10,9017,0.388898540103653,0.0060382376344100385,0.010070797536867376,38.01688009987892,0.000999000999000999
RNA (medulla late x PodTRECK 2W),quantile-matched (k=20),20,9017,0.388898540103653,0.0076936877734282115,0.010449078917809931,36.48214884093566,0.000999000999000999
RNA (medulla late x PodTRECK 2W),plain shuffle (no matching),0,9017,0.388898540103653,-0.00016727298305405387,0.010165070308928515,38.274778359867334,0.000999000999000999
