,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
A1CF,-2.0326007296153787,-2.8992274219730554,0.014342308166063631,1.5999196714043669,1.3405041300314,11.100032182358945,5,6,0.4709727171815733
A2M,0.4326885019291433,0.8885411134534082,0.39309756153462283,0.7442646638954955,0.6467318110809452,11.100032182358945,5,6,0.8645810153922814
A2ML1,0.4607489558782989,0.6716422969588881,0.5155464518209985,1.5295609380584574,1.283456673797934,11.100032182358945,5,6,0.9047274218543548
A3GALT2,-0.8827288370689308,-3.2853865547813204,0.007181075407346834,0.18945065615062823,0.19688391986135065,11.100032182358945,5,6,0.4593041911210709
A4GALT,0.7845504539662995,2.6582293967725685,0.022104411083819924,0.23962612771170327,0.2375666166887852,11.100032182358945,5,6,0.5032268673891481
AAAS,0.32822687371399883,1.9120698694050735,0.08201170163823081,0.045744114204819206,0.08036543989083399,11.100032182358945,5,6,0.6332342936510542
AACS,-0.15405616053229743,-0.9498675368838001,0.36240303076423697,0.03510588733076089,0.07173987554168833,11.100032182358945,5,6,0.8498085108763169
AADAT,-0.8123613105638663,-1.9827714489746429,0.07268881435299178,0.5112557989668248,0.4578062521360907,11.100032182358945,5,6,0.6297866131493393
AAGAB,0.01042057581157696,0.07016270629274371,0.9453122715024191,0.020822549415711485,0.06015882432277866,11.100032182358945,5,6,0.9939955459496144
AAK1,-0.11046786786231166,-0.3684437747657446,0.7194728017468679,0.24899721373354206,0.24516477251490873,11.100032182358945,5,6,0.9510556058223426
AAMDC,-0.44955265275338885,-2.015010566418745,0.06877354849106623,0.11405008788025091,0.1357485012170796,11.100032182358945,5,6,0.6245723676243871
AAMP,-0.05704930719642043,-0.3790881349707412,0.7117739266392167,0.022804643517041714,0.06176592298870171,11.100032182358945,5,6,0.9491732371789424
AAR2,-0.09382827894200663,-0.6393374648927054,0.5355746781810038,0.01907296439071232,0.058740245982977286,11.100032182358945,5,6,0.9121691121891069
AARS1,0.013936107520126306,0.10215464705654442,0.9204560103126483,0.009226838170512088,0.05075692354517064,11.100032182358945,5,6,0.9885183720280071
AARS2,-0.23166852948901617,-1.2986018540918844,0.2204108473256179,0.05367784937882655,0.08679817948951249,11.100032182358945,5,6,0.7743178599630717
AASDH,0.03149331279737977,0.18148547096208048,0.859258128549913,0.0479156800846661,0.08212616387771424,11.100032182358945,5,6,0.9792480636921485
AASDHPPT,-0.15811451454907477,-0.8756815309089074,0.39975609752744845,0.05628977252362763,0.08891594887225081,11.100032182358945,5,6,0.867336002456424
AASS,-1.351526622249362,-2.56771031375048,0.025992551609956095,0.878522470303967,0.7555891763412552,11.100032182358945,5,6,0.5062563884009034
AATF,0.030816212925178554,0.210341494643874,0.8372124765534464,0.018823412329945152,0.05853790706089074,11.100032182358945,5,6,0.9746442084475873
AATK,-1.0087686485859635,-2.574012080156205,0.02570133422884243,0.46324772880176357,0.418880902696813,11.100032182358945,5,6,0.5050337949790259
ABAT,-1.3832606743652196,-2.803594786063267,0.017029808915608995,0.7654453751291079,0.6639053109384925,11.100032182358945,5,6,0.49149323083798163
ABCA1,0.9300700145438592,2.5205045050789674,0.028279450153186662,0.4046276636464115,0.37135125794167057,11.100032182358945,5,6,0.5228318972975315
ABCA10,0.0791272806607679,0.083253426446695,0.9351324652866775,2.9851215912753424,2.463637565504861,11.100032182358945,5,6,0.9911522453797703
ABCA2,0.21324597308538085,0.9416938600111787,0.3663928306753437,0.11911191366055772,0.1398526723829221,11.100032182358945,5,6,0.8521472151477558
ABCA3,-0.13308325171773383,-0.3406801509460876,0.7397050769862805,0.4599172076455611,0.4161804879670737,11.100032182358945,5,6,0.9554022159652955
ABCA4,-0.20237269493387888,-0.5515146382568004,0.5922099688564169,0.3995240729599241,0.3672132234365647,11.100032182358945,5,6,0.924383648959256
ABCA5,-0.04051415137602188,-0.17045205563199778,0.8677218221360267,0.13665519794521241,0.15407691569753365,11.100032182358945,5,6,0.9798863919282544
ABCA6,0.1853353269143181,0.4895871595153253,0.6339578542782015,0.42864824742770824,0.39082735048627143,11.100032182358945,5,6,0.935422199823328
ABCA8,1.3746861242786812,3.2663225347048988,0.007429496595364148,0.5424247538885855,0.48307830447677425,11.100032182358945,5,6,0.4593041911210709
ABCA9,0.5900712341722718,2.1418601777773545,0.055207731910898984,0.20191830194435065,0.20699279254748873,11.100032182358945,5,6,0.5973296228060448
ABCB1,0.7973145664168002,1.4157436146675244,0.18429238470054074,1.0134693524764158,0.8650052500605958,11.100032182358945,5,6,0.7423210387307613
ABCB10,-0.03100082426689088,-0.19603359374549362,0.8481266138560949,0.030745775626415964,0.06820466008515395,11.100032182358945,5,6,0.9772471754826656
ABCB6,0.13123534200015552,0.43611198867943696,0.6711161880853647,0.25121660580656424,0.24696427438382626,11.100032182358945,5,6,0.9428790406124898
ABCB7,-0.4007083479088278,-1.2886303804301535,0.22373723943815188,0.27187123944756636,0.2637112260786558,11.100032182358945,5,6,0.7743178599630717
ABCB8,0.02024540318900936,0.12199428744983401,0.9050841512802034,0.039263384165610586,0.07511080914790923,11.100032182358945,5,6,0.984765036720932
ABCB9,-0.19339804025968466,-1.1360587552611319,0.27986525523623423,0.0441058515527692,0.0790371226728098,11.100032182358945,5,6,0.8073176272504868
ABCC1,0.13026284579566116,0.5475668731164609,0.5948281085482399,0.13698706162500385,0.15434599357668338,11.100032182358945,5,6,0.9248659253227722
