,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
A1CF,0.18779474060473,0.13142305171105015,0.8977934533055734,6.780526445373098,5.568680804708866,11.095366218390911,5,6,0.9560072576023557
A2M,-0.15044970834176574,-0.18977836055130043,0.8529101565072482,2.028439163393819,1.7140279076352276,11.095366218390911,5,6,0.9360867294163332
A2ML1,0.09470454364543324,0.325324021416003,0.7509881520901559,0.20028317507419827,0.23112021707116437,11.095366218390911,5,6,0.8903951321561813
A3GALT2,0.2507409632413755,0.6127487565733347,0.5523944589937044,0.4783603966422461,0.4566823972508628,11.095366218390911,5,6,0.7789915050372278
A4GALT,1.1910598337874285,2.8442662497805493,0.01583626702492149,0.504949679401194,0.47825027884398025,11.095366218390911,5,6,0.33880851926098404
AAAS,0.1611091474614179,0.9373796659188409,0.36851945389921803,0.014673979094162466,0.08056342327634164,11.095366218390911,5,6,0.6562765087065573
AACS,0.2725421441725482,1.1390205337380257,0.27868932110394995,0.10785443372998754,0.15614669607831375,11.095366218390911,5,6,0.5948555970935022
AADAT,0.4156338084713731,0.5848145929684863,0.5703734228657249,1.613648518276523,1.3775707116692295,11.095366218390911,5,6,0.7906998408232611
AAGAB,0.2108076294714598,1.0559111207933682,0.3134583502723237,0.04936649986331219,0.10870424177450101,11.095366218390911,5,6,0.6195010265294193
AAK1,-1.1776924164142186,-2.3049287294358445,0.041479616939414723,0.7931152575330996,0.7119956237149194,11.095366218390911,5,6,0.3728898962310105
AAMDC,0.4235664219697006,1.4904127695654925,0.16398565875803253,0.18690879086621737,0.2202715929245984,11.095366218390911,5,6,0.5002617709476053
AAMP,0.41050540858926077,1.8002022608925983,0.09904700984824974,0.09018668280019548,0.1418155099562581,11.095366218390911,5,6,0.43018849897645994
AAR2,0.09165100348148592,0.47144565529168464,0.6464569090867391,0.04242268720755781,0.10307177208655119,11.095366218390911,5,6,0.8376291510400722
AARS1,0.21892166208732444,1.0884023388948356,0.2994940353838027,0.05138125442590268,0.11033850879249801,11.095366218390911,5,6,0.6106756285927155
AARS2,-0.08703132319026885,-0.42396392877680367,0.6796950876460991,0.05703798419826763,0.11492696193133164,11.095366218390911,5,6,0.8551338747990846
AASDH,-0.4064871728796078,-1.6273689327153733,0.13169766545189063,0.12512678785403497,0.1701571563061845,11.095366218390911,5,6,0.4672438079438969
AASDHPPT,0.41023563727174395,1.9814887048012169,0.07285964528082474,0.059469594246791053,0.11689936103974834,11.095366218390911,5,6,0.41017598948445355
AASS,-1.249198593499655,-3.619733990224794,0.003973802562236035,0.3157938199959048,0.32481661102814763,11.095366218390911,5,6,0.3145262309600574
AATF,0.4649863466330286,2.302939992902175,0.04162545898062857,0.05242404401156121,0.11118436697204785,11.095366218390911,5,6,0.3728898962310105
AATK,0.5159816578205483,1.0751315306163036,0.30513963095001156,0.6897676096730467,0.6281652379094685,11.095366218390911,5,6,0.6125296770968683
ABAT,-0.28812605338637987,-0.9657696565972875,0.35473832526468574,0.2146118208841719,0.24274288997366048,11.095366218390911,5,6,0.648339207254458
ABCA1,-0.7576518448790752,-1.1439871724290243,0.2767096749809236,1.3901254908406184,1.1962601350441266,11.095366218390911,5,6,0.5929906290642325
ABCA10,-1.6231880053230738,-1.6033452296654462,0.13692250994231164,3.361322084098392,2.7951951309809075,11.095366218390911,5,6,0.47296992976077473
ABCA2,0.11575399122795194,0.5204738000426498,0.6129611387072533,0.08165760053233094,0.13489714972371836,11.095366218390911,5,6,0.8170914192499708
ABCA3,1.0930930363455884,1.7204660583774427,0.11307906004335082,1.272572301101755,1.1009069320199545,11.095366218390911,5,6,0.44870519997342484
ABCA4,-0.17239567173159864,-0.45245828259706605,0.6596574434795046,0.40347022697425716,0.3959352787019766,11.095366218390911,5,6,0.8445199177858729
ABCA5,-1.0000735187556287,-3.622192261237196,0.003956667920584049,0.1716538756736575,0.20789757713902932,11.095366218390911,5,6,0.3145262309600574
ABCA6,-0.7594663657367917,-1.72431528484964,0.11236258210749456,0.5675999202055579,0.5290689860539031,11.095366218390911,5,6,0.4485654282597189
ABCA8,0.43455879077591675,0.8095896914816972,0.4351947807471409,0.8840662644509957,0.7857704812680011,11.095366218390911,5,6,0.70416054514851
ABCA9,-0.2168132860358316,-0.41526914045536556,0.6858620592558979,0.8318701475163939,0.7434316306915536,11.095366218390911,5,6,0.859403286184415
ABCB1,-0.2390904940930101,-0.4427898219661511,0.6664263147519587,0.8956495210275204,0.7951662332546211,11.095366218390911,5,6,0.8484230836996399
ABCB10,-0.3839522345378201,-1.569782495318521,0.1445263446824398,0.11649607542886287,0.1631563588293245,11.095366218390911,5,6,0.4814705834411832
ABCB6,0.9823132377927473,2.5780617001313972,0.02552341708917446,0.40349017586960173,0.39595146023709377,11.095366218390911,5,6,0.3571177918567099
ABCB7,-0.44964709814856807,-1.5327607775782432,0.1533386749080209,0.20470326845350018,0.23470557330282973,11.095366218390911,5,6,0.49011480448100003
ABCB8,0.14212446305694648,0.7397492220921458,0.47481350834503844,0.03946092108709599,0.10066933718179126,11.095366218390911,5,6,0.7309954605694209
ABCB9,0.1869915294369351,0.6552006145958953,0.5256898016917033,0.1892103546581875,0.22213850508594707,11.095366218390911,5,6,0.7628938295087535
ABCC1,0.019454073374667757,0.08785528329694571,0.9315573206924401,0.08021304433182722,0.13372539878295317,11.095366218390911,5,6,0.9723622861085195
ABCC10,-0.14776272082888653,-0.6278599894213284,0.5428021048239688,0.10157627038144404,0.15105416744746644,11.095366218390911,5,6,0.7735219446095302
ABCC11,1.5280370765408835,1.2229963452478487,0.2466719882664951,5.163974342173108,4.25741548525645,11.095366218390911,5,6,0.5730338048903026
ABCC2,-0.6154661242127721,-1.9244377811541389,0.08031587886697622,0.25925080250059174,0.2789517745332223,11.095366218390911,5,6,0.418165621819817
ABCC4,-0.8685967915906998,-2.0296918818390814,0.06706728930786783,0.5311031845016105,0.4994646796371327,11.095366218390911,5,6,0.39947903702210147
ABCC5,-0.28759387705532546,-1.1032874521695248,0.29325656395378996,0.14381360959047684,0.1853149611336819,11.095366218390911,5,6,0.6066697742078809
ABCC6,-0.6819720504169293,-2.575640992129051,0.025634125901859126,0.1510705185594969,0.19120139871813255,11.095366218390911,5,6,0.3571177918567099
ABCC9,-1.3893752006989724,-4.783516863379817,0.0005546611329203297,0.19899696712860712,0.2300769102273458,11.095366218390911,5,6,0.26298094618267764
ABCD1,0.28101164679236934,1.1585415847947602,0.27097135275710876,0.11316610953872888,0.1604552588907276,11.095366218390911,5,6,0.5885430326417024
ABCD3,0.32912014946039836,0.7428623761889743,0.47300048942398587,0.5753174047835868,0.5353290192817503,11.095366218390911,5,6,0.7300389786363272
ABCD4,0.5720070645674618,3.0809075406443966,0.010356422261086833,0.03125115967632105,0.09400999388093625,11.095366218390911,5,6,0.3315692785475743
ABCE1,-0.13910649342377024,-0.45821461263065516,0.6556424325859873,0.22522754597390854,0.2513538293448429,11.095366218390911,5,6,0.8432475038632167
ABCF1,-0.03159532324683134,-0.16287780266642826,0.8735433119529584,0.04187108314812,0.10262433876734162,11.095366218390911,5,6,0.9454595501154003
ABCF2,0.0072635215503460415,0.03890274279222364,0.9696590962618055,0.032563106980912006,0.0950741791911739,11.095366218390911,5,6,0.9888952160377151
ABCF3,0.10126252463518703,0.5214269894560118,0.6123186327016568,0.04215943177279562,0.10285823259031243,11.095366218390911,5,6,0.8169806884031364
ABCG1,0.05292946054509606,0.07761843846132233,0.9395136332398618,1.478835717839295,1.268217385239684,11.095366218390911,5,6,0.9753259413542237
ABCG2,-0.09507925463916722,-0.304170045887382,0.7666270248632947,0.24387733547825807,0.26648159549833245,11.095366218390911,5,6,0.898902419816776
ABCG4,-0.3546895767997682,-0.7152935327925204,0.4892064070361968,0.7420691679165731,0.6705896171437037,11.095366218390911,5,6,0.740281660724598
ABHD10,-0.29525755064108994,-1.3591881932848007,0.2010718148258544,0.07401503189891062,0.12869788452174846,11.095366218390911,5,6,0.5350993181804107
ABHD11,0.7117236321987077,2.316002731775028,0.040676470910220815,0.23287481966802487,0.2575569110541214,11.095366218390911,5,6,0.3728898962310105
ABHD12,0.014042541452946367,0.04761211327327371,0.9628715929797287,0.20782584865026496,0.23723845245415515,11.095366218390911,5,6,0.9858236472627628
ABHD13,-0.3396304515315616,-1.34617078557114,0.20510621320138211,0.12936713403054922,0.17359671069650034,11.095366218390911,5,6,0.5384374706013284
ABHD14B,0.47040174786288347,1.6918902065163464,0.1185272909210706,0.17526283333897325,0.2108249810974497,11.095366218390911,5,6,0.45311272523001606
ABHD15,0.7639729578340315,1.262064975075084,0.23280955868658001,1.1473809588529267,0.9993580459298425,11.095366218390911,5,6,0.5599467997995996
ABHD16A,0.13774370952052095,0.7024092565407425,0.4968958919673232,0.0446516026054869,0.10487975554437624,11.095366218390911,5,6,0.7458740943466055
ABHD17A,0.4506984025936811,2.0168894610677897,0.06856223505558794,0.0832480458824224,0.13618723856522924,11.095366218390911,5,6,0.4012033160205591
ABHD17B,-0.13348249921353883,-0.5168061120847437,0.6154365379792799,0.13964967011461007,0.18193738399515677,11.095366218390911,5,6,0.8185345773506121
ABHD17C,0.3298942777213414,1.2809983385303507,0.22632146213385765,0.13834120523029111,0.18087602344814288,11.095366218390911,5,6,0.5534997404393948
ABHD18,-0.028184367981416436,-0.09868941139090279,0.923145291113788,0.18957646550462823,0.22243547569089248,11.095366218390911,5,6,0.9684151945163164
ABHD2,1.1144483119410191,2.0706632543552,0.0624858112954054,0.8892858449440999,0.7900043410174948,11.095366218390911,5,6,0.39807968154531315
ABHD3,0.26295906641620714,0.6973079229853165,0.4999606233627376,0.3934935980536036,0.38784274182500056,11.095366218390911,5,6,0.747770290058888
ABHD4,0.20718620646680552,0.9962292878907297,0.3403692345217101,0.06077612226814382,0.11795915050146837,11.095366218390911,5,6,0.6389714218279718
ABHD5,1.0497936574060835,1.6225554149812247,0.1327302440654733,1.3228153716228381,1.1416615701084416,11.095366218390911,5,6,0.4687335721466426
ABHD6,-0.46838720613906215,-2.1110139693373933,0.05826275638361343,0.08087583042549575,0.13426301734601867,11.095366218390911,5,6,0.39138716503719234
ABHD8,0.7334939805619092,2.2134207636998284,0.048725001165998386,0.28458039182224093,0.29949785651084837,11.095366218390911,5,6,0.382573299823475
ABI1,-0.22369708906731667,-0.7844686927114195,0.44918976832561064,0.18875303710626853,0.22176755221370667,11.095366218390911,5,6,0.7139884414613028
ABI2,-0.5466672841277536,-2.174057968564442,0.05220069676341626,0.1279384193856501,0.17243780962455746,11.095366218390911,5,6,0.38553952478933273
ABI3,0.4472100919090538,1.0805504738615617,0.3028246776276796,0.49127206698448106,0.46715569130829565,11.095366218390911,5,6,0.6108024031524132
ABI3BP,-0.4220075750056207,-0.3524532703027424,0.7311021777576641,4.7355544248169,3.9099029128625076,11.095366218390911,5,6,0.8809387803376829
ABITRAM,0.2549122702298501,1.2613209864107942,0.23306755025473486,0.052681537526615495,0.11139323269039135,11.095366218390911,5,6,0.5601090342779746
ABL1,-0.13929453653357537,-0.6562590467244738,0.5250337033586812,0.06683040239674828,0.1228700763857464,11.095366218390911,5,6,0.7622527943131502
ABL2,-1.245342579356456,-3.1854682562347554,0.008588346156853974,0.4292304683322773,0.41683068383406635,11.095366218390911,5,6,0.3315692785475743
ABLIM1,-0.19656838549422595,-0.5659257924949127,0.5827086912398224,0.3209895068095166,0.3290310894331054,11.095366218390911,5,6,0.7970911319389221
ABLIM2,0.22668573301688966,0.7666287171154912,0.4593033545698154,0.209325864280949,0.23845518928018075,11.095366218390911,5,6,0.7219378361102713
ABLIM3,0.7013058889071813,1.0658516558761508,0.30913498745453755,1.3709776913137868,1.1807284083440344,11.095366218390911,5,6,0.6156207957566742
ABR,-0.18021722691423658,-0.8852197313875929,0.3948176829566866,0.054707484648591306,0.11303657854657045,11.095366218390911,5,6,0.6767018152852204
ABRACL,1.1324506495849684,2.1900181035820268,0.05076387934202718,0.8143770261420604,0.7292420952341262,11.095366218390911,5,6,0.38553952478933273
ABRAXAS1,-0.41843606470067485,-1.2447779198143567,0.23886400399041205,0.2952826604031242,0.3081789955856718,11.095366218390911,5,6,0.5653069028957154
ABRAXAS2,-0.06311525907564963,-0.34273379884702554,0.7382038852457481,0.02937430568574694,0.09248758483352973,11.095366218390911,5,6,0.8849317004304963
ABT1,-0.003958917500518133,-0.019850156337990664,0.9845153806931273,0.04909126163513173,0.10848098244219359,11.095366218390911,5,6,0.9943246798204896
