feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
A1CF,-0.9354103257713655,0.12919038643637634,0.48609631013540644,-2.559631916629701,0.004175766441801576,0.028688746406735636,-1.6242215908583355,0.046567708507536394,True,other,0.3654472034412791
A2M,1.087203908993546,0.049593823997430536,0.37403901966046843,1.4767154551359187,0.0012450851583526927,0.01538888464822098,0.3895115461423728,0.35437198089568045,True,early_onset,0.7362311440652447
A2ML1,1.6944077244869424,0.011209654617604585,0.26104561246374824,1.674300070126563,0.004837359556431283,0.030933372697500003,-0.020107654360379534,0.9741366918681038,False,early_onset,1.0120095881969708
A3GALT2,-0.3920423127723911,0.28898804457946203,0.6193855169149605,-1.1137381818177436,0.001617996259108783,0.017338996495144973,-0.7216958690453525,0.034323837125553654,True,other,0.35200581175419055
A4GALT,1.046635805207977,0.0009630473596341408,0.25067796731063974,1.7541861995309773,4.795107770423974e-06,0.0020615843448296726,0.7075503943230004,0.010710093115044311,True,early_onset,0.5966503473165047
AAAS,0.12223998879108944,0.534991443456444,0.77921213122985,0.269672641725089,0.05917190345808896,0.1504523607731772,0.14743265293399954,0.4345604779601312,True,other,0.45329028561860546
AACS,0.022351132369315074,0.9032615163513,0.9605358455144867,-0.0985030638170512,0.6030508617425355,0.73591247821312,-0.12085419618636628,0.42389908208058147,True,other,-0.2269079915202193
AADAT,-1.0759316813331168,0.06900795379468198,0.40954133437407575,-1.6549160245319845,0.002264671023877976,0.020518840514789152,-0.5789843431988677,0.27840088001431357,True,early_onset,0.6501427657861937
AAGAB,-0.0032633574918152775,0.9818373676029719,0.9928293717128506,-0.057796084090972144,0.6510769360262235,0.7717676176334425,-0.05453272659915687,0.6871046124780873,False,other,0.056463297525117626
AAK1,-0.4713087864218508,0.10593387976285912,0.46103305684440843,-0.2979501933051978,0.15414268266049208,0.29313425804968546,0.17335859311665303,0.5345189061190551,True,other,1.5818374916745817
AAMDC,-0.2859129335701933,0.18977330572420115,0.5402534834232023,-0.7967472294310958,0.002745545935056676,0.022642427358296094,-0.5108342958609025,0.013166500929744886,True,other,0.35885023883213846
AAMP,0.05982875369251328,0.6681967116012384,0.852732915753382,-0.06744856801957866,0.6272829205738782,0.7553729076719259,-0.12727732171209194,0.32124410414721183,True,other,-0.8870277820449274
AAR2,0.021342822782560056,0.8772991883296409,0.9514751864265271,-0.08518803167058042,0.5260928863119885,0.675648118803776,-0.10653085445314048,0.3961181936833691,True,other,-0.25053780870406905
AARS1,0.09565381563311526,0.4626718889135717,0.732471151128822,0.053866602791918794,0.6734933496925884,0.7894583058544511,-0.041787212841196464,0.7240080880323343,True,other,1.7757536335197566
AARS2,-0.053440556925203886,0.7584832072825141,0.8966433614445576,-0.39247888979252377,0.02023020737152023,0.07381828813242762,-0.3390383328673199,0.04692525316791578,True,other,0.13616160847136055
