feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
A1CF,-3.3308829955567423,0.015332580214860423,0.13383790859935624,-2.989765004367496,0.06052762448287561,0.25442600302314483,0.3411179911892463,0.802183609911982,False,other,1.11409525186459
A2M,1.0733152067392284,0.11596675858344378,0.3250888125500316,1.0277575994627348,0.062134045238065407,0.256630868630807,-0.045557607276493606,0.9521608445191976,False,other,1.0443271908670966
A2ML1,0.1969932819228135,0.6601388984489094,0.8217154963407663,0.2904855156653561,0.5628692759793495,0.7467262110163999,0.09349223374254256,0.740594232150664,False,other,0.678151822722042
A3GALT2,0.06145836232698887,0.8838967622935829,0.9438659767738777,0.20934137935489394,0.5920251384074463,0.7657851643502561,0.14788301702790507,0.7173837102898359,False,other,0.2935796186897156
A4GALT,0.5129061982312688,0.18684440422191195,0.42110326531678915,1.550415549583966,0.002046756475150496,0.06465279810018282,1.0375093513526972,0.031180997744425724,True,other,0.3308185333724888
AAAS,0.07023022000906298,0.6585024688434082,0.8205482526797514,0.16568591649558062,0.360518040404223,0.5929789890186791,0.09545569648651764,0.6148119709718083,True,other,0.4238756165551117
AACS,-0.20244651446630701,0.3450503043657631,0.5836989470085435,-0.023518676299169705,0.9187445845783326,0.9602557991535005,0.1789278381671373,0.4897147785156051,True,other,8.607904283858616
AADAT,-2.2964893964130795,0.03232609477423279,0.17353111424690998,-1.906838674469431,0.11586625873649163,0.3437485760066105,0.38965072194364847,0.565843357202942,False,other,1.2043438321031887
AAGAB,-0.054162821116560345,0.727636769765954,0.8613035921355311,0.13538488702190588,0.5393959054229343,0.7276631040061884,0.18954770813846622,0.35225566522885676,True,other,-0.4000654896421087
AAK1,-0.4591910124281924,0.19123742101038818,0.4269613771221002,-1.3771493492523308,0.02378289999194875,0.17000988412299628,-0.9179583368241384,0.12293013956627905,True,other,0.33343588527815965
AAMDC,-0.4986223065062587,0.09433879236059976,0.2927963565493944,-0.26377280227829747,0.4200650670425842,0.6403528086409518,0.23484950422796125,0.501581738589316,True,other,1.8903476863402306
AAMP,-0.08264755225067777,0.5939561421548795,0.7789647300299412,0.2916385555577765,0.2543401953660231,0.501681106285927,0.3742861078084543,0.11894929766111083,True,other,-0.2833903497176815
AAR2,-0.035703241916523076,0.8331951728644955,0.918705092020963,0.06595712324067904,0.7729025919438981,0.881631830689102,0.10166036515720211,0.6028592840939523,True,other,-0.5413098716607323
AARS1,0.04643642777579071,0.7885963198802698,0.8957961321139939,0.24505253592869636,0.28432419718290025,0.5281924631182371,0.19861610815290565,0.33333788989953916,True,other,0.1894958058679403
AARS2,-0.24554879165186883,0.13735428234125277,0.35564930021237867,-0.38504122049196976,0.11240811639458816,0.3392581227302732,-0.13949242884010093,0.5140782689262486,True,other,0.6377207908756612
AASDH,0.025619343057807775,0.8919514925926755,0.9469696409883434,-0.301209098507492,0.25593945369553767,0.50325054680464,-0.3268284415652998,0.2224957293353704,True,other,-0.08505501057156992
AASDHPPT,-0.48073257473415154,0.019941193353923064,0.1461556403909474,-0.04815958847279589,0.819703091776235,0.9080641628107087,0.43257298626135565,0.053713563766066494,True,other,9.982073974857675
AASS,-1.17453066388694,0.004302446907431024,0.10883941404394543,-2.2006792919269516,0.000187153869342311,0.029763313783844395,-1.0261486280400116,0.026184244145308858,True,early_onset,0.5337127805017429
AATF,0.06882499674216014,0.7215783258032338,0.8572357248492701,0.5253259447201826,0.060114213872344995,0.25366603183778086,0.45650094797802243,0.03853342704564464,True,other,0.13101389229656288
AATK,-1.4844772994523296,0.008117608084097333,0.1203105446308953,-0.9448263760904281,0.09201762866833504,0.3077469181788355,0.5396509233619016,0.2517574469992451,True,other,1.5711641175756637
ABAT,-1.5439074359895297,0.0023940296873813708,0.10148593195736681,-1.7937873464847751,0.00386352914088761,0.08226568953128471,-0.24987991049524538,0.39852401479340127,True,other,0.8606970268884288
ABCA1,0.803089198157168,0.20717572074482277,0.44583134569732313,0.4773597451774787,0.4448287397363605,0.6605743506778811,-0.32572945297968925,0.6812716972526233,False,other,1.682356349211192
ABCA10,1.356158270876525,0.13560554402086392,0.35386383506634056,-0.2746519429283016,0.6569914678773565,0.8055809766350978,-1.6308102138048266,0.10715698235669383,True,other,-4.937734124205896
ABCA2,-0.13353327755985678,0.5243222981733933,0.7283870122897972,-0.07232315299763581,0.7748045244987982,0.8824933359835238,0.06121012456222097,0.7880273552173831,False,other,1.846342036058935
ABCA3,-1.3987787361819732,0.01275662751167143,0.12774040474809914,-0.24923133655716168,0.7149313199402145,0.8425858006428327,1.1495473996248116,0.07633156749963291,True,other,5.612371042520011
ABCA4,-0.14010648390904112,0.6656311700020575,0.8253221044766842,-0.36383870899674386,0.30235434866743366,0.5427385170473652,-0.22373222508770274,0.5477168112133235,False,other,0.3850785538882697
ABCA5,0.5567929905173714,0.18723815218577286,0.4213065393397486,-0.21939628800514122,0.5865594790009804,0.7625822673855035,-0.7761892785225126,0.05079212606851412,True,other,-2.5378414356049808
ABCA6,1.0914663304256917,0.05416310099934066,0.2203979253904868,0.5445408503354541,0.25390003250162385,0.5011366252362367,-0.5469254800902377,0.2689978863580046,True,other,2.004379156776419
ABCA8,0.9682998994688745,0.05746734431744542,0.2268945844065046,1.4309175884165777,0.010425208400021086,0.12275434276812208,0.46261768894770317,0.37350763597989334,True,other,0.6766985795040609
ABCA9,0.476342208957794,0.3123667754288297,0.5549905685774821,0.4203419265528714,0.4350874697456758,0.6535944505172914,-0.05600028240492261,0.9154922293480607,False,other,1.1332255453653368
ABCB1,0.5456305125757752,0.20871124341047803,0.44689965682296884,0.42571761965877153,0.341720600795395,0.5772987066884249,-0.11991289291700369,0.821183803727353,False,other,1.2816723747847654
ABCB10,-0.0825550117056082,0.7297308962219385,0.862824881152887,-0.3012386484608234,0.2222841906088035,0.4703865869681745,-0.21868363675521518,0.4731962147113694,True,other,0.2740518593063088
ABCB6,-1.00023262946883,0.04584970652586867,0.20286949055950704,-0.035442262680104974,0.9520196929434854,0.9771739042737793,0.964790366788725,0.019293103112482824,True,other,28.22146651574525
ABCB7,-0.6860719432604716,0.01586461054563231,0.13508366380377496,-0.9567071722451326,0.007229074389403206,0.10492285242166567,-0.27063522898466097,0.44067002273062283,True,other,0.7171180097358805
ABCB8,0.07284709161422498,0.6375137647736245,0.8074094472705169,0.21763479951258535,0.289478772157488,0.5328517500034206,0.14478770789836037,0.4560071330209785,True,other,0.33472170708624377
ABCB9,-0.14978245579631233,0.5426760202410599,0.74222823707137,-0.06500506774352166,0.8040439597073946,0.8995796077874575,0.08477738805279067,0.7770663373515281,False,other,2.3041658288440057
ABCC1,-0.44317613510825815,0.04570277691169123,0.20272637189091067,-0.3887268112552853,0.1653547783449081,0.4084957674997744,0.05444932385297285,0.8061846583732002,False,other,1.140070924557902
ABCC10,0.10129733791228901,0.5871930257476901,0.773920023439152,-0.050997246263821516,0.8495145050181803,0.925338038535428,-0.15229458417611053,0.5132801898316409,True,other,-1.9863295635268723
ABCC11,-1.2016130506095395,0.14762352982962523,0.36974748774285054,0.32567250282170535,0.7789164140966651,0.8852614378034532,1.5272855534312448,0.210780215702875,True,other,-3.6896361841987684
ABCC2,-0.8579534335930634,0.0358951415526361,0.18063636911864717,-1.3387433398705957,0.0044375454171188605,0.08824664931444916,-0.48078990627753226,0.17720150052795908,True,other,0.6408647632756806
ABCC4,0.9375636025178942,0.06984424691185526,0.25072349259431487,0.2573671552158592,0.6154630752585449,0.7802918759319221,-0.680196447302035,0.15594460986437242,True,other,3.642903080354368
ABCC5,0.43350663722656435,0.09546745659799172,0.29480211567183245,0.14477078395244725,0.5867463959567962,0.7627603224686996,-0.2887358532741171,0.2679173980128112,True,other,2.9944345495079863
ABCC6,0.14959877802141275,0.5883379134026159,0.7746608608356824,-0.4990502185911989,0.123076500651694,0.3526006634358064,-0.6486489966126117,0.025526708565813686,True,other,-0.2997669822562643
ABCC9,0.2480738867214285,0.3987751394198059,0.630496712486547,-1.1667933061491764,0.009257278880183,0.1169957588276108,-1.414867192870605,0.00024679034131174486,True,other,-0.2126116814469553
ABCD1,-0.26745241101398776,0.40241796105625915,0.6335776199577274,0.04998794676401008,0.8825726139019624,0.9425216194386064,0.31744035777799784,0.20292389554745474,True,other,-5.350337998010072
ABCD3,-0.9579909922354766,0.021936866859108315,0.15268850731928707,-0.4403636591237321,0.39598945395005314,0.6215247243194676,0.5176273331117445,0.2842472838533433,True,other,2.1754542464783704
ABCD4,-0.35888410194246667,0.13878289354227513,0.357361854563993,0.20379783287120912,0.4905632703937334,0.6937322354276301,0.5626819348136758,0.00940493957403509,True,other,-1.7609809529685478
ABCE1,-0.299627545158045,0.18307650551533847,0.4169196016859595,-0.3078705889201814,0.3217002535124049,0.560342016015275,-0.00824304376213636,0.9799066645979241,False,other,0.9732256212227097
ABCF1,0.1824050619192059,0.26464340474304093,0.5074526751154107,0.20891989217893148,0.3045760508734615,0.54454889553351,0.026514830259725564,0.8966509811971399,False,other,0.8730861385041465
ABCF2,0.13465119620840138,0.4523050597681977,0.6749429525443333,0.20731048706305888,0.3502742423417693,0.5840243896309802,0.0726592908546575,0.7181015375291723,True,other,0.6495146392060895
ABCF3,-0.06224569033081462,0.6662565720023068,0.8256281724642223,0.04893426419622937,0.8145350465303995,0.9049928357018856,0.11117995452704399,0.5694153978923229,True,other,-1.2720266944488143
ABCG1,1.9433159212190003,0.01411256992569998,0.1308130292985991,2.141832047978849,0.0077378519529754716,0.1084791421176093,0.19851612675984853,0.7661281964197084,False,other,0.9073148023220685
ABCG2,0.33640805932768103,0.25240366825774374,0.4946023364511582,0.28136168972900766,0.4163930571980877,0.6372564977772937,-0.05504636959867337,0.8567676867721519,False,other,1.1956427317865879
ABCG4,1.2416780133191898,0.011029057520575217,0.12380928026957488,0.7233258965013307,0.14225167505742814,0.37888281980142274,-0.5183521168178591,0.31581265601713765,True,other,1.7166231975449608
ABHD10,0.14019922908854987,0.5126668780073084,0.7202499380798356,-0.19921859338928716,0.48403121430086504,0.6892658988939134,-0.33941782247783703,0.1408791731033414,True,other,-0.703745703166324
ABHD11,-0.42927331427694426,0.17121414749846747,0.4023901462221526,0.12061324456081923,0.6610551927363877,0.8083563978779681,0.5498865588377635,0.13127871439279043,True,other,-3.5590893507593453
ABHD12,0.21437061349623665,0.3225696954843156,0.5628962700080667,0.1987558839140764,0.5343738639381159,0.7244323362803434,-0.015614729582160258,0.9566367174869692,False,other,1.078562351336027
ABHD12B,1.511328168245234,0.02723394406850975,0.16352760080257658,-0.27018648539156237,0.6861535944299068,0.8239996008936825,-1.7815146536367963,0.006617761967590658,True,other,-5.593648276134063
ABHD13,-0.2582884906746634,0.29275064915299603,0.5354536054315429,-0.4402813977914932,0.1517872427288363,0.3902577412744682,-0.1819929071168298,0.5499987060113212,True,other,0.5866441143556619
ABHD14B,-0.7046209900058411,0.10054097742809649,0.3022571621542033,-0.3557278087302933,0.43803139365930854,0.6557423535859701,0.3488931812755478,0.26031579481012257,True,other,1.980786918292555
ABHD15,-1.8963267711495853,0.004614420581559337,0.10916880936467839,-1.0316146815391476,0.1422276667120002,0.37888281980142274,0.8647120896104377,0.15701279395042622,True,other,1.8382122754595789
ABHD16A,-0.008765955182839846,0.957190223579724,0.9784682385933476,0.05378248726476187,0.7932210328668772,0.892935405807763,0.06254844244760172,0.7689791727218362,False,other,-0.1629890253994124
ABHD17A,-0.23290645908353813,0.29273867525189073,0.5354536054315429,0.12857910406538942,0.6323039890795362,0.7917153285719085,0.36148556314892755,0.15186944012389367,True,other,-1.811386545088171
ABHD17B,-0.016729382814913762,0.9425632438641809,0.9714516333001045,-0.07589441745366532,0.793384292854924,0.892935405807763,-0.05916503463875156,0.8234255096046577,False,other,0.22042968872021848
ABHD17C,-0.32580146473699223,0.15324229427598665,0.3774685554552256,-0.0598255765843394,0.821194431380019,0.9089362771917611,0.26597588815265283,0.31818878072656787,True,other,5.445855825186942
ABHD18,-0.2043533521387655,0.2900128273697705,0.5330635486942316,-0.15646181828408423,0.581163154687368,0.7586062347414669,0.047891533854681256,0.8685870300113276,False,other,1.306090868557629
ABHD2,-1.2939863376275103,0.007296317085667022,0.11777269592937191,-0.11926443501035244,0.8578524355607222,0.9302470775321554,1.1747219026171578,0.03820660167750812,True,other,10.849725129835974
ABHD3,-1.479990226081263,0.008926775877618368,0.12076459862221395,-1.0906349968375153,0.07461911472828485,0.27750700695288366,0.38935522924374766,0.32511843564835297,True,other,1.3569986570876145
