feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
ACOT7,-0.7355686837292006,0.11419805908486919,0.32215300898698146,0.7500734184489612,0.09675837900529108,0.3153063334629197,1.4856421021781618,0.0009938914132669122,True,sign_reversal,-0.9806622467041236
ADAM22,0.772867935948486,0.12008032007679818,0.3314746611068677,-0.7721044725925972,0.20671126411421287,0.45465021583904647,-1.5449724085410832,0.00910922318869414,True,sign_reversal,-1.0009888083581815
ADGRD2,-1.3561550175718742,0.15799857080509824,0.3830390832613538,0.9592203110985162,0.24550119271052412,0.49417403497651335,2.3153753286703904,0.006005048802250086,True,sign_reversal,-1.4138097388896835
ALK,0.855585225156973,0.19829005466533736,0.4354479608691761,-1.8184204454464798,0.10038350056229098,0.3213323490436694,-2.674005670603453,0.030055525379948596,True,sign_reversal,-0.47051012173749496
APOD,1.0002413160694321,0.1992052026526769,0.4363172266281494,-0.7900284904272348,0.41551043593449244,0.6366312286177267,-1.790269806496667,0.018262043734623305,True,sign_reversal,-1.2660825883994609
ARMC3,-1.9319418482832436,0.042625636529131775,0.19660591930219176,0.6009976968882222,0.5798517725649563,0.7578454906181555,2.532939545171466,0.015917297765873875,True,sign_reversal,-3.214557823243305
ARSI,-1.483391193261031,0.18962310042974156,0.42496124345766073,0.9727127699316195,0.5035974345960605,0.7029093101095316,2.4561039631926507,0.04332429394186731,True,sign_reversal,-1.5250043374729332
B3GNT4,-1.040396220870482,0.050346979777784066,0.21256840162262977,0.9972466170829095,0.1947233725852473,0.44108931329309575,2.0376428379533915,0.014654249296105456,True,sign_reversal,-1.0432687391949158
CA1H5orf49,-0.6918941581680531,0.07910663585825961,0.26749081055327784,1.0032457700662913,0.017977263616026813,0.15281675034848627,1.6951399282343445,0.0007962374081335747,True,sign_reversal,-0.6896556943592544
CACNG4,-1.2585417036247055,0.14969143802076082,0.37232635781410156,0.8246505342545356,0.35958701521042213,0.5924311879127315,2.083192237879241,0.04628487184819224,True,sign_reversal,-1.5261515652353237
CATSPER4,1.0084518275558856,0.04135021699273509,0.19376726913078166,-0.6957659051954832,0.32079977778827373,0.5590924894399059,-1.7042177327513688,0.007900912709045653,True,sign_reversal,-1.4494125395129125
