n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
2,7,21,IRI2h+IRI4h,0.46159309117249775,-0.015891043154093207,0.7610389610389611
2,7,21,IRI2h+IRI24h,0.203100960115899,-0.031782086308186415,0.5818181818181818
2,7,21,IRI2h+IRI48h,0.22156468376279895,-0.015891043154093207,0.5782121464902225
2,7,21,IRI2h+IRI72h,0.14770978917519928,-0.07945521577046602,0.5805194805194805
2,7,21,IRI2h+IRI7d,0.16617351282209922,0.031782086308186415,0.6675324675324676
2,7,21,IRI2h+IRI14d,0.4431293675255979,0.04767312946227962,0.5398381120212424
2,7,21,IRI2h+IRI28d,0.24002840740969886,-0.04767312946227962,0.7636363636363636
2,7,21,IRI2h+IRI12m,0.25849213105659874,-0.015891043154093207,0.6597402597402597
2,7,21,IRI4h+IRI24h,0.203100960115899,-0.031782086308186415,0.5181818181818182
2,7,21,IRI4h+IRI48h,0.22156468376279895,-0.015891043154093207,0.5860170348567946
2,7,21,IRI4h+IRI72h,0.14770978917519928,-0.07945521577046602,0.5883116883116883
2,7,21,IRI4h+IRI7d,0.16617351282209922,0.031782086308186415,0.6779220779220779
2,7,21,IRI4h+IRI14d,0.31388330199729847,-0.015891043154093207,0.6224398472341314
2,7,21,IRI4h+IRI28d,0.14770978917519928,-0.09534625892455924,0.7831168831168831
2,7,21,IRI4h+IRI12m,0.25849213105659874,-0.015891043154093207,0.6233766233766234
2,7,21,IRI24h+IRI48h,0.25849213105659874,0.14301938838683886,-0.04943095965495714
2,7,21,IRI24h+IRI72h,0.07385489458759964,-0.015891043154093207,-0.05844155844155843
2,7,21,IRI24h+IRI7d,0.12924606552829937,0.15891043154093204,0.10259740259740259
2,7,21,IRI24h+IRI14d,0.09231861823449955,-0.04767312946227962,0.052032589110481205
2,7,21,IRI24h+IRI28d,0.11078234188139947,-0.015891043154093207,0.23514129203789746
2,7,21,IRI24h+IRI12m,0.03692744729379982,-0.015891043154093207,0.3311688311688311
2,7,21,IRI48h+IRI72h,0.203100960115899,0.09534625892455924,-0.07089440266303064
