a,b,distance,dlog10days,entry_mismatch
PodTRECK_5D,PodTRECK_2W,0.42086445420358853,0.4471580313422191,0
PodTRECK_5D,PodTRECK_3W,0.4523969003687899,0.6232492903979004,0
PodTRECK_5D,UUO_2D,0.4549346774062173,0.39794000867203766,1
PodTRECK_5D,UUO_8D,0.4750205687206075,0.20411998265592468,1
PodTRECK_2W,PodTRECK_3W,0.12381607677755979,0.17609125905568135,0
PodTRECK_2W,UUO_2D,0.388853392504097,0.8450980400142567,1
PodTRECK_2W,UUO_8D,0.24318511350840377,0.24303804868629442,1
PodTRECK_3W,UUO_2D,0.4033225450490071,1.021189299069938,1
PodTRECK_3W,UUO_8D,0.28535631598184097,0.41912930774197577,1
UUO_2D,UUO_8D,0.26193562402470694,0.6020599913279623,0
