a,b,distance,dlog10days,ddays,entry_mismatch,model_mismatch
PodTRECK_5D,PodTRECK_2W,0.42086445420358853,0.4471580313422191,9.0,0,0
PodTRECK_5D,PodTRECK_3W,0.4523969003687899,0.6232492903979004,16.0,0,0
PodTRECK_5D,IRI_6mo,0.9563368043991093,1.5563025007672873,175.0,1,1
PodTRECK_5D,IRI_12mo,0.6723056628413145,1.863322860120456,360.0,1,1
PodTRECK_5D,UUO_2D,0.4549346774062173,0.39794000867203766,3.0,1,1
PodTRECK_5D,UUO_8D,0.4750205687206075,0.20411998265592468,3.0,1,1
PodTRECK_2W,PodTRECK_3W,0.12381607677755979,0.17609125905568135,7.0,0,0
PodTRECK_2W,IRI_6mo,0.6163830681736315,1.109144469425068,166.0,1,1
PodTRECK_2W,IRI_12mo,0.4046532105059918,1.4161648287782367,351.0,1,1
PodTRECK_2W,UUO_2D,0.388853392504097,0.8450980400142567,12.0,1,1
PodTRECK_2W,UUO_8D,0.24318511350840377,0.24303804868629442,6.0,1,1
PodTRECK_3W,IRI_6mo,0.5766234118200126,0.9330532103693867,159.0,1,1
PodTRECK_3W,IRI_12mo,0.38859206438516525,1.2400735697225553,344.0,1,1
PodTRECK_3W,UUO_2D,0.4033225450490071,1.021189299069938,19.0,1,1
PodTRECK_3W,UUO_8D,0.28535631598184097,0.41912930774197577,13.0,1,1
IRI_6mo,IRI_12mo,0.4141566807719326,0.3070203593531686,185.0,0,0
IRI_6mo,UUO_2D,0.7576893834811489,1.9542425094393248,178.0,0,1
IRI_6mo,UUO_8D,0.5417765345876566,1.3521825181113625,172.0,0,1
IRI_12mo,UUO_2D,0.5698422393689684,2.2612628687924934,363.0,0,1
IRI_12mo,UUO_8D,0.33228230431649586,1.659202877464531,357.0,0,1
UUO_2D,UUO_8D,0.26193562402470694,0.6020599913279623,6.0,0,0
