cat_symbol,mouse_symbol,cat_ctx_early,cat_ctx_late,cat_ctx_q_late,cat_med_late,cat_med_class,has_signal_peptide,is_secreted,n_transmembrane,mouse_prot_d14,mouse_prot_d21,mouse_prot_q,mouse_prot_sign_stable,mouse_rna_2w,mouse_fpkm_ctrl,mouse_fpkm_2w,score,track
CRYAB,Cryab,0.154,1.175,0.0280890142000849,0.691,other,False,True,0.0,1.289,0.771,0.024959446552938292,True,0.862,21.45,39.85,10,free_urine
PTN,Ptn,0.156,1.938,0.0108320233750547,1.662,other,True,True,0.0,2.6,1.577,0.00042074295650506715,True,1.34,0.5,2.8,10,free_urine
H6PD,H6pd,0.084,0.68,0.0331044902307917,0.495,other,True,False,0.0,0.804,0.897,0.00011098198312085367,True,1.451,13.2,37.77,10,free_urine
FAM3D,Oit1,0.175,2.015,0.0178539599942994,2.428,other,True,True,0.0,3.727,4.548,3.2580320627242085e-05,True,2.739,0.2,7.03,10,free_urine
SULF1,Sulf1,0.218,1.245,0.0290817219058408,0.717,other,True,True,0.0,2.345,2.179,9.84134416493578e-06,True,0.85,0.24,1.23,10,free_urine
SEMA5A,Sema5a,0.149,0.776,0.0233056032198446,0.29,other,True,False,1.0,1.388,1.571,2.4450767871386662e-05,True,1.419,2.11,7.32,9,uEV
PTGFRN,Ptgfrn,-0.017,0.593,0.0454456216870448,0.498,other,True,False,1.0,1.328,1.696,7.75227076554214e-06,True,1.815,0.82,5.4,9,uEV
CDYL2,Cdyl2,0.225,1.138,0.0138398984897016,0.503,other,False,False,0.0,0.306,0.306,0.025455815837693394,True,0.51,0.66,1.36,8,free_urine
RUNDC3A,Rundc3a,0.251,1.349,0.023655462298871,2.22,other,False,False,0.0,0.899,1.177,4.3755479794762037e-05,True,1.658,0.67,4.27,8,free_urine
ANXA3,Anxa3,0.193,1.347,0.0298918825946675,1.087,other,False,False,0.0,1.513,1.42,2.6280349835839936e-05,True,3.278,1.91,27.17,8,free_urine
TXNIP,Txnip,0.222,1.324,0.0302413881462332,1.426,other,False,False,0.0,0.884,1.11,0.0002670814145072123,True,0.948,67.48,127.13,8,free_urine
CALCRL,Calcrl,0.126,0.642,0.0339170377876343,-0.257,other,True,False,7.0,0.156,0.204,0.08627108890321915,True,0.905,2.35,5.28,7,uEV
ITGA8,Itga8,0.017,0.689,0.0304404569153143,0.024,other,True,False,1.0,0.467,0.543,0.0064579615195543465,True,0.37,1.67,2.45,7,uEV
ABCA1,Abca1,0.093,0.898,0.0466979577889496,0.477,other,False,False,15.0,2.054,1.883,1.2136426461214507e-05,True,2.795,1.53,16.66,7,uEV
P4HA2,P4ha2,0.042,0.59,0.0488442271691023,0.297,other,True,False,0.0,0.444,-0.043,0.6945221526404618,False,1.049,2.09,5.36,6,free_urine
TSHZ2,Tshz2,0.13,0.83,0.0334345671658477,0.492,other,False,False,0.0,0.492,0.595,0.004100254909969939,True,0.498,1.53,2.57,6,free_urine
RBM20,Rbm20,0.026,1.346,0.044852481457887,1.945,other,False,False,0.0,0.184,0.554,0.022250545102777478,True,0.33,0.67,1.1,6,free_urine
HIF1A,Hif1a,0.121,1.117,0.0123354071789836,0.728,other,False,False,0.0,-0.016,0.221,0.7066872554761339,False,0.859,12.83,24.06,6,free_urine
PLA2G12A,,0.101,0.607,0.019001177630296,0.627,other,True,True,0.0,,,,,,,,4,free_urine
NAMPT,Nampt,0.184,1.085,0.0218082068334409,0.614,other,False,True,0.0,-0.939,-0.643,0.0005017408093587815,True,-0.246,28.73,24.05,4,free_urine
ARRDC4,Arrdc4,0.225,1.324,0.0236074449503132,1.422,other,False,False,0.0,,,,,1.789,2.48,10.95,4,free_urine
ANGPTL2,,0.142,0.903,0.0401701335001869,0.776,other,True,True,0.0,,,,,,,,4,free_urine
ADAMTS3,Adamts3,0.174,1.298,0.0106987974404948,-0.647,other,True,True,0.0,,,,,,0.06,0.15,3,free_urine
FOXJ1,,0.331,1.734,0.0304500169072258,1.545,sign_reversal,False,False,0.0,,,,,,,,2,free_urine
RIMS4,Rims4,-0.176,0.853,0.0492593087682773,1.49,other,False,False,0.0,,,,,,0.0,0.01,2,free_urine
ERICH2,,0.194,1.199,0.0469383054664437,1.45,other,False,False,0.0,,,,,,,,2,free_urine
DNAH5,Dnah5,0.055,1.513,0.025886164736212,1.213,other,False,False,0.0,,,,,,0.08,0.16,2,free_urine
VIPR1,Vipr1,0.294,1.808,0.0156908279225931,-1.403,other,True,False,7.0,,,,,,0.21,0.23,2,uEV
CA2H3orf14,,0.178,1.098,0.0131589034031201,1.313,other,,,,,,,,,,,1,free_urine
