model,a,b,distance,dlog10days,ddays,n_genes
PodTRECK,PodTRECK_5D,PodTRECK_2W,0.42086445420358853,0.4471580313422191,9.0,15213
PodTRECK,PodTRECK_5D,PodTRECK_3W,0.4523969003687899,0.6232492903979004,16.0,15213
PodTRECK,PodTRECK_2W,PodTRECK_3W,0.12381607677755979,0.17609125905568135,7.0,15213
IRI,IRI2h,IRI4h,0.5120257567997832,0.30102999566398125,0.08333333333333333,13402
IRI,IRI2h,IRI24h,0.8379134558164972,1.0791812460476249,0.9166666666666666,13396
IRI,IRI2h,IRI48h,0.8031507210162605,1.3802112417116061,1.9166666666666667,13395
IRI,IRI2h,IRI72h,0.8086622700166903,1.5563025007672873,2.9166666666666665,13401
IRI,IRI2h,IRI7d,0.679981322732413,1.9242792860618816,6.916666666666667,13400
IRI,IRI2h,IRI14d,0.3799694034159722,2.225309281725863,13.916666666666666,13418
IRI,IRI2h,IRI28d,0.7615157066663807,2.526339277389844,27.916666666666668,13397
IRI,IRI2h,IRI12m,0.6928688046822955,3.6414741105040997,364.9166666666667,12857
IRI,IRI4h,IRI24h,0.6612394667431356,0.7781512503836436,0.8333333333333334,13497
IRI,IRI4h,IRI48h,0.6526535007736838,1.0791812460476249,1.8333333333333333,13478
IRI,IRI4h,IRI72h,0.6113374528203532,1.255272505103306,2.8333333333333335,13505
IRI,IRI4h,IRI7d,0.6499885299628076,1.6232492903979003,6.833333333333333,13495
IRI,IRI4h,IRI14d,0.6841024015457651,1.9242792860618816,13.833333333333334,13487
IRI,IRI4h,IRI28d,0.7692861134254287,2.225309281725863,27.833333333333332,13477
IRI,IRI4h,IRI12m,0.6940448111284669,3.3404441148401185,364.8333333333333,12912
IRI,IRI24h,IRI48h,0.22318382219222066,0.3010299956639812,1.0,13846
IRI,IRI24h,IRI72h,0.29213587932197804,0.47712125471966244,2.0,13816
IRI,IRI24h,IRI7d,0.2620064221278191,0.8450980400142568,6.0,13852
IRI,IRI24h,IRI14d,0.4612614987246466,1.146128035678238,13.0,13739
IRI,IRI24h,IRI28d,0.39417800386629676,1.4471580313422192,27.0,13741
IRI,IRI24h,IRI12m,0.4788384021450164,2.5622928644564746,364.0,13052
IRI,IRI48h,IRI72h,0.10810405235537557,0.17609125905568124,1.0,13913
IRI,IRI48h,IRI7d,0.21822217902674013,0.5440680443502757,5.0,13889
IRI,IRI48h,IRI14d,0.44112196066725795,0.8450980400142567,12.0,13757
IRI,IRI48h,IRI28d,0.41359718714597593,1.146128035678238,26.0,13755
IRI,IRI48h,IRI12m,0.3531648980877292,2.2612628687924934,363.0,13054
IRI,IRI72h,IRI7d,0.21601419175331404,0.3679767852945944,4.0,13924
IRI,IRI72h,IRI14d,0.4018731573090033,0.6690067809585756,11.0,13813
IRI,IRI72h,IRI28d,0.3368492504518371,0.9700367766225568,25.0,13810
IRI,IRI72h,IRI12m,0.4047220069894949,2.085171609736812,362.0,13106
IRI,IRI7d,IRI14d,0.22289206001119943,0.30102999566398114,7.0,14007
IRI,IRI7d,IRI28d,0.23967304366063935,0.6020599913279624,21.0,13977
IRI,IRI7d,IRI12m,0.27639442158691174,1.7171948244422177,358.0,13200
IRI,IRI14d,IRI28d,0.22730380476122936,0.30102999566398125,14.0,14032
IRI,IRI14d,IRI12m,0.3634061770577025,1.4161648287782367,351.0,13247
IRI,IRI28d,IRI12m,0.4287546505980536,1.1151348331142554,337.0,13303
UUO,UUO_2D,UUO_8D,0.26193562402470694,0.6020599913279623,6.0,21104
